k,MMR min,MMR avg,MMR max,MMR σ
0,20,20,20,0
5,20,20,20,0
10,20,20,20,0
15,20,20,20,0
20,19.99,20,20,0
25,18.85,18.87,18.89,0.02
30,18,18.64,18.83,0.27
35,17.69,18.23,18.81,0.43
40,17,17.58,18.57,0.39
45,16.57,17.31,18,0.4
50,16,16.81,17.64,0.6
55,15.57,16.51,17.49,0.55
60,14.67,15.87,16.83,0.61
65,14.29,15.56,16.69,0.65
70,14,15.28,16.69,0.85
75,13,14.77,16.41,0.85
80,13,14.5,15.71,0.75
85,12.83,14.28,15.3,0.86
90,12.33,13.94,15,0.86
95,12.25,13.53,14.83,0.87
100,11.51,13.16,14.67,0.95
105,11.38,13,14.64,1.05
110,11.38,12.68,14.32,1.03
115,10.5,12.26,13.97,1.05
120,10.13,11.85,13.97,1.24
125,9,11.55,13.97,1.46
130,8.85,11.23,13,1.33
135,8.38,10.85,13,1.45
140,8,10.49,12.75,1.6
145,7.67,10.24,12.5,1.59
150,7.19,9.94,12.48,1.62
155,6.76,9.66,11.9,1.6
160,6.76,9.48,11.87,1.57
165,6.76,9.19,11.75,1.5
170,6.38,8.91,11.5,1.51
175,6.19,8.53,11.25,1.45
180,6.13,8.39,11,1.41
185,6,8.2,11,1.37
190,5.76,8.1,11,1.41
195,5.67,7.76,10.69,1.45
200,5.38,7.56,10.55,1.41
205,5.33,7.45,10.55,1.43
210,5,7.23,10.48,1.48
215,4.89,6.95,10.14,1.42
220,4.57,6.75,10,1.44
225,4.53,6.74,10,1.45
230,4.39,6.48,9.62,1.48
235,4.19,6.34,9.62,1.49
240,4.11,6.22,9.62,1.5
245,3.83,5.92,9.37,1.53
250,3.67,5.78,9.31,1.52
