k,MMR min,MMR avg,MMR max,MMR σ
0,20,20,20,0
5,20,20,20,0
10,18.87,19.03,20,0.33
15,18.33,18.76,18.89,0.16
20,17.67,18.41,18.87,0.4
25,17.4,17.93,18.6,0.42
30,17,17.47,17.87,0.28
35,16.5,17.14,17.57,0.43
40,16.25,16.88,17.5,0.48
45,15.2,16.48,17.4,0.64
50,14.71,16.15,17.17,0.66
55,13.89,15.6,17,0.87
60,13.57,15.39,16.4,0.81
65,12.89,14.95,16.2,0.87
70,12.62,14.72,16,0.99
75,12.57,14.43,16,1.04
80,12.43,14.12,15.71,1.01
85,12,13.89,15.2,1
90,11.5,13.4,14.6,1.07
95,11.29,13.03,14,0.95
100,10.43,12.76,14,1.15
105,10,12.51,13.86,1.19
110,9.5,12.27,13.71,1.3
115,9.29,11.99,13.71,1.31
120,9,11.75,13.57,1.31
125,8.83,11.61,13.43,1.32
130,8.67,11.46,13.43,1.34
135,8.57,11.32,13.43,1.35
140,8.43,11.03,13.29,1.31
145,8.14,10.73,13.14,1.28
150,8.14,10.51,13,1.28
155,8.14,10.31,12.75,1.3
160,8.14,10.18,12.62,1.26
165,7.86,9.89,12.43,1.27
170,7.29,9.36,12.29,1.37
175,6.75,9.11,11.87,1.41
180,6.5,8.7,11.62,1.53
185,6.12,8.4,11.6,1.57
190,6,8.07,10.6,1.42
195,5.25,7.67,10,1.51
200,5,7.49,9.5,1.43
205,4.67,7.17,9.5,1.61
210,4.37,6.86,9.5,1.58
215,3.86,6.65,9.25,1.66
220,3,6.33,9,1.69
225,2.75,6.21,8.86,1.71
230,2.71,6.18,8.86,1.73
235,2.71,6.18,8.86,1.73
240,2.71,6.18,8.86,1.73
245,2.71,6.18,8.86,1.73
250,2.71,6.18,8.86,1.73
