k,MMR min,MMR avg,MMR max,MMR σ
0,20,20,20,0
5,20,20,20,0
10,18.75,19.18,20,0.45
15,18.6,18.75,18.89,0.1
20,17.75,18.3,18.87,0.38
25,17.33,17.89,18.75,0.5
30,16.57,17.34,18.67,0.68
35,16.25,17.06,18,0.57
40,15.67,16.45,17.57,0.59
45,15,16.06,17.43,0.67
50,14.4,15.72,17,0.79
55,13.89,15.18,16.75,0.83
60,13.75,14.83,16.75,0.93
65,13.4,14.45,15.5,0.71
70,12.71,13.95,15,0.8
75,12,13.56,15,0.93
80,11.5,13.32,15,0.97
85,10.5,12.77,14.37,1.11
90,10.29,12.42,14,1.18
95,10.29,12,14,1.19
100,10.14,11.7,14,1.12
105,9.71,11.4,13.71,1.2
110,8.89,11.03,13.14,1.29
115,8.89,10.85,13,1.29
120,8.78,10.37,12.57,1.25
125,8.14,10.04,12.43,1.41
130,7.67,9.75,12.43,1.44
135,7.62,9.47,12.25,1.44
140,7.62,9.14,11.62,1.38
145,7,8.92,10.87,1.33
150,6.5,8.62,10.62,1.3
155,6.33,8.43,10.12,1.26
160,6.2,8.21,10,1.28
165,5.89,7.93,9.86,1.33
170,5.62,7.74,9.71,1.41
175,5,7.45,9.33,1.5
180,4.5,7.21,9.33,1.57
185,3.75,6.91,9.17,1.64
190,3.37,6.6,8.67,1.52
195,2.78,6.36,8.67,1.6
200,2.29,6.15,8.62,1.66
205,2,5.86,8.33,1.67
210,1.5,5.65,8.2,1.77
215,1.33,5.39,8,1.8
220,1,5.16,7.87,1.79
225,0.89,4.92,7.75,1.74
230,0.78,4.83,7.62,1.75
235,0.67,4.77,7.6,1.75
240,0.67,4.77,7.6,1.75
245,0.67,4.77,7.6,1.75
250,0.67,4.77,7.6,1.75
