k,MMR min,MMR avg,MMR max,MMR σ
0,20,20,20,0
5,20,20,20,0
10,20,20,20,0
15,20,20,20,0
20,20,20,20,0
25,20,20,20,0
30,19.93,19.98,20,0.02
35,18.66,18.92,19.81,0.31
40,18.44,18.64,18.85,0.15
45,17.65,18.16,18.79,0.4
50,16.91,17.79,18.79,0.56
55,16.81,17.35,18.79,0.67
60,16,16.69,17.76,0.61
65,15.8,16.35,17.63,0.69
70,14.67,15.76,17.55,0.8
75,14.6,15.49,17.55,0.87
80,13.84,15.04,16.55,0.8
85,13.46,14.6,16.44,0.91
90,13.05,14.08,16.33,1.01
95,12.56,13.65,16.24,1.17
100,12.06,13.31,15.98,1.26
105,11.47,12.64,15.25,1.28
110,11.33,12.44,15,1.29
115,11.11,12.17,14.96,1.28
120,10.4,11.62,13.99,1.21
125,9.67,11.35,13.9,1.34
130,9.02,11,13.9,1.45
135,8.82,10.57,13.24,1.33
140,8.82,10.3,12.99,1.21
145,8.67,10,12.99,1.29
150,7.56,9.67,12.88,1.43
155,7.19,9.49,12.51,1.4
160,6.52,8.96,12.08,1.55
165,6.38,8.66,11.92,1.58
170,5.97,8.43,11.91,1.67
175,5.64,8.3,11.7,1.71
180,5.49,8.06,11.36,1.66
185,5.49,7.74,11.31,1.7
190,5.16,7.54,11.31,1.66
195,5,7.29,10.97,1.64
200,5,7.06,10.23,1.52
205,4.87,6.82,9.73,1.5
210,4.75,6.61,9.38,1.49
215,4.11,6.27,8.78,1.5
220,3.79,6.01,8.22,1.43
225,3.05,5.77,7.96,1.42
230,2.78,5.55,7.54,1.34
235,2.51,5.28,7.38,1.35
240,2.27,5.04,6.97,1.3
245,2.12,4.82,6.61,1.26
250,2.12,4.61,6.36,1.2
