k,MMR min,MMR avg,MMR max,MMR σ
0,20,20,20,0
5,20,20,20,0
10,18.87,19.16,20,0.37
15,18.62,18.84,19.33,0.12
20,18.25,18.75,19,0.15
25,17.62,18.57,18.89,0.35
30,17.57,18.39,18.87,0.41
35,17.29,18.23,18.75,0.42
40,16.71,17.96,18.75,0.5
45,16.57,17.82,18.62,0.5
50,16.5,17.6,18.62,0.51
55,16.5,17.37,18.17,0.44
60,16.25,17.15,18.17,0.45
65,15.67,16.94,18,0.53
70,15.5,16.75,17.75,0.53
75,15.5,16.5,17.5,0.51
80,15,16.33,17.17,0.52
85,15,16.12,17,0.45
90,15,15.93,17,0.43
95,14.67,15.66,16.5,0.46
100,14.43,15.52,16.5,0.5
105,14.29,15.3,16.17,0.53
110,13.87,15.1,16,0.5
115,13.75,14.9,15.86,0.52
120,13.17,14.68,15.86,0.64
125,13,14.42,15.62,0.66
130,12.4,14.08,15.17,0.73
135,12.33,13.83,14.87,0.72
140,12.2,13.58,14.87,0.71
145,11.67,13.34,14.87,0.8
150,11,13.18,14.43,0.79
155,11,13.05,14.14,0.77
160,11,12.86,14.14,0.77
165,11,12.75,14.14,0.78
170,11,12.62,14.14,0.78
175,11,12.3,14.14,0.82
180,10.57,12.07,13.57,0.81
185,10.33,11.86,13.29,0.84
190,10.33,11.62,13,0.78
195,10.33,11.34,13,0.72
200,10,11.02,12.37,0.62
205,9.57,10.76,12,0.59
210,9.33,10.66,11.75,0.59
215,9.17,10.52,11.5,0.6
220,9,10.37,11.5,0.67
225,8.75,10.13,11.25,0.7
230,8.67,9.97,11.25,0.73
235,7.5,9.65,11.25,0.9
240,7.5,9.48,11,0.82
245,7.25,9.31,10.75,0.78
250,7,9.11,10.5,0.89
255,6.5,8.92,10.25,0.9
260,6.5,8.69,10.25,0.96
265,6.33,8.5,10.25,0.96
270,6,8.23,10.25,1.02
275,5.67,8,10,1.15
280,5.67,7.76,10,1.19
285,5.33,7.49,9,1.05
290,5.25,7.26,8.62,1.01
295,5,7.15,8.62,1.03
300,4.75,6.97,8.62,1.05
305,4.75,6.79,8,1
310,4,6.66,8,1.06
315,4,6.45,8,1.03
320,4,6.26,8,1.01
325,3.75,6.07,8,1.1
330,3.75,5.8,8,1.08
335,3.75,5.58,8,1.07
340,3.67,5.34,7,0.98
345,3,5.04,6.5,0.95
350,3,4.9,6.33,0.94
355,2,4.67,6,0.93
360,2,4.41,6,0.94
365,2,4.3,6,0.92
370,2,4.06,5.29,0.9
375,2,3.87,5.25,0.98
380,1.5,3.66,5.25,0.93
385,1.33,3.54,5,0.9
390,1.33,3.27,4.86,0.9
395,1.33,3.05,4.43,0.88
400,1,2.97,4.29,0.94
405,1,2.81,4,0.87
410,1,2.67,4,0.86
415,1,2.48,4,0.91
420,0.67,2.39,4,0.91
425,0.67,2.29,4,0.91
430,0.67,2.26,4,0.9
435,0.67,2.05,4,0.91
440,0.33,1.8,3,0.8
445,0.22,1.62,3,0.78
450,0,1.43,2.57,0.69
455,0,1.42,2.57,0.68
460,0,1.41,2.57,0.69
465,0,1.41,2.57,0.69
470,0,1.41,2.57,0.69
475,0,1.41,2.57,0.68
480,0,1.41,2.57,0.68
485,0,1.41,2.57,0.68
490,0,1.41,2.57,0.68
495,0,1.41,2.57,0.68
500,0,1.41,2.57,0.68
