k,MMR min,MMR avg,MMR max,MMR σ
0,10,10,10,0
5,9.97,10,10,0.01
10,9,9.76,10,0.26
15,8.72,9.49,9.98,0.32
20,8.28,9.07,9.77,0.4
25,7.63,8.67,9.44,0.51
30,6.85,8.33,9.4,0.6
35,6.4,7.85,9.04,0.8
40,5.88,7.38,8.83,0.79
45,5.58,7.07,8.59,0.74
50,5.32,6.84,8.07,0.76
55,4.79,6.5,8.04,0.81
60,3.92,6.08,7.88,0.97
65,3.92,5.65,7.49,0.93
70,3.58,5.12,7.04,0.98
75,2.48,4.54,6.61,0.86
80,2.14,4.19,5.83,0.75
85,1.67,4.01,5.44,0.82
90,1.67,3.65,4.73,0.76
95,1.67,3.28,4.36,0.72
100,1.32,2.94,4.13,0.84
105,0.57,2.51,3.72,0.89
110,0.24,2.16,3.42,0.89
115,0,1.72,3.07,0.88
120,0,1.37,2.76,0.99
125,0,1.11,2.71,0.86
130,0,0.9,2.11,0.74
135,0,0.69,1.97,0.63
140,0,0.48,1.4,0.49
145,0,0.31,1.16,0.4
150,0,0.16,1.16,0.29
