k,MMR min,MMR avg,MMR max,MMR σ
0,10,10,10,0
5,10,10,10,0
10,10,10,10,0
15,10,10,10,0
20,10,10,10,0
25,10,10,10,0
30,9.93,9.97,10,0.02
35,8.69,8.86,9,0.05
40,7.94,8.62,8.88,0.25
45,7.62,8.27,8.82,0.44
50,6.77,7.79,8.76,0.61
55,6.46,7.38,8.54,0.61
60,5.61,6.91,8.09,0.71
65,5.31,6.51,8.04,0.77
70,4.99,6.25,8,0.8
75,4.18,5.85,7.33,0.83
80,3.53,5.48,6.85,0.96
85,3.27,5.18,6.7,1
90,2.68,4.92,6.54,1.08
95,2.51,4.71,6.54,1.04
100,2.1,4.42,6.39,1.08
105,1.93,4.17,6.31,1.13
110,1.48,3.84,5.97,1.11
115,1.41,3.59,5.51,1.07
120,1.11,3.3,4.66,1.05
125,0.59,3.02,4.49,1.08
130,0.44,2.7,4.26,1.03
135,0.29,2.42,3.99,1
140,0.2,2.18,3.99,0.94
145,0,2,3.79,0.99
150,0,1.78,3.42,0.9
155,0,1.53,3.42,0.89
160,0,1.39,3.28,0.86
165,0,1.24,2.67,0.81
170,0,1.07,2.4,0.78
175,0,0.96,2.4,0.74
180,0,0.85,2.16,0.68
185,0,0.77,2.03,0.65
190,0,0.71,1.87,0.61
195,0,0.64,1.74,0.57
200,0,0.54,1.74,0.53
205,0,0.44,1.64,0.47
210,0,0.38,1.44,0.42
215,0,0.34,1.31,0.4
220,0,0.29,1.31,0.37
225,0,0.26,1.31,0.36
230,0,0.24,1.31,0.35
235,0,0.23,1.31,0.34
240,0,0.22,1.31,0.34
245,0,0.22,1.31,0.33
250,0,0.21,1.31,0.33
