k,MMR min,MMR avg,MMR max,MMR σ
0,10,10,10,0
5,10,10,10,0
10,8.75,9.06,10,0.34
15,8.25,8.69,8.89,0.18
20,7.57,8.26,8.87,0.37
25,7,7.87,8.83,0.58
30,6.57,7.63,8.83,0.71
35,6.4,7.39,8.75,0.67
40,5.62,7.1,8.67,0.72
45,5.43,6.9,8.67,0.82
50,5.33,6.66,8.67,0.9
55,5,6.49,7.86,0.86
60,4.84,6.13,7.5,0.8
65,4,5.94,7.2,0.86
70,4,5.72,7,1
75,3.75,5.41,6.83,1.03
80,3,5.14,6.62,1.11
85,2.75,4.91,6.62,1.24
90,2.2,4.67,6.62,1.35
95,1.75,4.44,6.62,1.43
100,1,4.17,6.62,1.57
105,0.56,3.94,6.62,1.62
110,0.44,3.64,6.62,1.67
115,0.33,3.44,6.62,1.72
120,0.24,3.2,6.62,1.8
125,0,3.01,6.62,1.83
130,0,2.82,6.62,1.8
135,0,2.76,6.62,1.77
140,0,2.63,6.62,1.72
145,0,2.56,6.62,1.7
150,0,2.42,6.62,1.68
155,0,2.28,6.62,1.67
160,0,2.17,6.62,1.67
165,0,2.04,6.62,1.68
170,0,1.99,6.62,1.69
175,0,1.89,6.62,1.7
180,0,1.79,6.62,1.7
185,0,1.7,6.62,1.72
190,0,1.58,6.62,1.72
195,0,1.48,6.62,1.73
200,0,1.42,6.62,1.75
205,0,1.36,6.62,1.76
210,0,1.28,6.62,1.79
215,0,1.24,6.62,1.8
220,0,1.22,6.62,1.8
225,0,1.2,6.62,1.8
230,0,1.19,6.62,1.8
235,0,1.18,6.62,1.8
240,0,1.17,6.62,1.81
245,0,1.14,6.62,1.81
250,0,1.12,6.62,1.81
