k,MMR min,MMR avg,MMR max,MMR σ
0,20,20,20,0
5,20,20,20,0
10,18.89,18.89,18.89,0
15,18.83,18.83,18.83,0
20,18.5,18.5,18.5,0
25,17.67,17.67,17.67,0
30,17.5,17.5,17.5,0
35,17,17,17,0
40,16.5,16.5,16.5,0
45,15,15,15,0
50,14.75,14.75,14.75,0
55,14.4,14.4,14.4,0
60,13.67,13.67,13.67,0
65,13.5,13.5,13.5,0
70,13.5,13.5,13.5,0
75,13.33,13.33,13.33,0
80,12.5,12.5,12.5,0
85,12.4,12.4,12.4,0
90,12,12,12,0
95,11.57,11.57,11.57,0
100,11.43,11.43,11.43,0
105,11.43,11.43,11.43,0
110,11.29,11.29,11.29,0
115,11.14,11.14,11.14,0
120,11.14,11.14,11.14,0
125,10.71,10.71,10.71,0
130,10.14,10.14,10.14,0
135,10,10,10,0
140,9.67,9.67,9.67,0
145,9.67,9.67,9.67,0
150,9.29,9.29,9.29,0
155,9.2,9.2,9.2,0
160,9,9,9,0
165,9,9,9,0
170,8.86,8.86,8.86,0
175,8.86,8.86,8.86,0
180,8.57,8.57,8.57,0
185,8.57,8.57,8.57,0
190,8.29,8.29,8.29,0
195,8.29,8.29,8.29,0
200,8,8,8,0
205,7.67,7.67,7.67,0
210,7.57,7.57,7.57,0
215,7.57,7.57,7.57,0
220,7.57,7.57,7.57,0
225,7.57,7.57,7.57,0
230,7.57,7.57,7.57,0
235,7.57,7.57,7.57,0
240,7.57,7.57,7.57,0
245,7.57,7.57,7.57,0
250,7.57,7.57,7.57,0
