k,MMR min,MMR avg,MMR max,MMR σ
0,20,20,20,0
5,20,20,20,0
10,20,20,20,0
15,20,20,20,0
20,20,20,20,0
25,20,20,20,0
30,20,20,20,0
35,20,20,20,0
40,20,20,20,0
45,19.96,19.97,19.98,0.01
50,19.4,19.41,19.41,0.01
55,18.8,18.82,18.84,0.02
60,18.47,18.47,18.47,0
65,17.44,17.71,17.99,0.27
70,17.02,17.29,17.57,0.28
75,16.82,16.92,17.01,0.1
80,16.23,16.62,17.01,0.39
85,15.98,16.4,16.83,0.43
90,15.36,15.86,16.36,0.5
95,14.74,15.34,15.93,0.59
100,14.41,15.01,15.6,0.59
105,13.84,14.43,15.01,0.58
110,13.28,14,14.71,0.71
115,13.09,13.83,14.57,0.74
120,12.41,13.37,14.33,0.96
125,12.4,13.03,13.66,0.63
130,11.91,12.28,12.66,0.37
135,11.13,11.79,12.45,0.66
140,10.99,11.61,12.22,0.61
145,10.89,11.17,11.45,0.28
150,10.89,11.14,11.39,0.25
155,10.71,10.86,11.02,0.16
160,10.62,10.79,10.96,0.17
165,10.07,10.14,10.21,0.07
170,9.59,9.8,10.01,0.21
175,9.59,9.78,9.98,0.2
180,9.41,9.69,9.98,0.29
185,9.41,9.59,9.78,0.18
190,9.23,9.5,9.78,0.27
195,9.07,9.31,9.55,0.24
200,8.84,9.04,9.24,0.2
205,8.7,8.85,9.01,0.16
210,8.41,8.71,9,0.3
215,8.27,8.53,8.79,0.26
220,8.15,8.31,8.47,0.16
225,8.12,8.21,8.29,0.08
230,7.72,7.85,7.98,0.13
235,7.54,7.76,7.98,0.22
240,7.43,7.7,7.98,0.28
245,7.23,7.54,7.85,0.31
250,6.91,7.38,7.85,0.47
