k,MMR min,MMR avg,MMR max,MMR σ
0,20,20,20,0
5,20,20,20,0
10,18.87,18.93,19,0.06
15,18.57,18.78,18.89,0.12
20,18,18.43,18.86,0.29
25,17.33,17.83,18.67,0.36
30,17,17.62,18.5,0.39
35,16.4,17.18,17.8,0.46
40,16.25,16.84,17.75,0.52
45,15.75,16.37,17.5,0.51
50,15,16.06,17.25,0.7
55,14.78,15.47,16.67,0.59
60,14,15.05,16.67,0.83
65,13.4,14.84,16,0.88
70,13.33,14.68,15.75,0.78
75,12.87,14.21,15.57,0.97
80,12.75,13.92,15.57,0.92
85,12.5,13.65,15.29,0.82
90,12.14,13.36,15.29,0.87
95,11.8,13.12,15,0.94
100,11.8,12.76,14.37,0.86
105,11.5,12.44,14,0.82
110,11.29,12.26,13.43,0.67
115,10.57,11.88,12.86,0.61
120,10.17,11.57,12.86,0.7
125,10,11.31,12.14,0.63
130,9,11.01,12,0.84
135,8.17,10.57,11.67,0.97
140,8,10.29,11.57,0.95
145,8,10.12,11.57,0.97
150,7.17,9.81,11.57,1.22
155,6.67,9.61,11.33,1.32
160,6.33,9.19,11,1.36
165,6.29,9.06,11,1.38
170,6.17,8.88,11,1.47
175,6,8.6,10.67,1.38
180,5.71,8.3,10,1.34
185,5.71,8.13,10,1.32
190,5.71,7.96,9.75,1.28
195,5.37,7.83,9.57,1.35
200,5,7.53,9.43,1.33
205,4.89,7.43,9.43,1.35
210,4.43,7.18,9.43,1.47
215,4,6.9,9.29,1.55
220,4,6.69,9,1.53
225,3.87,6.5,9,1.59
230,3.44,6.31,8.62,1.63
235,3.14,6.14,8.62,1.66
240,3,5.94,8.33,1.64
245,2.78,5.76,8.12,1.64
250,2.5,5.54,8,1.66
