k,MMR min,MMR avg,MMR max,MMR σ
0,20,20,20,0
5,20,20,20,0
10,18.87,18.97,19.5,0.18
15,18.5,18.71,18.89,0.13
20,17.71,18.33,18.83,0.43
25,17.33,18.09,18.75,0.53
30,16.5,17.69,18.6,0.68
35,15.89,17.2,18.4,0.74
40,15.62,16.83,17.75,0.73
45,15.43,16.58,17.71,0.71
50,15,16.1,17,0.71
55,14.43,15.66,16.71,0.69
60,14,15.21,16.33,0.71
65,14,14.86,16,0.72
70,13.8,14.54,15.62,0.59
75,13.33,14.24,15.62,0.68
80,12.67,13.92,15.62,0.81
85,12,13.53,15.62,0.95
90,11.33,13.31,15.25,1.05
95,10.67,12.89,14.8,1.03
100,10.67,12.63,14.8,0.99
105,10.33,12.34,14.6,1.06
110,9.8,12.13,14.43,1.16
115,9,11.71,14.2,1.27
120,8.5,11.43,14,1.36
125,8,11.02,14,1.49
130,7.5,10.67,13.33,1.52
135,7,10.43,13,1.59
140,6.75,9.99,13,1.73
145,6.5,9.65,12.6,1.69
150,6.5,9.28,12.25,1.71
155,6.33,8.94,12,1.66
160,6.33,8.76,11.86,1.67
165,6,8.43,11.29,1.71
170,5.5,8.14,11.25,1.65
175,5.2,7.75,10.25,1.45
180,5.2,7.43,10.25,1.41
185,5,7.18,10,1.35
190,5,7.11,10,1.34
195,4.83,6.88,9.83,1.35
200,4.67,6.62,9.83,1.38
205,4.29,6.46,9.83,1.44
210,3.5,6.16,9.67,1.55
215,3.4,6.03,9.5,1.55
220,3,5.83,9.25,1.55
225,3,5.54,9,1.52
230,3,5.32,8.4,1.44
235,2.8,5.12,7.75,1.33
240,2.37,4.89,7.67,1.37
245,2.25,4.85,7.67,1.39
250,2.25,4.85,7.67,1.39
