k,MMR min,MMR avg,MMR max,MMR σ
0,20,20,20,0
5,20,20,20,0
10,18.87,19.09,20,0.38
15,18.4,18.79,19,0.12
20,17.5,18.47,18.86,0.39
25,17.4,18.15,18.86,0.51
30,16.62,17.83,18.83,0.66
35,16,17.59,18.83,0.64
40,15.33,17.36,18.83,0.65
45,14.78,17.13,18.83,0.75
50,14.74,16.8,17.75,0.71
55,13.89,16.43,17.67,0.8
60,13.75,16.05,17.67,0.9
65,13.57,15.67,16.5,0.87
70,12.62,15.32,16.5,0.94
75,12.43,15.01,16.5,0.94
80,12.43,14.66,16.25,0.94
85,11.8,14.25,16,0.99
90,11.57,13.91,15.4,0.99
95,11.33,13.48,15,0.95
100,11,13.04,14.67,0.95
105,10.49,12.76,14.2,1.01
110,10,12.37,14.2,1.03
115,10,12.15,14,1.04
120,9.5,11.84,13.96,1.13
125,9,11.53,13.96,1.2
130,9,11.22,13.96,1.2
135,8.25,10.97,13.45,1.24
140,7.79,10.72,13,1.34
145,7,10.47,12.98,1.42
150,7,10.28,12.96,1.45
155,6,9.99,12.96,1.53
160,5.75,9.78,12.94,1.58
165,5.75,9.64,12.59,1.51
170,5.25,9.44,12.44,1.6
175,4.56,9.18,11.96,1.63
180,4.56,8.97,11.64,1.63
185,4.5,8.79,11.64,1.64
190,4.5,8.62,11.31,1.63
195,4.5,8.42,11,1.59
200,4.5,8.27,10.99,1.61
205,4.5,8.08,10.69,1.57
210,4.5,7.87,10.69,1.49
215,4.5,7.61,10.22,1.45
220,4.5,7.41,10.17,1.45
225,4.25,7.13,10.17,1.53
230,4.25,6.99,10.17,1.52
235,4,6.76,10,1.5
240,3.95,6.53,10,1.48
245,3.95,6.28,9.83,1.43
250,3.5,5.99,9.83,1.52
