i,nbQst = 800
0,30.0
1,30.0
2,29.9999995
3,29.999998299999998
4,29.9999963
5,29.9999935
6,29.999989699999997
7,29.9999849
8,29.999979099999997
9,29.444432744444445
10,29.208327233333335
11,29.090270427777778
12,29.0699232489899
13,28.84860686111111
14,28.820828683333335
15,28.820828583333338
16,28.820828583333338
17,28.817257183333332
18,28.817257183333332
19,28.7821378
20,28.759637610000002
21,28.75428046
22,28.74178031
23,28.6285662
24,28.61606605
25,28.61606595
26,28.51249475
27,28.50892318990148
28,28.44285163990148
29,28.357137233004924
30,28.33981813574465
31,28.339817928848102
32,28.082318693429382
33,28.048667197281418
34,28.034380390384868
35,28.034380290384863
36,27.929618436361878
37,27.912038243415886
38,27.879559951987765
39,27.83864645950154
40,27.737109246458697
41,27.711400457488292
42,27.705442699102374
43,27.70544208530927
44,27.66044270530927
45,27.62153839430916
46,27.535172063715553
47,27.516966109869532
48,27.361035488300825
49,27.294368264737606
50,27.294366964737605
51,27.144718563140273
52,27.143501410276762
53,27.143391618352997
54,27.113738718896393
55,27.107569829818217
56,27.08826838827227
57,27.087369497313748
58,26.93918746024677
59,26.895615585097985
60,26.891772647112774
61,26.837302816736194
62,26.709552041005836
63,26.683986138277103
64,26.667191454231563
65,26.62539669777224
66,26.574534426513978
67,26.55289453258652
68,26.53324502530617
69,26.39677313699469
70,26.363321975250997
71,26.305195428250396
72,26.25093351634296
73,26.21091986616902
74,26.175667716162984
75,26.119929195103207
76,26.086114137089286
77,26.053978283751952
78,26.05254652696402
79,26.016197966714252
80,25.956645961316564
81,25.95637895313187
82,25.886318328741265
83,25.77926782156669
84,25.76082477034388
85,25.759258559341923
86,25.6423606144284
87,25.577987008003035
88,25.498830182338445
89,25.439490403429474
90,25.43024294726509
91,25.325567625624046
92,25.323395852341605
93,25.319687136172647
94,25.31961652900739
95,25.26905785754743
96,25.24980991661177
97,25.208700885309195
98,25.173562460562646
99,25.134405782284013
100,25.02201690812118
101,24.996058857139293
102,24.97644389609108
103,24.972898520204556
104,24.931158202382967
105,24.924009711211266
106,24.81398647706534
107,24.681950692047486
108,24.661729125154338
109,24.640208673094364
110,24.595206424883152
111,24.480320045071657
112,24.45908773122047
113,24.39592656415456
114,24.338311019425426
115,24.242194947999362
116,24.230184255951293
117,24.17743048960617
118,24.168890358485626
119,24.066564518577536
120,24.058096903266932
121,24.01151070583883
122,24.00683928184919
123,23.935172241450065
124,23.914568362468426
125,23.876901270635457
126,23.862877988271975
127,23.761690091927306
128,23.7539723908686
129,23.733589648187884
130,23.68050600412673
131,23.58266868430837
132,23.569010266372064
133,23.511438941500547
134,23.479421995351014
135,23.392624053526937
136,23.312061431715932
137,23.27939606893944
138,23.25063756878757
139,23.192745321688058
140,23.157863144980404
141,23.121662087802065
142,23.047821188898894
143,23.047458278609028
144,23.016081770259394
145,22.97313948157849
146,22.919108196121424
147,22.902190449169495
148,22.856749808923535
149,22.77157272066379
150,22.678931196138752
151,22.653576618802727
152,22.55924808911431
153,22.550522463000906
154,22.528790584615447
155,22.516951149663832
156,22.450302102652326
157,22.41543722584557
158,22.37191428464494
159,22.315305598105727
160,22.289954615521744
161,22.261088127255967
162,22.21808963613576
163,22.170230180468728
164,22.063237601698344
165,22.046258972868024
166,22.03133639583803
167,21.98743975762965
168,21.959002631070355
169,21.927258362488207
170,21.88422307754319
171,21.83303228885181
172,21.792659335985583
173,21.714857147251927
174,21.700924871508917
175,21.651596535764448
176,21.625514454625403
177,21.60119361355092
178,21.551667769919828
179,21.547693673314935
180,21.4996590587374
181,21.4537695434754
182,21.3846765603428
183,21.336741737367973
184,21.23924654449601
185,21.1612766901225
186,21.124324707318944
187,21.041897316898705
188,20.973186348294973
189,20.946317362133666
190,20.916860427880493
191,20.858023842846897
192,20.788223808112114
193,20.71936861690932
194,20.711586306056905
195,20.68234464328492
196,20.65698421491798
197,20.656983814917982
198,20.65519294509323
199,20.62819240030168
200,20.606542887481012
201,20.59644883418487
202,20.55942502777958
203,20.445816382786305
204,20.436611424447243
205,20.43203447173584
206,20.3880983104006
207,20.36777738688493
208,20.289300700216256
209,20.243132559259106
210,20.181182585687182
211,20.155042756780045
212,20.135613657289696
213,19.976694511462313
214,19.85707944335388
215,19.81917607121581
216,19.771909328915083
217,19.737955465891325
218,19.65255639743442
219,19.649916596968442
220,19.623562670596836
221,19.58953871242535
222,19.55119940684941
223,19.52130866649867
224,19.482200868950834
225,19.476439086313718
226,19.47466903069994
227,19.469355107227614
228,19.415960095624037
229,19.40233715074003
230,19.373455285229905
231,19.332156960324244
232,19.27300510467812
233,19.239245134724555
234,19.177774042407535
235,19.12565277066643
236,19.109081383299518
237,19.06760723987262
238,19.025592566037325
239,18.986606365474106
240,18.964099765144375
241,18.889230897465527
242,18.814479283480765
243,18.750325279394218
244,18.70164649384881
245,18.701646386952255
246,18.67950162026369
247,18.66428574969413
248,18.571381054777234
249,18.48749734172472
250,18.439035518185545
251,18.399690031716744
252,18.385613954850324
253,18.33466484460096
254,18.279823593776086
255,18.27667585672972
256,18.245728801353984
257,18.162069666811004
258,18.097680821597482
259,18.09455263398637
260,18.062311604575903
261,17.96119878238185
262,17.952921882712907
263,17.934763891629697
264,17.89932254865858
265,17.780707851404074
266,17.76708531820197
267,17.757865775878212
268,17.723952923520738
269,17.651525295332892
270,17.619577597276344
271,17.53348510451897
272,17.485382533447112
273,17.438339299375347
274,17.427275042045792
275,17.40550886203041
276,17.36737099142602
277,17.315788768905968
278,17.22387306035732
279,17.21839307756619
280,17.176913658619803
281,17.150537396176546
282,17.149584497588346
283,17.127767030041884
284,17.10685805209081
285,17.02262504986679
286,16.96863198320744
287,16.96012785424616
288,16.91796355786596
289,16.887067391815552
290,16.835277284425487
291,16.79489916696018
292,16.757946620211037
293,16.725097556342043
294,16.712623463825086
295,16.630076056234923
296,16.544544832172292
297,16.522689934957423
298,16.501782873550166
299,16.47983337192181
300,16.479470977788438
301,16.3245438413377
302,16.301439854881526
303,16.271499777228087
304,16.261049957418592
305,16.216413797762232
306,16.186684203930763
307,16.18667024048645
308,16.182577356702488
309,16.148100222801805
310,16.090888184821374
311,16.038192817425173
312,16.038146052160446
313,15.902947403550423
314,15.836248445148124
315,15.791217530571517
316,15.706917882317649
317,15.655795586685453
318,15.610881910402844
319,15.574144690201953
320,15.51584736686496
321,15.44044579204531
322,15.436994043196322
323,15.434872726530767
324,15.350110400770365
325,15.298656403543694
326,15.257736354608127
327,15.224817941147107
328,15.140013874567561
329,15.09685728824303
330,15.083622034671624
331,15.062394519963432
332,15.028838015490935
333,14.946028134294593
334,14.941593772214222
335,14.807554747056622
336,14.769502258438646
337,14.73923277801094
338,14.706207783561121
339,14.695910436965136
340,14.69126168501864
341,14.664644405050382
342,14.664502482749706
343,14.635477162015096
344,14.611392832163554
345,14.597351486852554
346,14.5205678232082
347,14.4696445221523
348,14.363915737053356
349,14.345377373009761
350,14.268460339096519
351,14.241720366957304
352,14.21726156218437
353,14.182638868705604
354,14.127604917445648
355,14.092396465282699
356,14.0347997485659
357,13.948129734998302
