i,qC = 150 then qV = 350
0,20.0
1,20.0
2,20.0
3,20.0
4,20.0
5,20.0
6,20.0
7,20.0
8,20.0
9,20.0
10,20.0
11,20.0
12,20.0
13,20.0
14,20.0
15,20.0
16,20.0
17,20.0
18,20.0
19,20.0
20,20.0
21,20.0
22,20.0
23,20.0
24,20.0
25,20.0
26,20.0
27,20.0
28,20.0
29,20.0
30,20.0
31,20.0
32,20.0
33,20.0
34,20.0
35,20.0
36,20.0
37,20.0
38,20.0
39,20.0
40,20.0
41,20.0
42,20.0
43,20.0
44,20.0
45,20.0
46,20.0
47,20.0
48,20.0
49,20.0
50,20.0
51,20.0
52,20.0
53,20.0
54,20.0
55,20.0
56,20.0
57,20.0
58,20.0
59,20.0
60,20.0
61,20.0
62,20.0
63,20.0
64,20.0
65,20.0
66,20.0
67,20.0
68,20.0
69,20.0
70,20.0
71,20.0
72,20.0
73,20.0
74,20.0
75,20.0
76,20.0
77,20.0
78,20.0
79,20.0
80,20.0
81,20.0
82,20.0
83,20.0
84,20.0
85,20.0
86,20.0
87,20.0
88,20.0
89,20.0
90,20.0
91,20.0
92,20.0
93,20.0
94,20.0
95,20.0
96,20.0
97,20.0
98,20.0
99,20.0
100,20.0
101,20.0
102,20.0
103,20.0
104,20.0
105,20.0
106,20.0
107,20.0
108,20.0
109,20.0
110,20.0
111,20.0
112,20.0
113,20.0
114,20.0
115,20.0
116,20.0
117,20.0
118,20.0
119,20.0
120,20.0
121,20.0
122,20.0
123,20.0
124,20.0
125,20.0
126,20.0
127,20.0
128,20.0
129,20.0
130,20.0
131,20.0
132,20.0
133,20.0
134,20.0
135,20.0
136,20.0
137,20.0
138,20.0
139,20.0
140,20.0
141,20.0
142,20.0
143,20.0
144,20.0
145,20.0
146,20.0
147,20.0
148,20.0
149,20.0
150,20.0
151,19.953092596662188
152,19.874305993759595
153,19.793143867063435
154,19.686015272514467
155,19.577531755269472
156,19.464627376613002
157,19.341461234475897
158,19.181087400657415
159,18.819010779175674
160,18.77206688169487
161,18.7251489970568
162,18.7251489970568
163,18.7251489970568
164,18.678232078528207
165,18.631315548349633
166,18.584399818008723
167,18.50560031764781
168,18.458686908086474
169,18.25144149378409
170,17.411778959501227
171,17.411778959501227
172,17.411778959501227
173,17.411778959501227
174,17.411778959501227
175,17.411778959501227
176,17.36487101091598
177,17.36487101091598
178,17.271055113745483
179,17.23917554361976
180,17.23917554361976
181,17.160388024908787
182,17.03469255761257
183,17.03469255761257
184,17.002812987486845
185,17.002812987486845
186,17.002812987486845
187,17.002812987486845
188,17.002812987486845
189,16.874743424755337
190,16.39713694344712
191,16.01900306357451
192,16.01900306357451
193,16.01900306357451
194,16.01900306357451
195,16.01900306357451
196,16.01900306357451
197,16.01900306357451
198,16.01900306357451
199,15.893308836446773
200,15.767614830206368
201,15.767614830206368
202,15.730984583054447
203,15.730984583054447
204,15.730984583054447
205,15.730984583054447
206,15.55838317347623
207,15.55838317347623
208,15.524128450117882
209,15.524128450117882
210,15.29130584932851
211,14.947707475643462
212,14.947707475643462
213,14.758035985825082
214,14.758035985825082
215,14.649552468580087
216,14.549627194618832
217,14.549627194618832
218,14.549627194618832
219,14.549627194618832
220,14.549627194618832
221,14.549627194618832
222,14.549627194618832
223,14.549627194618832
224,14.470840591716243
225,14.470840591716243
226,14.470840591716243
227,14.363711997167274
228,14.363711997167274
229,14.210969040412868
230,14.210969040412868
231,14.20376326756852
232,14.122601140872359
233,14.122601140872359
234,14.075693737534547
235,14.075693737534547
236,13.962652411273607
237,13.67420904742115
238,13.67420904742115
239,13.67420904742115
240,13.67420904742115
241,13.67420904742115
242,13.466075661551669
243,13.442829375817247
244,13.442829375817247
245,13.067405482029004
246,13.067405482029004
247,13.067405482029004
248,13.02049807869119
249,12.992156087044812
