Random Strategy
5 Voters 5 Alternatives 
30 Questions for 10 runs 
Mean of Regret reduced by half in -1 questions 
Mean of Regret reduced by four in -1 questions 
Mean of Regret reduced by eight in -1 questions 
Mean of Average Loss reduced by half in 12 questions 
Mean of Average Loss reduced by four in 16 questions 
Mean of Average Loss reduced by eight in 16 questions 
k 	 Mean of Regrets 
0	5.0
1	5.0
2	5.0
3	5.0
4	4.99749985
5	4.958974008974359
6	4.9844742232493
7	4.899999333333334
8	4.67878735974026
9	4.81867371700716
10	4.7090731152040615
11	4.63677825372549
12	4.613359167334055
13	4.439288504295521
14	4.621943372127045
15	4.432398638179515
16	4.04566741796139
17	3.860408251467191
18	4.136985420009542
19	3.8485544869783856
20	3.666066534435435
21	3.7128361221348953
22	3.370817283727464
23	3.7094408494912985
24	3.1169569652403712
25	3.068794783245647
26	3.4467835440208554
27	3.0211465910686073
28	3.126203640209678
29	3.009870291562589
30	2.631946222292038
k 	 Mean of Average Losses 
0	1.0339332357778352
1	0.8508765966225741
2	1.341826052970597
3	1.097268021534628
4	1.1332955787128653
5	0.7760431992846265
6	0.8790767044710179
7	0.8723688923284998
8	1.0524446787630675
9	0.7910229057717891
10	0.8047091405812963
11	0.9205823653272998
12	0.4663251130645403
13	0.7595932900383378
14	0.4962729492242366
15	0.35850484411233086
16	0.11519468621815059
17	0.30483019020447527
18	0.4308866262970093
19	0.3552498384483886
20	0.8421022342983409
21	0.3903881104835474
22	0.3040168316902406
23	0.340576245947953
24	0.5128696208076076
25	0.2887168591305833
26	0.4701980166026253
27	0.29950917784184666
28	0.29950092520234667
29	0.5277232928888367
30	0.6975581687696246
k 	 Standard Deviations of Regrets 
0	0.0
1	0.0
2	0.0
3	0.0
4	0.0074999500033338246
5	0.1000987603069995
6	0.020556581916599252
7	0.1527525231671584
8	0.3064053163443691
9	0.13451471107427895
10	0.4361927794682372
11	0.29988244392097263
12	0.2058900017790844
13	0.3861213438716026
14	0.3101118132990871
15	0.4674625266212104
16	0.5601206381787339
17	0.42651204532322107
18	0.3971844516796553
19	0.6730419121722933
20	0.5220466943127485
21	0.818033166629742
22	0.6624224148299181
23	0.5284496000051715
24	0.5653071791231299
25	0.679509748939826
26	0.6953113623274576
27	0.6127574410312755
28	0.8373108216752132
29	0.3435586968397276
30	0.46649635947033985
k 	 Standard Deviations of Average Losses 
0	0.0
1	0.0
2	0.0
3	0.0
4	0.0074999500033338246
5	0.1000987603069995
6	0.020556581916599252
7	0.1527525231671584
8	0.3064053163443691
9	0.13451471107427895
10	0.4361927794682372
11	0.29988244392097263
12	0.2058900017790844
13	0.3861213438716026
14	0.3101118132990871
15	0.4674625266212104
16	0.5601206381787339
17	0.42651204532322107
18	0.3971844516796553
19	0.6730419121722933
20	0.5220466943127485
21	0.818033166629742
22	0.6624224148299181
23	0.5284496000051715
24	0.5653071791231299
25	0.679509748939826
26	0.6953113623274576
27	0.6127574410312755
28	0.8373108216752132
29	0.3435586968397276
30	0.46649635947033985
k 	 Percentage of Questions to the Voters 
0	�
1	60,0%
2	45,0%
3	46,7%
4	52,5%
5	54,0%
6	41,7%
7	45,7%
8	56,2%
9	40,0%
10	43,0%
11	50,9%
12	45,0%
13	47,7%
14	51,4%
15	45,3%
16	56,2%
17	50,0%
18	41,1%
19	51,1%
20	53,5%
21	50,0%
22	50,0%
23	54,3%
24	54,2%
25	54,0%
26	44,6%
27	53,0%
28	46,4%
29	54,1%
30	53,0%
