k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,10,10,10,0,0.25,1.55,3.73,0.67
1,10,10,10,0,0.25,1.55,3.73,0.67
2,10,10,10,0,0,1.08,5.29,1.1
3,10,10,10,0,0,1.09,5.29,1.09
4,8.75,8.75,8.75,0,0,0.98,4.06,0.96
5,8.33,8.68,8.75,0.12,0,0.98,4.06,0.96
6,8,8.57,8.75,0.22,0,0.98,4.06,0.96
7,8,8.46,8.75,0.28,0,0.98,4.06,0.96
8,7.33,8.32,8.75,0.38,0,0.98,4.06,0.96
9,7,8.15,8.75,0.47,0,0.96,4.06,0.95
10,6.75,7.95,8.75,0.54,0,0.95,4.06,0.95
11,6.5,7.76,8.75,0.58,0,0.94,4.06,0.94
12,6,7.58,8.75,0.61,0,0.87,4.06,0.94
13,5.5,7.39,8.75,0.64,0,0.85,4.06,0.93
14,5.25,7.2,8.67,0.66,0,0.8,4.06,0.92
15,5,7.02,8.67,0.69,0,0.82,4.06,0.95
16,5,6.85,8.67,0.72,0,0.77,4.06,0.93
17,4.5,6.7,8.67,0.76,0,0.71,3.62,0.88
18,4.5,6.51,8.33,0.74,0,0.7,4.06,0.91
19,4.33,6.37,8.33,0.76,0,0.7,4.06,0.91
20,4,6.17,8,0.78,0,0.72,4.06,0.92
21,4,6.02,8,0.79,0,0.68,4.06,0.87
22,4,5.86,8,0.78,0,0.65,3.33,0.85
23,3.5,5.69,8,0.81,0,0.6,4.06,0.83
24,3,5.49,7.67,0.83,0,0.58,4.06,0.81
25,3,5.29,7.5,0.83,0,0.59,4.06,0.8
26,2.33,5.14,7.5,0.87,0,0.57,3.33,0.78
27,2.33,4.97,7.5,0.89,0,0.55,3.33,0.75
28,2.33,4.8,7.33,0.91,0,0.53,3.33,0.75
29,2,4.62,7.33,0.93,0,0.54,3.33,0.75
30,2,4.46,7,0.95,0,0.51,3.33,0.72
31,1.5,4.31,7,0.99,0,0.51,2.86,0.7
32,1,4.12,6.67,0.97,0,0.48,2.86,0.68
33,0.75,3.99,6.67,0.97,0,0.47,2.86,0.66
34,0.75,3.82,6.33,0.98,0,0.47,2.86,0.67
35,0.75,3.69,6,1,0,0.46,2.84,0.66
36,0.75,3.52,6,1.03,0,0.45,2.86,0.65
37,0.75,3.36,6,1.01,0,0.41,2.84,0.63
38,0.5,3.25,6,0.98,0,0.4,2.84,0.62
39,0.5,3.11,5.5,0.97,0,0.38,2.84,0.6
40,0.5,2.98,5.5,0.99,0,0.4,2.84,0.62
41,0.5,2.86,5.25,0.99,0,0.4,2.84,0.61
42,0.33,2.72,5,1.01,0,0.34,2.84,0.54
43,0,2.58,5,1.01,0,0.31,2.84,0.52
44,0,2.43,5,1,0,0.31,2.84,0.52
45,0,2.31,4.75,0.99,0,0.29,2.84,0.51
46,0,2.21,4.67,1,0,0.28,2.84,0.49
