k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,10,10,10,0,0.25,1.55,3.73,0.67
1,10,10,10,0,0.25,1.55,3.73,0.67
2,10,10,10,0,0,1.25,4.87,1.22
3,10,10,10,0,0,1.08,4.03,1.12
4,8.75,8.75,8.75,0,0,1,4.49,1.07
5,8.5,8.72,8.75,0.06,0,1,4.49,1.07
6,8.5,8.67,8.75,0.12,0,1,4.49,1.07
7,8,8.56,8.75,0.28,0,1,4.49,1.07
8,7.25,8.3,8.75,0.44,0,0.95,4.49,1.07
9,7.25,8.25,8.67,0.42,0,0.93,4.49,1.06
10,7,8.14,8.5,0.45,0,0.92,4.49,1.04
11,6.75,7.91,8.5,0.45,0,0.85,4.49,0.98
12,5.75,7.58,8.33,0.54,0,0.69,4.49,0.93
13,5.75,7.55,8.33,0.55,0,0.71,4.49,0.95
14,5.75,7.44,8.25,0.55,0,0.71,3.35,0.86
15,5.5,7.22,8,0.53,0,0.69,3.6,0.88
16,5,6.94,8,0.52,0,0.63,3.73,0.86
17,5,6.91,8,0.54,0,0.64,3.73,0.86
18,5,6.82,7.75,0.57,0,0.59,4.34,0.84
19,4.75,6.62,7.67,0.57,0,0.58,3.39,0.84
20,4.25,6.32,7.25,0.61,0,0.55,3.39,0.79
21,4,6.28,7.25,0.63,0,0.54,3.39,0.79
22,3.75,6.18,7.25,0.64,0,0.56,3.39,0.8
23,3.5,6.01,7.25,0.65,0,0.48,3.36,0.74
24,3.5,5.77,6.75,0.64,0,0.44,2.92,0.69
25,3.5,5.74,6.75,0.64,0,0.46,3.35,0.73
26,3.5,5.63,6.67,0.66,0,0.46,2.92,0.72
27,3.5,5.42,6.67,0.65,0,0.41,2.92,0.68
28,3,5.14,6.33,0.64,0,0.43,2.64,0.68
29,3,5.1,6.33,0.65,0,0.45,2.64,0.69
30,3,5.03,6.25,0.67,0,0.42,2.62,0.67
31,2.75,4.86,6.25,0.7,0,0.39,2.92,0.67
32,2.25,4.58,6,0.75,0,0.32,2.31,0.57
33,2,4.53,6,0.75,0,0.33,2.43,0.59
34,1.75,4.42,5.75,0.76,0,0.31,2.43,0.57
35,1.5,4.23,5.75,0.75,0,0.27,2.92,0.53
36,0.75,3.94,5.5,0.8,0,0.22,1.99,0.44
37,0.75,3.9,5.33,0.81,0,0.2,1.99,0.41
38,0.75,3.81,5.25,0.81,0,0.2,1.81,0.39
39,0.75,3.65,5.25,0.81,0,0.16,2.33,0.36
40,0.75,3.37,4.75,0.83,0,0.15,2.33,0.35
41,0.59,3.33,4.75,0.88,0,0.15,2.33,0.35
42,0.59,3.29,4.75,0.9,0,0.15,2.33,0.35
43,0,3.19,4.75,0.97,0,0.14,1.56,0.31
44,0,3.13,4.75,1,0,0.14,1.81,0.32
45,0,3.08,4.75,1.05,0,0.14,1.81,0.32
