k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,10,10,10,0,0.25,1.55,3.73,0.67
1,10,10,10,0,0.25,1.55,3.73,0.67
2,10,10,10,0,0,1.34,4.68,1.01
3,10,10,10,0,0,1.05,4.47,1.09
4,8.75,9,10,0.43,0,0.92,4.47,1.06
5,8.33,8.75,10,0.19,0,0.96,4.47,1.12
6,8,8.59,10,0.25,0,0.97,4.47,1.11
7,8,8.45,8.75,0.3,0,0.97,4.47,1.11
8,7.33,8.26,8.75,0.44,0,0.97,4.47,1.11
9,7,8.02,8.75,0.53,0,1,4.47,1.15
10,6.75,7.8,8.75,0.54,0,0.94,4.47,1.11
11,6.25,7.59,8.75,0.58,0,0.81,4.47,1.03
12,6,7.37,8.75,0.56,0,0.81,4.47,1.05
13,5.75,7.19,8.75,0.61,0,0.82,4.47,1.05
14,5.25,7.01,8.75,0.65,0,0.79,4.47,1.03
15,5,6.82,8.75,0.69,0,0.78,4.47,1.03
16,5,6.64,8.75,0.74,0,0.77,4.47,1.03
17,4.5,6.44,8.67,0.8,0,0.73,4.47,1
18,4.25,6.25,8.33,0.82,0,0.69,4.47,0.95
19,4,6.04,8.33,0.84,0,0.7,4.47,0.96
20,3.75,5.85,8,0.87,0,0.62,4.47,0.9
21,3.75,5.68,7.5,0.87,0,0.61,4.47,0.87
22,3.75,5.5,7.5,0.85,0,0.59,4.47,0.84
23,3.33,5.34,7.5,0.88,0,0.6,4.47,0.85
24,3,5.12,7.33,0.91,0,0.6,4.47,0.86
25,3,4.93,7.33,0.95,0,0.54,4.47,0.81
26,3,4.75,7.33,0.97,0,0.52,4.47,0.79
27,2.5,4.53,7,0.97,0,0.5,4.47,0.76
28,2,4.35,6.75,1,0,0.49,4.47,0.78
29,2,4.19,6.75,1,0,0.49,4.47,0.76
30,1.5,4,6.75,1.01,0,0.47,4.47,0.75
31,1.33,3.82,6.33,1.05,0,0.47,4.47,0.75
32,1.25,3.67,6.33,1.07,0,0.45,4.47,0.74
33,1.25,3.52,6.33,1.07,0,0.42,2.89,0.68
34,0.67,3.34,6,1.08,0,0.41,2.89,0.67
35,0,3.22,6,1.08,0,0.39,2.89,0.65
36,0,3.1,5.75,1.05,0,0.37,2.89,0.65
37,0,2.99,5.75,1.06,0,0.35,2.73,0.6
38,0,2.86,5.75,1.05,0,0.33,2.73,0.58
39,0,2.71,5,1.03,0,0.33,2.56,0.57
40,0,2.57,4.75,1.05,0,0.32,2.56,0.55
41,0,2.45,4.75,1.08,0,0.29,2.56,0.52
42,0,2.34,4.5,1.08,0,0.28,2.55,0.51
43,0,2.23,4.5,1.07,0,0.25,2.55,0.48
44,0,2.12,4.5,1.05,0,0.24,2.55,0.47
45,0,2,4.25,1.03,0,0.22,2.55,0.44
46,0,1.89,4,1.01,0,0.22,2.55,0.44
