k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,10,10,10,0,0.26,1.52,3.93,0.66
1,10,10,10,0,0.26,1.52,3.93,0.66
2,10,10,10,0,0,1.2,4.09,1.14
3,10,10,10,0,0,1.02,4.09,1.07
4,8.75,8.75,8.75,0,0,0.86,4.22,1
5,8.33,8.67,8.75,0.13,0,0.86,4.22,1
6,8,8.57,8.75,0.22,0,0.86,4.22,1
7,8,8.46,8.75,0.28,0,0.86,4.22,1
8,7.33,8.32,8.75,0.38,0,0.86,4.22,1
9,7,8.17,8.75,0.49,0,0.84,4.22,1
10,7,7.99,8.75,0.55,0,0.84,4.22,0.98
11,6.75,7.82,8.75,0.57,0,0.81,4.22,0.97
12,6.5,7.65,8.75,0.6,0,0.78,4.22,0.93
13,6,7.46,8.75,0.62,0,0.81,4.22,0.97
14,5.5,7.29,8.75,0.62,0,0.77,4.22,0.96
15,5.5,7.1,8.75,0.67,0,0.68,4.22,0.88
16,5,6.9,8.67,0.73,0,0.68,4.22,0.88
17,5,6.74,8.5,0.72,0,0.65,4.22,0.88
18,4.33,6.57,8,0.74,0,0.65,5.12,0.91
19,3.75,6.38,8,0.75,0,0.63,4.22,0.86
20,3.5,6.17,7.5,0.78,0,0.58,4.22,0.82
21,3.5,6.01,7.5,0.77,0,0.59,4.22,0.83
22,3.5,5.86,7.5,0.82,0,0.56,4.22,0.81
23,3,5.67,7.33,0.86,0,0.55,4.22,0.78
24,3,5.46,7.33,0.89,0,0.52,3.45,0.73
25,2.25,5.32,7,0.93,0,0.52,3.45,0.72
26,2.25,5.16,7,0.92,0,0.49,3.45,0.71
27,2,4.98,7,0.94,0,0.49,2.91,0.7
28,2,4.84,6.75,0.94,0,0.48,2.91,0.7
29,2,4.65,6.67,0.96,0,0.44,2.91,0.65
30,2,4.49,6.67,0.97,0,0.43,2.85,0.62
31,1.33,4.29,6.5,0.98,0,0.39,2.85,0.6
32,1.33,4.14,6.5,0.99,0,0.4,2.85,0.61
33,1.33,4.01,6.33,0.98,0,0.37,2.85,0.57
