k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,12,12,12,0,0.81,1.74,3,0.62
1,12,12,12,0,0.81,1.74,3,0.62
2,12,12,12,0,0,1.31,4.4,1.13
3,12,12,12,0,0,1.34,3.43,1.07
4,12,12,12,0,0,1.22,2.9,1
5,12,12,12,0,0,1.3,2.9,1
6,12,12,12,0,0,1.01,2.9,0.95
7,10.86,10.86,10.86,0,0,0.91,2.9,0.97
8,10.67,10.83,10.86,0.06,0,0.91,2.9,0.97
9,10.4,10.79,10.86,0.11,0,0.91,2.9,0.97
10,10.4,10.78,10.86,0.12,0,0.91,2.9,0.97
11,10.33,10.75,10.86,0.15,0,0.91,2.9,0.97
12,10,10.72,10.86,0.21,0,0.91,2.9,0.97
13,10,10.7,10.86,0.21,0,0.91,2.9,0.97
14,9.67,10.63,10.86,0.33,0,0.91,2.9,0.97
15,9.67,10.6,10.86,0.32,0,0.91,2.9,0.97
16,9.67,10.54,10.86,0.36,0,0.91,2.9,0.97
17,9.5,10.51,10.83,0.38,0,0.91,2.9,0.97
18,9.5,10.47,10.83,0.37,0,0.91,2.9,0.97
19,9.5,10.4,10.8,0.39,0,0.89,2.9,0.99
20,9.5,10.36,10.8,0.42,0,0.77,2.9,0.95
21,9.5,10.29,10.8,0.47,0,0.77,2.9,0.95
22,9.5,10.23,10.8,0.51,0,0.77,2.9,0.95
23,9.5,10.19,10.8,0.52,0,0.89,2.9,0.99
24,9.2,10.07,10.8,0.55,0,0.89,2.9,0.99
25,9,9.97,10.8,0.58,0,0.89,2.9,0.99
26,9,9.91,10.8,0.63,0,0.89,2.9,0.99
27,9,9.82,10.8,0.6,0,0.89,2.9,0.99
28,9,9.81,10.8,0.6,0,0.88,2.9,0.99
29,8.86,9.72,10.8,0.61,0,0.85,2.9,1.01
30,8.4,9.65,10.8,0.61,0,0.95,3.4,1.1
31,8,9.55,10.75,0.64,0,0.95,3.4,1.1
32,8,9.4,10.67,0.61,0,0.87,3.4,1.14
33,8,9.28,10.67,0.53,0,0.9,3.4,1.12
34,7.83,9.24,10.5,0.54,0,0.86,3.4,1.14
35,7.5,9.1,10,0.55,0,0.86,3.4,1.14
36,7.5,9,10,0.64,0,0.71,2.9,0.95
37,7.5,8.97,10,0.62,0,0.71,2.9,0.95
38,7.33,8.96,10,0.64,0,0.71,2.9,0.95
39,7.33,8.85,9.6,0.61,0,0.71,2.9,0.95
40,7.33,8.71,9.6,0.68,0,0.71,2.9,0.95
