k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,10,10,10,0,0.26,1.52,3.93,0.66
1,10,10,10,0,0.26,1.52,3.93,0.66
2,10,10,10,0,0,1.4,4.59,0.95
3,10,10,10,0,0,1.17,4.49,1.12
4,8.75,9.1,10,0.49,0,1.08,4.49,1.11
5,8.33,8.76,10,0.24,0,1.03,4.49,1.09
6,8,8.6,8.75,0.22,0,1.02,4.49,1.08
7,8,8.45,8.75,0.3,0,1.02,4.49,1.08
8,7,8.26,8.75,0.42,0,1.02,4.49,1.08
9,7,8.02,8.75,0.51,0,0.93,4.47,1.02
10,6.75,7.8,8.75,0.56,0,0.94,4.47,1.06
11,6.25,7.59,8.67,0.56,0,0.95,4.47,1.04
12,6,7.39,8.67,0.58,0,0.91,4.47,1.01
13,5.5,7.2,8.67,0.6,0,0.86,4.29,1
14,5.25,7,8.67,0.64,0,0.8,4.29,0.97
15,5,6.78,8.5,0.65,0,0.75,4.29,0.94
16,4.5,6.59,8,0.7,0,0.71,4.29,0.91
17,4.5,6.41,8,0.72,0,0.67,4.29,0.88
18,4,6.19,7.75,0.74,0,0.63,4.29,0.86
19,4,5.98,7.75,0.75,0,0.59,4.29,0.84
20,4,5.75,7.33,0.76,0,0.57,3.92,0.79
21,3,5.52,7.33,0.79,0,0.57,3.24,0.77
22,3,5.33,7.33,0.8,0,0.53,3.24,0.73
23,3,5.14,7.33,0.8,0,0.51,3.24,0.72
24,3,4.94,7.33,0.83,0,0.51,3.24,0.72
25,2.5,4.75,7,0.84,0,0.49,3.24,0.7
26,2.25,4.56,7,0.89,0,0.47,3.24,0.68
27,2.23,4.42,7,0.9,0,0.47,3.49,0.68
28,1.81,4.25,7,0.93,0,0.45,3.49,0.68
29,1.5,4.08,7,0.93,0,0.46,3.24,0.68
30,1.25,3.92,6.75,0.95,0,0.42,3.24,0.66
31,1.25,3.77,6.5,0.96,0,0.42,3.24,0.66
32,1,3.6,6.5,1.01,0,0.43,3.24,0.66
33,1,3.45,6.5,0.99,0,0.39,3.24,0.64
