k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,20,20,20,0,1.26,2.15,3.31,0.74
1,20,20,20,0,1.26,2.15,3.31,0.74
2,20,20,20,0,0,1.81,4.18,1.38
3,20,20,20,0,0,1.89,4.18,1.33
4,20,20,20,0,0,1.89,4.18,1.33
5,20,20,20,0,0,1.51,4.18,1.3
6,20,20,20,0,0,1.89,4.22,1.47
7,20,20,20,0,0,1.66,4.18,1.53
8,20,20,20,0,0,1.64,4.18,1.53
9,18.89,18.89,18.89,0,0,1.64,4.18,1.53
10,18.87,18.89,18.89,0.01,0,1.64,4.18,1.53
11,18.87,18.89,18.89,0.01,0,1.64,4.18,1.53
12,18.87,18.89,18.89,0.01,0,1.64,4.18,1.53
13,18.87,18.89,18.89,0.01,0,1.64,4.18,1.53
14,18.75,18.87,18.89,0.04,0,1.64,4.18,1.53
15,18.67,18.86,18.89,0.07,0,1.64,4.18,1.53
16,18.67,18.86,18.89,0.07,0,1.64,4.18,1.53
17,18.67,18.86,18.89,0.07,0,1.64,4.18,1.53
18,18.67,18.78,18.87,0.05,0,1.72,4.18,1.56
19,18.67,18.77,18.8,0.04,0,1.53,3.89,1.32
20,18.67,18.77,18.8,0.04,0,1.7,4.18,1.57
21,18.67,18.76,18.78,0.04,0,1.45,4.18,1.62
22,18.67,18.76,18.78,0.04,0,1.45,4.18,1.62
23,18.5,18.72,18.78,0.1,0,1.65,4.18,1.61
24,18.33,18.6,18.78,0.19,0,1.52,4.18,1.69
25,18,18.36,18.78,0.33,0,1.49,4.18,1.65
26,17.89,18.25,18.78,0.4,0,1.49,4.18,1.65
27,17.67,18.14,18.67,0.47,0,1.24,3.58,1.5
28,17.67,18.14,18.67,0.47,0,1.24,3.58,1.5
29,17.67,18.14,18.67,0.47,0,1.24,3.58,1.5
30,17.67,18.13,18.67,0.45,0,1.24,3.58,1.5
31,17.67,18.11,18.6,0.43,0,1.31,3.58,1.44
32,17.67,18.05,18.6,0.37,0,1.07,3.58,1.43
