k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,20,20,20,0,1.59,2.88,5.6,1.2
1,20,20,20,0,1.59,2.88,5.6,1.2
2,20,20,20,0,0,2.41,5.89,2.29
3,20,20,20,0,0,2.62,5.89,2.19
4,20,20,20,0,0,2.25,5.89,2.21
5,20,20,20,0,0,1.92,5.09,1.82
6,20,20,20,0,0,1.64,5.09,1.7
7,20,20,20,0,0,1.93,5.09,1.84
8,20,20,20,0,0,1.67,5.09,1.91
9,18.89,18.89,18.89,0,0,1.77,5.09,1.98
10,18.87,18.89,18.89,0.01,0,1.77,5.09,1.98
11,18.86,18.88,18.89,0.01,0,1.77,5.09,1.98
12,18.83,18.88,18.89,0.02,0,1.77,5.09,1.98
13,18.8,18.87,18.89,0.03,0,1.77,5.09,1.98
14,18.75,18.87,18.89,0.05,0,1.77,5.09,1.98
15,18.67,18.86,18.89,0.07,0,1.77,5.09,1.98
16,18.5,18.83,18.89,0.12,0,1.77,5.09,1.98
17,18,18.78,18.89,0.28,0,1.77,5.09,1.98
18,18,18.69,18.83,0.25,0,1.97,3.5,1.27
19,18,18.69,18.78,0.24,0,1.62,3.37,1.29
20,18,18.69,18.78,0.24,0,1.62,3.37,1.29
21,18,18.69,18.78,0.24,0,1.62,3.37,1.29
22,18,18.65,18.78,0.24,0,1.7,3.37,1.32
23,18,18.62,18.78,0.25,0,1.54,3.37,1.4
24,18,18.59,18.78,0.27,0,1.71,3.37,1.51
25,18,18.51,18.78,0.32,0,1.54,3.37,1.4
26,17.89,18.5,18.78,0.34,0,1.46,3.37,1.32
27,17.56,18.37,18.67,0.42,0,1.79,3.37,1.34
28,17.56,18.37,18.67,0.42,0,1.79,3.37,1.34
29,17.56,18.37,18.67,0.42,0,1.79,3.37,1.34
30,17.56,18.37,18.67,0.42,0,1.79,3.37,1.34
31,17.56,18.35,18.67,0.41,0,1.18,2.58,1.13
32,17.56,18.33,18.67,0.4,0,1.18,2.58,1.13
33,17.56,18.24,18.67,0.38,0,1.18,2.58,1.13
34,17.44,18.09,18.67,0.43,0,1.18,2.58,1.13
35,17.44,18.02,18.67,0.44,0,1.33,2.58,1.06
36,17.25,17.89,18.56,0.47,0,0.97,2.58,1.09
37,17.25,17.89,18.56,0.47,0,0.97,2.58,1.09
38,17.25,17.89,18.56,0.47,0,0.97,2.58,1.09
39,17.25,17.89,18.56,0.47,0,0.97,2.58,1.09
40,17.25,17.89,18.56,0.47,0,0.97,2.58,1.09
41,17.25,17.89,18.56,0.47,0,0.97,2.58,1.09
42,16.75,17.84,18.56,0.55,0,1.13,2.57,1.08
43,16.5,17.77,18.56,0.62,0,1.09,2.57,1.04
44,16.25,17.61,18.44,0.64,0,1.57,3.5,1.25
45,16,17.47,18.33,0.7,0,1.63,3.5,1.44
46,16,17.47,18.33,0.7,0,1.63,3.5,1.44
47,16,17.46,18.33,0.7,0,1.28,3.37,1.36
48,16,17.46,18.33,0.7,0,1.29,3.37,1.38
49,16,17.42,18.33,0.7,0,1.64,3.5,1.46
50,16,17.38,18.33,0.7,0,1.43,3.5,1.32
51,16,17.3,18.33,0.65,0,1.33,3.5,1.25
52,16,17.19,18,0.58,0,1.49,3.5,1.25
53,16,17.1,17.89,0.55,0,1.31,3.5,1.33
54,16,16.95,17.67,0.5,0,1.19,3.5,1.29
55,16,16.95,17.67,0.5,0,1.19,3.5,1.29
56,16,16.95,17.67,0.5,0,1.19,3.5,1.29
57,16,16.95,17.67,0.5,0,1.19,3.5,1.29
58,16,16.95,17.67,0.5,0,1.19,3.5,1.29
59,16,16.93,17.67,0.5,0,1.19,3.5,1.29
60,15.86,16.92,17.67,0.53,0,1.19,3.5,1.29
61,15.86,16.83,17.67,0.52,0,0.84,3.5,1.13
62,15.86,16.71,17.67,0.5,0,0.84,3.5,1.13
63,15.86,16.59,17.44,0.48,0,0.86,3.5,1.14
64,15.86,16.59,17.44,0.48,0,0.86,3.5,1.14
65,15.86,16.58,17.44,0.48,0,0.86,3.5,1.14
66,15.86,16.54,17.44,0.51,0,0.86,3.5,1.14
67,15.86,16.49,17.44,0.51,0,0.86,3.5,1.14
68,15.86,16.41,17.44,0.5,0,0.86,3.5,1.14
69,15.71,16.35,17.44,0.53,0,0.86,3.5,1.14
70,15.71,16.29,17.44,0.55,0,0.86,3.5,1.14
71,15.62,16.26,17.44,0.57,0,0.86,3.5,1.14
72,15.37,16.16,17.33,0.57,0,0.86,3.5,1.14
73,15.37,16.16,17.33,0.57,0,0.86,3.5,1.14
74,15.37,16.16,17.33,0.57,0,0.86,3.5,1.14
75,15.37,16.14,17.33,0.57,0,0.86,3.5,1.14
76,15.37,16.14,17.33,0.57,0,0.86,3.5,1.14
77,15.37,16.14,17.33,0.57,0,0.86,3.5,1.14
78,15.37,16.13,17.33,0.58,0,0.86,3.5,1.14
79,15.37,16.13,17.33,0.58,0,0.86,3.5,1.14
80,15.37,16.07,17.33,0.6,0,1.15,3.5,1.21
81,15.25,15.96,17.11,0.56,0,1.19,3.5,1.23
82,15.25,15.96,17.11,0.56,0,1.19,3.5,1.23
83,15.14,15.95,17.11,0.57,0,1.19,3.5,1.23
84,15,15.93,17.11,0.6,0,1.19,3.5,1.23
