k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,20,20,20,0,1.26,2.15,3.31,0.74
1,20,20,20,0,1.26,2.15,3.31,0.74
2,20,20,20,0,0,1.87,3.31,0.93
3,20,20,20,0,0,1.95,4.13,1.36
4,20,20,20,0,0,1.58,4.13,1.32
5,20,20,20,0,0,1.7,4.13,1.33
6,20,20,20,0,0,1.47,4.13,1.34
7,20,20,20,0,0,1.45,3.89,1.29
8,20,20,20,0,0,1.16,3.89,1.19
9,18.89,19.27,20,0.51,0,1.11,3.86,1.34
10,18.87,18.97,19.67,0.25,0,1.1,3.86,1.35
11,18.71,18.93,19.5,0.21,0,1.51,4.56,1.71
12,18.5,18.84,19,0.13,0,1.51,4.56,1.71
13,18.4,18.79,18.89,0.15,0,1.51,4.56,1.71
14,18.25,18.75,18.89,0.18,0,1.51,4.56,1.71
15,18,18.68,18.87,0.25,0,1.51,4.56,1.71
16,18,18.61,18.86,0.27,0,1.51,4.56,1.71
17,18,18.46,18.83,0.34,0,1.51,4.56,1.71
18,17.75,18.41,18.83,0.38,0,1.51,4.56,1.71
19,17.71,18.24,18.83,0.43,0,1.51,4.56,1.71
20,17.67,18.13,18.83,0.4,0,1.51,4.56,1.71
21,17.5,18.07,18.83,0.43,0,1.51,4.56,1.71
22,17.5,18.05,18.83,0.43,0,1.51,4.56,1.71
23,17.33,17.85,18.83,0.43,0,1.51,4.56,1.71
24,17,17.77,18.83,0.49,0,1.51,4.56,1.71
25,17,17.7,18.83,0.49,0,1.51,4.56,1.71
26,16.78,17.67,18.8,0.52,0,1.51,4.56,1.71
27,16.78,17.59,18.5,0.46,0,1.51,4.56,1.71
28,16.78,17.44,17.75,0.32,0,1.51,4.56,1.71
29,16.62,17.4,17.75,0.35,0,1.51,4.56,1.71
30,16.57,17.33,17.75,0.35,0,1.51,4.56,1.71
31,16.5,17.28,17.75,0.37,0,1.51,4.56,1.71
32,16.4,17.22,17.67,0.39,0,1.51,4.56,1.71
