k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,20,20,20,0,1.59,2.88,5.6,1.2
1,20,20,20,0,1.59,2.88,5.6,1.2
2,20,20,20,0,0,2.74,5.6,1.47
3,20,20,20,0,0,2.42,5.6,1.68
4,20,20,20,0,0,2.52,6.15,2.23
5,20,20,20,0,0,2.31,6.15,2.09
6,20,20,20,0,0,1.59,6.15,2
7,20,20,20,0,0,1.57,6.15,1.99
8,20,20,20,0,0,1.83,6.15,2.13
9,18.89,19.54,20,0.47,0,1.83,6.15,2.13
10,18.87,19.04,19.5,0.25,0,2.39,6.15,2.32
11,18.86,18.91,19,0.05,0,2.31,6.15,2.28
12,18.75,18.86,18.89,0.04,0,2.31,6.15,2.28
13,18.71,18.84,18.89,0.05,0,2.31,6.15,2.28
14,18.5,18.79,18.89,0.11,0,2.31,6.15,2.28
15,18.4,18.72,18.89,0.16,0,2.31,6.15,2.28
16,18,18.58,18.87,0.27,0,2.31,6.15,2.28
17,18,18.53,18.87,0.31,0,2.31,6.15,2.28
18,18,18.44,18.87,0.34,0,2.31,6.15,2.28
19,17.75,18.34,18.87,0.39,0,2.31,6.15,2.28
20,17.71,18.2,18.87,0.42,0,2.31,6.15,2.28
21,17.57,18.15,18.87,0.46,0,2.31,6.15,2.28
22,17.5,18.03,18.87,0.47,0,2.31,6.15,2.28
23,17.2,17.96,18.87,0.53,0,2.31,6.15,2.28
24,17,17.9,18.86,0.55,0,2.47,6.15,2.41
25,17,17.84,18.83,0.5,0,2.47,6.15,2.41
26,16.89,17.76,18.83,0.52,0,2.47,6.15,2.41
27,16.67,17.69,18.83,0.57,0,2.47,6.15,2.41
28,16.67,17.62,18.83,0.59,0,2.47,6.15,2.41
29,16.62,17.53,18.8,0.56,0,2.47,6.15,2.41
30,16.57,17.43,18.75,0.59,0,1.85,5.63,2.14
31,16.33,17.39,18.67,0.61,0,1.85,5.63,2.14
32,16.2,17.32,18.5,0.61,0,1.85,5.63,2.14
33,16.2,17.23,18.33,0.6,0,1.85,5.63,2.14
34,16.2,17.13,18.2,0.62,0,1.85,5.63,2.14
35,16,17.04,18,0.64,0,1.85,5.63,2.14
36,16,17.04,18,0.64,0,1.85,5.63,2.14
37,16,16.98,17.67,0.63,0,1.85,5.63,2.14
38,16,16.82,17.62,0.6,0,1.85,5.63,2.14
39,16,16.66,17.43,0.55,0,1.85,5.63,2.14
40,16,16.56,17.43,0.52,0,1.85,5.63,2.14
41,16,16.56,17.43,0.52,0,1.85,5.63,2.14
42,16,16.51,17.29,0.46,0,1.85,5.63,2.14
43,15.86,16.46,17.17,0.46,0,1.85,5.63,2.14
44,15.83,16.39,17.17,0.45,0,1.85,5.63,2.14
45,15.33,16.18,17,0.53,0,1.85,5.63,2.14
46,15,15.99,16.86,0.64,0,1.85,5.63,2.14
47,15,15.84,16.67,0.6,0,1.85,5.63,2.14
48,15,15.74,16.43,0.57,0,1.85,5.63,2.14
49,14.89,15.68,16.33,0.57,0,1.85,5.63,2.14
50,14.75,15.59,16.33,0.56,0,1.85,5.63,2.14
51,14.75,15.52,16.33,0.51,0,1.85,5.63,2.14
52,14.75,15.51,16.33,0.51,0,1.85,5.63,2.14
53,14.75,15.45,16.33,0.51,0,1.85,5.63,2.14
54,14.71,15.36,16.25,0.53,0,1.85,5.63,2.14
55,14,15.15,16.17,0.63,0,1.85,5.63,2.14
56,14,15.06,16.17,0.64,0,1.85,5.63,2.14
57,14,14.97,16.17,0.64,0,1.85,5.63,2.14
58,14,14.84,16.17,0.62,0,1.85,5.63,2.14
59,14,14.81,16.17,0.62,0,1.85,5.63,2.14
60,14,14.76,16,0.58,0,1.85,5.63,2.14
61,13.87,14.74,16,0.6,0,1.85,5.63,2.14
62,13.75,14.64,15.86,0.61,0,1.85,5.63,2.14
63,13.57,14.58,15.83,0.67,0,1.85,5.63,2.14
64,13.5,14.51,15.83,0.69,0,1.85,5.63,2.14
65,13,14.37,15.83,0.84,0,1.85,5.63,2.14
66,13,14.3,15.83,0.86,0,1.85,5.63,2.14
67,13,14.24,15.83,0.91,0,1.85,5.63,2.14
68,13,14.15,15.83,0.91,0,1.85,5.63,2.14
69,13,14.09,15.83,0.89,0,1.85,5.63,2.14
70,13,14.03,15.83,0.92,0,1.85,5.63,2.14
71,12.83,13.93,15.8,0.94,0,1.85,5.63,2.14
72,12.67,13.85,15.8,0.94,0,1.85,5.63,2.14
73,12.67,13.81,15.8,0.95,0,1.85,5.63,2.14
74,12.67,13.73,15.2,0.83,0,1.85,5.63,2.14
75,12,13.54,14.8,0.93,0,1.85,5.63,2.14
76,11.43,13.41,14.8,1.04,0,1.85,5.63,2.14
77,11.29,13.31,14.8,1.03,0,1.85,5.63,2.14
78,11.17,13.22,14.8,1.09,0,1.85,5.63,2.14
79,11,13.13,14.8,1.1,0,1.85,5.63,2.14
80,11,13.08,14.75,1.09,0,1.85,5.63,2.14
81,11,13.03,14.75,1.11,0,1.85,5.63,2.14
82,11,12.95,14.57,1.11,0,1.85,5.63,2.14
83,11,12.93,14.4,1.08,0,1.85,5.63,2.14
84,11,12.92,14.4,1.07,0,1.85,5.63,2.14
85,11,12.92,14.4,1.07,0,1.85,5.63,2.14
