k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,20,20,20,0,1.59,2.88,5.6,1.2
1,20,20,20,0,1.59,2.88,5.6,1.2
2,20,20,20,0,1.59,2.81,5.6,1.15
3,20,20,20,0,1.59,2.83,5.6,1.14
4,20,20,20,0,0.22,2.82,5.6,1.49
5,20,20,20,0,0.22,2.82,5.6,1.49
6,20,20,20,0,0.22,2.86,5.6,1.4
7,20,20,20,0,0.97,2.86,5.6,1.32
8,20,20,20,0,1.3,2.84,5.6,1.31
9,20,20,20,0,0.22,2.7,5.6,1.43
10,20,20,20,0,0.22,2.72,5.6,1.43
11,20,20,20,0,0.22,2.65,5.6,1.49
12,20,20,20,0,0.22,2.64,5.6,1.49
13,20,20,20,0,0.22,2.48,5.6,1.61
14,20,20,20,0,0.22,2.49,6.22,1.81
15,20,20,20,0,0.22,2.46,6.22,1.81
16,19.89,19.99,20,0.04,0.22,2.23,6.22,1.79
17,19.89,19.99,20,0.04,0.22,2.24,6.22,1.78
18,19.86,19.98,20,0.05,0.22,2.58,6.22,1.82
19,19.86,19.97,20,0.05,0.22,2.58,6.22,1.82
20,19.86,19.97,20,0.05,0.22,2.83,6.22,1.95
21,19.86,19.97,20,0.05,0.22,2.83,6.22,1.95
22,19.86,19.97,20,0.05,0.22,3.01,6.22,2.08
23,19.86,19.97,20,0.05,0.9,3.25,6.22,1.56
24,19.85,19.96,20,0.06,0.9,3.26,5.94,1.5
25,19.85,19.96,20,0.06,0.9,3.26,5.94,1.5
26,19.85,19.96,20,0.06,0.9,3.26,5.94,1.5
27,19.85,19.96,20,0.07,1.96,3.53,5.94,1.25
28,19.8,19.94,20,0.08,1.72,3.5,5.94,1.28
29,19.8,19.94,20,0.08,0,3.06,5.94,1.82
30,19.8,19.94,20,0.08,0,3.06,5.94,1.82
31,19.8,19.94,20,0.08,0,3.09,5.94,1.76
32,19.8,19.92,20,0.08,0,2.93,5.94,1.63
33,19.8,19.92,20,0.08,0,2.93,5.94,1.63
34,19.8,19.91,20,0.08,0,3.15,5.94,1.59
35,19.79,19.91,20,0.08,0,3.15,5.94,1.59
36,19.79,19.87,20,0.07,0,3.19,5.94,1.57
37,19.79,19.87,20,0.07,0,3.19,5.94,1.57
38,19.79,19.86,20,0.06,0,3.16,5.94,1.57
39,19.79,19.86,20,0.06,0,3.16,5.94,1.57
40,19.79,19.84,19.89,0.03,0.54,3.22,5.94,1.45
41,19.79,19.84,19.89,0.03,0.22,3.07,5.94,1.68
42,19.79,19.84,19.89,0.03,0.22,3.07,5.94,1.68
43,19.79,19.84,19.89,0.03,0.22,3.07,5.94,1.68
44,19.79,19.83,19.89,0.03,0.22,3.07,5.94,1.68
45,19.79,19.83,19.89,0.03,0.22,3.1,6.22,1.74
46,19.79,19.83,19.89,0.03,0.22,3.1,6.22,1.74
47,19.76,19.82,19.89,0.04,0.22,3.1,6.22,1.74
48,19.76,19.82,19.89,0.04,0.22,3.1,6.22,1.74
49,19.76,19.82,19.89,0.04,0.22,3.1,6.22,1.74
50,19.76,19.82,19.89,0.04,0.22,3.1,6.22,1.74
51,19.6,19.8,19.89,0.08,0.22,3.1,6.22,1.74
52,19.6,19.8,19.89,0.08,0.22,3.1,6.22,1.74
53,19.6,19.8,19.89,0.08,0.22,3.1,6.22,1.74
54,19.6,19.79,19.89,0.08,0.22,3.1,6.22,1.74
55,19.6,19.77,19.85,0.09,0.22,3.26,6.22,1.84
56,19.6,19.77,19.85,0.09,0.22,3.26,6.22,1.84
57,19.6,19.76,19.85,0.09,0.22,3.26,6.22,1.84
58,19.6,19.74,19.85,0.1,0.22,3.26,6.22,1.84
59,19.59,19.74,19.85,0.1,0.22,3.26,6.22,1.84
60,19.59,19.74,19.85,0.1,0.22,2.99,4.99,1.53
61,19.59,19.74,19.85,0.1,0.22,2.99,4.99,1.53
62,19.59,19.74,19.85,0.1,0.22,2.99,4.99,1.53
63,19.59,19.73,19.85,0.1,0.22,2.99,4.99,1.53
64,19.59,19.73,19.85,0.1,0.22,2.99,4.99,1.53
65,19.58,19.71,19.85,0.1,0.22,2.99,4.99,1.53
66,19.58,19.69,19.84,0.09,0,2.93,4.99,1.63
67,19.58,19.69,19.84,0.09,0.08,2.94,4.99,1.61
68,19.58,19.69,19.84,0.09,0.08,2.94,4.99,1.61
69,19.47,19.66,19.84,0.1,0,2.93,4.99,1.63
70,19.47,19.65,19.84,0.11,0,2.85,4.99,1.67
71,19.47,19.63,19.84,0.12,0,2.85,4.99,1.67
72,19.43,19.63,19.84,0.12,0,2.85,4.99,1.67
73,19.43,19.62,19.84,0.12,0,3.34,6.22,1.93
74,19.42,19.62,19.84,0.12,0,3.34,6.22,1.93
75,19.01,19.54,19.84,0.22,0,3.21,6.22,1.93
76,19.01,19.52,19.83,0.22,0,2.94,4.99,1.63
77,19.01,19.52,19.83,0.22,0,2.94,4.99,1.63
78,19.01,19.52,19.83,0.22,0,2.94,4.99,1.63
79,19.01,19.52,19.83,0.22,0,2.94,4.99,1.63
80,19.01,19.52,19.83,0.22,0,2.94,4.99,1.63
81,19.01,19.49,19.83,0.23,0,2.94,4.99,1.63
82,19.01,19.49,19.83,0.23,0,2.94,4.99,1.63
