k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,30,30,30,0,13.83,14.1,14.73,0.29
1,30,30,30,0,13.83,14.1,14.73,0.29
2,30,30,30,0,13.83,14.1,14.73,0.29
3,30,30,30,0,8.34,13.48,14.73,1.82
4,30,30,30,0,0,12.09,14.73,4.62
5,30,30,30,0,0,12.09,14.73,4.62
6,30,30,30,0,0,12.68,19.81,5.22
7,30,30,30,0,0,10.65,14.73,5.89
8,30,30,30,0,0,11.08,14.73,5.15
9,29,29.9,30,0.32,0,11.08,14.73,5.15
10,29,29.86,30,0.31,4.66,11.31,16.7,3.86
11,29,29.84,30,0.3,0,8.43,13.95,5.4
12,29,29.82,30,0.29,0,8.14,15.19,5.37
13,29,29.8,30,0.29,0,5.68,10.64,4.18
14,29,29.79,30,0.28,0,5.59,16.7,5.22
15,29,29.67,29.87,0.36,0,5.98,16.7,5.28
16,29,29.59,29.87,0.41,0,5.98,16.7,5.28
17,29,29.57,29.86,0.4,0,6.87,12.26,3.4
18,29,29.56,29.86,0.39,0,6.5,12.26,4.09
19,29,29.48,29.86,0.41,0,5.54,11.62,4.36
20,29,29.46,29.86,0.4,0,5.5,11.62,4.33
21,29,29.44,29.83,0.38,0,5.67,9.65,3.53
22,29,29.43,29.83,0.38,0,5.41,8.67,3.29
23,29,29.37,29.83,0.4,0,5.62,8.67,2.72
24,29,29.33,29.8,0.36,0,5.56,8.67,3.4
25,29,29.32,29.8,0.35,0,5.16,8.67,3.25
26,29,29.25,29.8,0.34,0,5.16,8.67,3.25
27,28.75,29.21,29.8,0.35,0,5.16,8.67,3.25
28,28.5,29.15,29.75,0.37,0,5.35,9.65,3.46
29,28.43,29.06,29.75,0.43,0,4.51,9.65,3.66
30,28.14,28.93,29.75,0.48,0,4.06,9.65,3.93
31,28,28.91,29.75,0.51,0,4.06,9.65,3.93
32,27.87,28.85,29.75,0.57,0,4.53,9.65,3.66
33,27.86,28.82,29.67,0.58,0,4.02,8.67,3.19
34,27.86,28.77,29.5,0.54,0,3.69,9.65,3.63
35,27.86,28.72,29.5,0.54,0,2.82,9.65,3.33
36,27.8,28.7,29.5,0.56,0,2.31,4.7,2.44
37,27.75,28.67,29.5,0.55,0,2.31,4.7,2.44
38,27.62,28.62,29.33,0.56,0,1.85,4.7,2.39
39,27.5,28.46,29.33,0.6,0,1.85,4.7,2.39
40,27.37,28.31,29.33,0.62,0,2.34,4.82,2.46
41,27,28.21,29.33,0.73,0,2.36,9.65,3.37
42,27,28.15,29,0.68,0,1.85,4.7,2.39
43,27,28.08,29,0.66,0,2.76,9.09,3.2
44,27,28.06,29,0.66,0,2.3,9.09,3.24
45,27,27.93,28.75,0.68,0,1.83,9.09,3.19
46,27,27.78,28.75,0.57,0,1.84,4.66,2.38
47,27,27.76,28.75,0.59,0,1.84,4.66,2.38
48,27,27.74,28.75,0.57,0,1.84,4.66,2.38
