k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,9,9,9,0,5.59,5.84,6.16,0.2
1,9,9,9,0,5.59,5.84,6.16,0.2
2,9,9,9,0,5.59,6.04,7.86,0.67
3,9,9,9,0,0,5.16,6.16,1.84
4,9,9,9,0,0,4.46,6.16,2.27
5,9,9,9,0,0,4,6.16,2.33
6,9,9,9,0,0,3.7,8.69,2.65
7,9,9,9,0,0,2.72,5.61,2.13
8,9,9,9,0,0,1.72,4.15,1.69
9,9,9,9,0,0,1.34,4.15,1.5
10,9,9,9,0,0,0.58,1.8,0.76
11,9,9,9,0,0,0.4,1.55,0.65
12,9,9,9,0,0,0.24,1.31,0.51
13,7.92,8.88,9,0.34,0,0.24,1.31,0.51
14,7.92,8.63,9,0.5,0,0,0,0
15,7.82,8.27,9,0.48,0,0,0,0
16,7.8,8.08,9,0.38,0,0,0,0
17,7.78,7.99,8.83,0.3,0,0,0,0
18,7.62,7.87,7.92,0.09,0,0,0,0
19,7.57,7.84,7.92,0.11,0,0,0,0
20,7.5,7.81,7.91,0.12,0,0,0,0
21,7.4,7.76,7.9,0.15,0,0,0,0
22,7.25,7.72,7.89,0.19,0,0,0,0
23,7,7.62,7.87,0.26,0,0,0,0
24,7,7.52,7.86,0.26,0,0,0,0
25,7,7.32,7.83,0.33,0,0,0,0
26,6.83,7.17,7.77,0.33,0,0,0,0
27,6.82,7.07,7.75,0.31,0,0,0,0
28,6.7,7,7.67,0.29,0,0,0,0
29,6.67,6.84,7,0.1,0,0,0,0
30,6.62,6.79,6.92,0.08,0,0,0,0
31,6.43,6.74,6.83,0.12,0,0,0,0
32,6.33,6.7,6.82,0.14,0,0,0,0
33,6.2,6.64,6.8,0.17,0,0,0,0
34,6,6.56,6.78,0.22,0,0,0,0
35,6,6.5,6.75,0.22,0,0,0,0
36,5.92,6.34,6.71,0.25,0,0,0,0
37,5.77,6.13,6.67,0.3,0,0,0,0
38,5.75,6.07,6.58,0.27,0,0,0,0
39,5.73,5.99,6.5,0.28,0,0,0,0
40,5.6,5.84,6.33,0.2,0,0,0,0
41,5.56,5.77,6,0.12,0,0,0,0
42,5.5,5.73,5.88,0.1,0,0,0,0
43,5.43,5.68,5.83,0.11,0,0,0,0
44,5.17,5.61,5.74,0.16,0,0,0,0
45,5,5.53,5.73,0.2,0,0,0,0
46,4.92,5.47,5.7,0.22,0,0,0,0
47,4.85,5.38,5.67,0.22,0,0,0,0
48,4.77,5.27,5.62,0.24,0,0,0,0
49,4.67,5.07,5.57,0.27,0,0,0,0
50,4.64,4.97,5.48,0.26,0,0,0,0
51,4.6,4.88,5.37,0.24,0,0,0,0
52,4.6,4.78,5.25,0.2,0,0,0,0
53,4.5,4.7,5,0.16,0,0,0,0
54,4.44,4.64,4.92,0.14,0,0,0,0
55,4.37,4.58,4.77,0.11,0,0,0,0
56,4.29,4.51,4.75,0.13,0,0,0,0
57,4.17,4.43,4.64,0.14,0,0,0,0
58,3.92,4.3,4.6,0.21,0,0,0,0
59,3.85,4.18,4.56,0.25,0,0,0,0
60,3.77,4.06,4.5,0.26,0,0,0,0
61,3.69,3.97,4.43,0.25,0,0,0,0
62,3.58,3.87,4.33,0.26,0,0,0,0
63,3.55,3.8,4.19,0.22,0,0,0,0
64,3.5,3.69,4,0.18,0,0,0,0
65,3.33,3.61,3.92,0.19,0,0,0,0
66,3.25,3.52,3.85,0.17,0,0,0,0
67,3.14,3.44,3.77,0.18,0,0,0,0
68,3,3.35,3.67,0.2,0,0,0,0
69,2.92,3.24,3.64,0.22,0,0,0,0
70,2.85,3.11,3.5,0.24,0,0,0,0
71,2.69,3,3.44,0.25,0,0,0,0
72,2.62,2.94,3.37,0.26,0,0,0,0
73,2.58,2.86,3.29,0.24,0,0,0,0
74,2.55,2.79,3.17,0.21,0,0,0,0
75,2.4,2.69,3,0.19,0,0,0,0
76,2.33,2.63,2.92,0.18,0,0,0,0
77,2.25,2.52,2.85,0.22,0,0,0,0
78,2,2.4,2.77,0.25,0,0,0,0
79,2,2.3,2.69,0.23,0,0,0,0
80,1.85,2.19,2.66,0.27,0,0,0,0
81,1.77,2.1,2.55,0.27,0,0,0,0
82,1.69,1.99,2.5,0.26,0,0,0,0
83,1.62,1.89,2.33,0.26,0,0,0,0
84,1.5,1.81,2.25,0.26,0,0,0,0
85,1.45,1.74,2.14,0.24,0,0,0,0
86,1.4,1.67,2,0.2,0,0,0,0
