k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,30,30,30,0,7.73,8.27,8.71,0.28
1,30,30,30,0,7.73,8.27,8.71,0.28
2,30,30,30,0,1.79,7.75,15.42,3.82
3,30,30,30,0,1.46,6.22,15.42,4.55
4,30,30,30,0,0,5.28,14.44,4.54
5,30,30,30,0,0,4.73,11.02,4.05
6,30,30,30,0,0,4.7,12.91,4.61
7,30,30,30,0,0,4.1,12.91,4.81
8,30,30,30,0,0,3.17,13.65,5.29
9,30,30,30,0,0,2.48,12.47,4.07
10,28.9,29.42,30,0.53,0,2.27,12.47,4.15
11,28.9,29.03,30,0.34,0,2.27,12.47,4.15
12,28.88,29,29.94,0.33,0,2.27,12.47,4.15
13,28.75,28.88,28.9,0.05,0,2.27,12.47,4.15
14,28.71,28.83,28.9,0.08,0,2.27,12.47,4.15
15,28.5,28.77,28.89,0.16,0,2.27,12.47,4.15
16,28.4,28.72,28.88,0.2,0,2.27,12.47,4.15
17,28.25,28.65,28.88,0.25,0,2.27,12.47,4.15
18,28,28.52,28.88,0.37,0,2.27,12.47,4.15
19,28,28.43,28.88,0.4,0,2.27,12.47,4.15
20,28,28.34,28.87,0.4,0,2.27,12.47,4.15
21,27.77,28.2,28.87,0.39,0,2.27,12.47,4.15
22,27.75,28.14,28.87,0.44,0,2.27,12.47,4.15
23,27.71,28.1,28.86,0.43,0,2.27,12.47,4.15
24,27.67,27.99,28.83,0.42,0,2.27,12.47,4.15
25,27.4,27.93,28.83,0.45,0,2.27,12.47,4.15
26,27,27.8,28.83,0.5,0,2.27,12.47,4.15
27,27,27.73,28.8,0.49,0,2.27,12.47,4.15
28,27,27.63,28.4,0.42,0,2.27,12.47,4.15
29,27,27.54,28,0.33,0,2.27,12.47,4.15
30,26.88,27.46,27.75,0.35,0,2.27,12.47,4.15
31,26.77,27.39,27.71,0.35,0,2.27,12.47,4.15
32,26.62,27.29,27.71,0.42,0,2.27,12.47,4.15
33,26.57,27.15,27.71,0.43,0,2.27,12.47,4.15
34,26.33,27.1,27.67,0.49,0,2.27,12.47,4.15
35,26,26.96,27.67,0.58,0,2.27,12.47,4.15
36,26,26.85,27.67,0.55,0,2.27,12.47,4.15
37,25.88,26.78,27.6,0.54,0,2.27,12.47,4.15
38,25.77,26.71,27.6,0.59,0,2.27,12.47,4.15
39,25.66,26.55,27.4,0.61,0,2.27,12.47,4.15
40,25.66,26.35,27.33,0.48,0,2.27,12.47,4.15
41,25.66,26.24,26.67,0.37,0,2.27,12.47,4.15
42,25.65,26.22,26.62,0.35,0,2.27,12.47,4.15
43,25.54,26.15,26.57,0.38,0,2.27,12.47,4.15
44,25.33,26.05,26.5,0.39,0,2.27,12.47,4.15
45,25.2,25.91,26.4,0.41,0,2.27,12.47,4.15
46,25,25.75,26.33,0.44,0,2.27,12.47,4.15
47,24.88,25.7,26.33,0.5,0,2.27,12.47,4.15
48,24.77,25.64,26.33,0.52,0,2.27,12.47,4.15
49,24.67,25.6,26.33,0.58,0,2.27,12.47,4.15
50,24.67,25.57,26.33,0.57,0,2.27,12.47,4.15
