k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,30,30,30,0,7.8,8.32,8.62,0.26
1,30,30,30,0,7.8,8.32,8.62,0.26
2,30,30,30,0,2.43,7.55,8.52,2.08
3,30,30,30,0,1.58,7.12,15.26,4.24
4,30,30,30,0,1.58,6.99,15.26,5.04
5,30,30,30,0,1.58,6.65,15.26,5.01
6,30,30,30,0,1.52,5.8,15.26,5.26
7,30,30,30,0,1.52,4.15,12.15,3.71
8,30,30,30,0,0,3.37,12.15,3.91
9,30,30,30,0,1.52,3.61,12.15,3.72
10,29,29.5,30,0.53,0,3.39,12.15,3.9
11,28.9,29.08,29.67,0.31,0,3.36,12.15,3.91
12,28.78,28.95,29.5,0.23,0,3.36,12.15,3.91
13,28.75,28.87,29,0.08,0,3.36,12.15,3.91
14,28.71,28.85,28.9,0.07,0,3.36,12.15,3.91
15,28.67,28.82,28.9,0.09,0,3.36,12.15,3.91
16,28.6,28.8,28.9,0.12,0,3.36,12.15,3.91
17,28.5,28.76,28.89,0.15,0,3.36,12.15,3.91
18,28.33,28.72,28.88,0.19,0,3.36,12.15,3.91
19,28,28.62,28.87,0.31,0,3.36,12.15,3.91
20,27.9,28.52,28.87,0.4,0,3.36,12.15,3.91
21,27.78,28.47,28.87,0.44,0,3.36,12.15,3.91
22,27.75,28.38,28.86,0.5,0,3.36,12.15,3.91
23,27.57,28.31,28.83,0.52,0,3.36,12.15,3.91
24,27.57,28.25,28.83,0.48,0,3.36,12.15,3.91
25,27.5,28.13,28.83,0.54,0,3.36,12.15,3.91
26,27.4,27.99,28.83,0.56,0,3.36,12.15,3.91
27,27.25,27.93,28.8,0.54,0,3.36,12.15,3.91
28,27,27.83,28.8,0.55,0,3.36,12.15,3.91
29,27,27.7,28.8,0.51,0,3.36,12.15,3.91
30,27,27.65,28.8,0.52,0,3.36,12.15,3.91
31,27,27.49,27.8,0.25,0,3.36,12.15,3.91
32,27,27.42,27.75,0.29,0,3.36,12.15,3.91
33,26.87,27.34,27.71,0.29,0,3.36,12.15,3.91
34,26.57,27.31,27.71,0.37,0,3.36,12.15,3.91
35,26.33,27.28,27.71,0.44,0,3.36,12.15,3.91
36,26.2,27.11,27.67,0.46,0,3.36,12.15,3.91
37,26,27.02,27.67,0.56,0,3.36,12.15,3.91
38,26,27.01,27.67,0.56,0,3.36,12.15,3.91
39,26,26.99,27.67,0.57,0,3.36,12.15,3.91
40,26,26.85,27.67,0.63,0,3.36,12.15,3.91
41,25.8,26.77,27.67,0.69,0,3.36,12.15,3.91
42,25.8,26.52,27.5,0.57,0,3.36,12.15,3.91
43,25.78,26.47,27.5,0.61,0,3.36,12.15,3.91
44,25.5,26.41,27.5,0.66,0,3.36,12.15,3.91
45,25.43,26.35,27.5,0.69,0,3.36,12.15,3.91
46,25.17,26.26,27.5,0.75,0,3.36,12.15,3.91
47,25,26.17,27.25,0.75,0,3.36,12.15,3.91
48,24.9,26.04,27,0.69,0,3.36,12.15,3.91
49,24.8,25.95,27,0.71,0,3.36,12.15,3.91
50,24.7,25.88,27,0.78,0,3.36,12.15,3.91
51,24.67,25.83,27,0.83,0,3.36,12.15,3.91
52,24.62,25.71,26.67,0.79,0,3.36,12.15,3.91
53,24.29,25.62,26.67,0.87,0,3.36,12.15,3.91
54,24.17,25.49,26.67,0.89,0,3.36,12.15,3.91
55,24,25.41,26.62,0.93,0,3.36,12.15,3.91
56,23.8,25.36,26.57,0.97,0,3.36,12.15,3.91
57,23.7,25.33,26.57,0.99,0,3.36,12.15,3.91
58,23.7,25.3,26.57,1.01,0,3.36,12.15,3.91
59,23.62,25.21,26.57,0.96,0,3.36,12.15,3.91
