k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,146,146,146,0,80.06,90.83,99.78,5.4
1,146,146,146,0,80.06,90.83,99.78,5.4
2,146,146,146,0,71.81,89.7,99.78,7.57
3,146,146,146,0,0,83.49,119.44,31.71
4,146,146,146,0,0,48.59,114.48,52.23
5,146,146,146,0,0,37.09,114.48,49.47
6,146,146,146,0,0,29.94,114.48,49.1
7,146,146,146,0,0,9.2,91.95,29.08
8,144.87,145.32,146,0.44,0,9.2,91.95,29.08
9,144.86,144.93,145,0.07,0,0,0,0
10,144.67,144.84,144.87,0.06,0,0,0,0
11,144.6,144.77,144.86,0.11,0,0,0,0
12,144.25,144.66,144.83,0.21,0,0,0,0
13,144,144.51,144.8,0.32,0,0,0,0
14,144,144.38,144.75,0.31,0,0,0,0
15,144,144.18,144.67,0.3,0,0,0,0
16,143.71,143.89,144,0.13,0,0,0,0
17,143.67,143.75,144,0.11,0,0,0,0
18,143.4,143.64,143.71,0.09,0,0,0,0
19,143.25,143.52,143.67,0.16,0,0,0,0
20,143,143.34,143.6,0.26,0,0,0,0
21,142.87,143.19,143.5,0.24,0,0,0,0
22,142.75,143,143.33,0.2,0,0,0,0
23,142.62,142.86,143,0.15,0,0,0,0
24,142.5,142.68,143,0.14,0,0,0,0
25,142.4,142.55,142.71,0.09,0,0,0,0
26,142.2,142.42,142.57,0.12,0,0,0,0
27,142,142.23,142.5,0.21,0,0,0,0
28,141.75,142.06,142.4,0.24,0,0,0,0
29,141.62,141.87,142.25,0.22,0,0,0,0
30,141.43,141.73,142,0.22,0,0,0,0
31,141.33,141.55,141.87,0.23,0,0,0,0
32,141.2,141.43,141.75,0.23,0,0,0,0
33,141,141.22,141.5,0.18,0,0,0,0
34,140.75,141.04,141.33,0.18,0,0,0,0
35,140.62,140.86,141.2,0.2,0,0,0,0
36,140.43,140.71,141,0.2,0,0,0,0
37,140.33,140.6,140.87,0.18,0,0,0,0
38,140,140.48,140.75,0.22,0,0,0,0
39,140,140.31,140.62,0.25,0,0,0,0
40,139.75,140.17,140.43,0.24,0,0,0,0
41,139.62,139.92,140.2,0.18,0,0,0,0
42,139.5,139.77,140,0.16,0,0,0,0
43,139.43,139.63,139.87,0.15,0,0,0,0
44,139.17,139.48,139.75,0.17,0,0,0,0
45,139,139.33,139.62,0.2,0,0,0,0
46,139,139.2,139.5,0.19,0,0,0,0
47,138.75,139.03,139.43,0.2,0,0,0,0
48,138.62,138.89,139.17,0.17,0,0,0,0
49,138.5,138.67,139,0.2,0,0,0,0
50,138.29,138.55,139,0.2,0,0,0,0
51,138.17,138.37,138.62,0.14,0,0,0,0
52,137.87,138.2,138.5,0.19,0,0,0,0
53,137.75,138.05,138.37,0.18,0,0,0,0
54,137.62,137.95,138.29,0.19,0,0,0,0
55,137.5,137.8,138.17,0.24,0,0,0,0
56,137.29,137.59,138,0.23,0,0,0,0
57,137.17,137.4,137.75,0.2,0,0,0,0
58,137,137.28,137.62,0.21,0,0,0,0
59,136.75,137.12,137.5,0.23,0,0,0,0
60,136.5,136.95,137.37,0.23,0,0,0,0
61,136.5,136.8,137,0.16,0,0,0,0
62,136.25,136.63,136.87,0.21,0,0,0,0
63,136.14,136.46,136.75,0.23,0,0,0,0
64,136,136.25,136.5,0.19,0,0,0,0
65,135.87,136.07,136.37,0.17,0,0,0,0
66,135.62,135.94,136.25,0.19,0,0,0,0
67,135.5,135.76,136,0.2,0,0,0,0
68,135.25,135.59,135.87,0.2,0,0,0,0
69,135.12,135.46,135.75,0.19,0,0,0,0
70,135,135.32,135.62,0.19,0,0,0,0
71,135,135.19,135.5,0.19,0,0,0,0
72,134.87,135,135.25,0.13,0,0,0,0
73,134.75,134.86,135,0.12,0,0,0,0
74,134.5,134.71,135,0.17,0,0,0,0
75,134.37,134.54,134.75,0.14,0,0,0,0
76,134.12,134.35,134.62,0.14,0,0,0,0
77,134,134.2,134.37,0.13,0,0,0,0
78,133.87,134.08,134.25,0.12,0,0,0,0
79,133.75,133.97,134.12,0.11,0,0,0,0
80,133.57,133.79,134,0.17,0,0,0,0
81,133.43,133.64,133.87,0.14,0,0,0,0
82,133.25,133.47,133.75,0.18,0,0,0,0
83,133.12,133.31,133.62,0.17,0,0,0,0
84,132.87,133.15,133.37,0.17,0,0,0,0
85,132.75,133,133.25,0.17,0,0,0,0
86,132.5,132.85,133.12,0.19,0,0,0,0
87,132.25,132.7,133,0.24,0,0,0,0
88,132.14,132.53,132.87,0.22,0,0,0,0
89,132,132.37,132.62,0.2,0,0,0,0
90,131.87,132.21,132.5,0.2,0,0,0,0
91,131.75,132.06,132.25,0.19,0,0,0,0
92,131.62,131.9,132.12,0.19,0,0,0,0
93,131.37,131.74,132,0.19,0,0,0,0
94,131.12,131.56,131.87,0.21,0,0,0,0
95,131,131.41,131.75,0.23,0,0,0,0
96,131,131.25,131.62,0.2,0,0,0,0
97,130.75,131.09,131.37,0.19,0,0,0,0
98,130.62,130.91,131.25,0.19,0,0,0,0
99,130.5,130.77,131,0.16,0,0,0,0
100,130.37,130.6,130.87,0.18,0,0,0,0
101,130.12,130.45,130.75,0.19,0,0,0,0
102,129.87,130.27,130.62,0.21,0,0,0,0
103,129.75,130.14,130.5,0.22,0,0,0,0
104,129.62,129.97,130.37,0.23,0,0,0,0
105,129.5,129.82,130.12,0.2,0,0,0,0
106,129.25,129.66,130,0.24,0,0,0,0
107,129.12,129.5,129.75,0.2,0,0,0,0
108,129,129.35,129.62,0.22,0,0,0,0
109,128.87,129.21,129.5,0.2,0,0,0,0
110,128.62,129.07,129.37,0.21,0,0,0,0
111,128.5,128.95,129.25,0.21,0,0,0,0
112,128.37,128.77,129.12,0.21,0,0,0,0
113,128.12,128.61,128.87,0.22,0,0,0,0
114,128,128.44,128.75,0.22,0,0,0,0
115,127.87,128.29,128.62,0.2,0,0,0,0
116,127.75,128.12,128.5,0.21,0,0,0,0
117,127.62,127.99,128.25,0.19,0,0,0,0
118,127.37,127.84,128.12,0.23,0,0,0,0
119,127.25,127.7,128,0.23,0,0,0,0
120,127.12,127.52,128,0.28,0,0,0,0
121,127,127.36,127.62,0.22,0,0,0,0
122,126.75,127.17,127.5,0.26,0,0,0,0
123,126.62,127.01,127.37,0.22,0,0,0,0
124,126.5,126.85,127.25,0.24,0,0,0,0
125,126.37,126.7,127,0.23,0,0,0,0
126,126.12,126.55,127,0.26,0,0,0,0
127,126,126.4,126.87,0.27,0,0,0,0
128,126,126.24,126.75,0.29,0,0,0,0
129,125.75,126.04,126.5,0.26,0,0,0,0
130,125.5,125.87,126.25,0.28,0,0,0,0
131,125.37,125.7,126.12,0.26,0,0,0,0
132,125.25,125.54,126,0.25,0,0,0,0
133,125.12,125.4,125.75,0.23,0,0,0,0
134,125,125.25,125.62,0.22,0,0,0,0
135,124.87,125.12,125.5,0.22,0,0,0,0
136,124.62,124.96,125.37,0.26,0,0,0,0
137,124.5,124.81,125.25,0.27,0,0,0,0
138,124.37,124.67,125,0.27,0,0,0,0
139,124.12,124.47,124.87,0.27,0,0,0,0
140,124,124.3,124.75,0.26,0,0,0,0
141,123.87,124.17,124.5,0.24,0,0,0,0
142,123.62,124.06,124.37,0.22,0,0,0,0
143,123.5,123.94,124.25,0.24,0,0,0,0
144,123.37,123.77,124.12,0.26,0,0,0,0
145,123.25,123.65,124,0.28,0,0,0,0
146,123.12,123.5,123.87,0.25,0,0,0,0
147,122.87,123.3,123.75,0.28,0,0,0,0
148,122.75,123.14,123.62,0.26,0,0,0,0
149,122.62,122.99,123.37,0.24,0,0,0,0
150,122.37,122.85,123.25,0.26,0,0,0,0
151,122.25,122.74,123.12,0.29,0,0,0,0
152,122.12,122.59,123,0.35,0,0,0,0
153,122,122.44,122.87,0.33,0,0,0,0
154,121.87,122.29,122.75,0.31,0,0,0,0
155,121.62,122.11,122.62,0.34,0,0,0,0
156,121.5,121.96,122.37,0.32,0,0,0,0
157,121.37,121.8,122.25,0.31,0,0,0,0
158,121.12,121.65,122.12,0.32,0,0,0,0
159,121,121.49,121.87,0.31,0,0,0,0
160,120.87,121.32,121.75,0.34,0,0,0,0
161,120.75,121.17,121.62,0.3,0,0,0,0
162,120.62,121.02,121.37,0.28,0,0,0,0
163,120.37,120.85,121.25,0.31,0,0,0,0
164,120.25,120.69,121.12,0.31,0,0,0,0
165,120.12,120.55,121,0.3,0,0,0,0
166,120,120.41,120.75,0.28,0,0,0,0
167,120,120.26,120.62,0.27,0,0,0,0
168,119.75,120.09,120.5,0.31,0,0,0,0
169,119.62,119.94,120.37,0.27,0,0,0,0
170,119.5,119.79,120.12,0.25,0,0,0,0
171,119.25,119.65,120,0.27,0,0,0,0
172,119.12,119.47,119.87,0.29,0,0,0,0
173,119,119.34,119.75,0.28,0,0,0,0
174,118.87,119.21,119.62,0.28,0,0,0,0
175,118.75,119.09,119.62,0.29,0,0,0,0
176,118.5,118.92,119.62,0.36,0,0,0,0
