k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,30,30,30,,2.83,2.83,2.83,
1,30,30,30,,2.83,2.83,2.83,
2,30,30,30,,2.83,2.83,2.83,
3,30,30,30,,2.83,2.83,2.83,
4,30,30,30,,2.83,2.83,2.83,
5,30,30,30,,5.74,5.74,5.74,
6,30,30,30,,1.83,1.83,1.83,
7,30,30,30,,1.83,1.83,1.83,
8,30,30,30,,1.83,1.83,1.83,
9,30,30,30,,1.83,1.83,1.83,
10,30,30,30,,1.83,1.83,1.83,
11,30,30,30,,1.83,1.83,1.83,
12,30,30,30,,1.83,1.83,1.83,
13,30,30,30,,4.63,4.63,4.63,
14,29.67,29.67,29.67,,4.63,4.63,4.63,
15,29.5,29.5,29.5,,4.63,4.63,4.63,
16,29,29,29,,4.63,4.63,4.63,
17,28.93,28.93,28.93,,4.63,4.63,4.63,
18,28.92,28.92,28.92,,4.63,4.63,4.63,
19,28.92,28.92,28.92,,4.63,4.63,4.63,
20,28.83,28.83,28.83,,4.63,4.63,4.63,
21,28.82,28.82,28.82,,4.63,4.63,4.63,
22,28.82,28.82,28.82,,4.63,4.63,4.63,
23,28.8,28.8,28.8,,4.63,4.63,4.63,
24,28.78,28.78,28.78,,4.63,4.63,4.63,
25,28.78,28.78,28.78,,4.63,4.63,4.63,
26,28.75,28.75,28.75,,4.63,4.63,4.63,
27,28.71,28.71,28.71,,4.63,4.63,4.63,
28,28.67,28.67,28.67,,4.63,4.63,4.63,
29,28.67,28.67,28.67,,4.63,4.63,4.63,
30,28.6,28.6,28.6,,4.63,4.63,4.63,
31,28.25,28.25,28.25,,4.63,4.63,4.63,
32,28.25,28.25,28.25,,4.63,4.63,4.63,
33,28.25,28.25,28.25,,4.63,4.63,4.63,
34,28.25,28.25,28.25,,4.63,4.63,4.63,
35,28.25,28.25,28.25,,4.63,4.63,4.63,
36,28,28,28,,4.63,4.63,4.63,
37,27.83,27.83,27.83,,4.63,4.63,4.63,
38,27.83,27.83,27.83,,4.63,4.63,4.63,
39,27.83,27.83,27.83,,4.63,4.63,4.63,
40,27.82,27.82,27.82,,4.63,4.63,4.63,
41,27.73,27.73,27.73,,4.63,4.63,4.63,
42,27.7,27.7,27.7,,4.63,4.63,4.63,
43,27.67,27.67,27.67,,4.63,4.63,4.63,
44,27.62,27.62,27.62,,4.63,4.63,4.63,
45,27.57,27.57,27.57,,4.63,4.63,4.63,
46,27.57,27.57,27.57,,4.63,4.63,4.63,
47,27.5,27.5,27.5,,4.63,4.63,4.63,
48,27.5,27.5,27.5,,4.63,4.63,4.63,
49,27.4,27.4,27.4,,4.63,4.63,4.63,
50,27.33,27.33,27.33,,4.63,4.63,4.63,
51,27.33,27.33,27.33,,4.63,4.63,4.63,
52,27.33,27.33,27.33,,4.63,4.63,4.63,
53,27,27,27,,4.63,4.63,4.63,
54,27,27,27,,4.63,4.63,4.63,
55,26.67,26.67,26.67,,4.63,4.63,4.63,
56,26.67,26.67,26.67,,4.63,4.63,4.63,
57,26.67,26.67,26.67,,4.63,4.63,4.63,
58,26.67,26.67,26.67,,4.63,4.63,4.63,
59,26.67,26.67,26.67,,4.63,4.63,4.63,
60,26.67,26.67,26.67,,4.63,4.63,4.63,
61,26.5,26.5,26.5,,4.63,4.63,4.63,
62,26.43,26.43,26.43,,4.63,4.63,4.63,
63,26.33,26.33,26.33,,4.63,4.63,4.63,
64,26.33,26.33,26.33,,4.63,4.63,4.63,
65,26.33,26.33,26.33,,4.63,4.63,4.63,
66,26.33,26.33,26.33,,4.63,4.63,4.63,
67,26.33,26.33,26.33,,4.63,4.63,4.63,
68,26,26,26,,4.63,4.63,4.63,
69,26,26,26,,4.63,4.63,4.63,
70,26,26,26,,4.63,4.63,4.63,
71,26,26,26,,4.63,4.63,4.63,
72,26,26,26,,4.63,4.63,4.63,
73,26,26,26,,4.63,4.63,4.63,
74,26,26,26,,4.63,4.63,4.63,
75,26,26,26,,4.63,4.63,4.63,
76,26,26,26,,4.63,4.63,4.63,
77,26,26,26,,4.63,4.63,4.63,
78,26,26,26,,4.63,4.63,4.63,
79,26,26,26,,4.63,4.63,4.63,
80,26,26,26,,4.63,4.63,4.63,
81,26,26,26,,4.63,4.63,4.63,
82,26,26,26,,4.63,4.63,4.63,
83,26,26,26,,4.63,4.63,4.63,
84,25.67,25.67,25.67,,4.63,4.63,4.63,
85,25.33,25.33,25.33,,4.63,4.63,4.63,
86,25.17,25.17,25.17,,4.63,4.63,4.63,
87,25,25,25,,4.63,4.63,4.63,
88,25,25,25,,4.63,4.63,4.63,
89,25,25,25,,4.63,4.63,4.63,
90,25,25,25,,4.63,4.63,4.63,
91,25,25,25,,4.63,4.63,4.63,
92,25,25,25,,4.63,4.63,4.63,
93,25,25,25,,4.63,4.63,4.63,
94,25,25,25,,4.63,4.63,4.63,
95,25,25,25,,4.63,4.63,4.63,
96,25,25,25,,4.63,4.63,4.63,
97,25,25,25,,4.63,4.63,4.63,
98,25,25,25,,4.63,4.63,4.63,
99,24.82,24.82,24.82,,4.63,4.63,4.63,
100,24.82,24.82,24.82,,4.63,4.63,4.63,
101,24.82,24.82,24.82,,4.63,4.63,4.63,
