k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,30,30,30,,5.58,5.58,5.58,
1,30,30,30,,5.58,5.58,5.58,
2,30,30,30,,1.95,1.95,1.95,
3,30,30,30,,1.95,1.95,1.95,
4,30,30,30,,2.26,2.26,2.26,
5,30,30,30,,2.26,2.26,2.26,
6,30,30,30,,2.26,2.26,2.26,
7,30,30,30,,2.26,2.26,2.26,
8,30,30,30,,2.26,2.26,2.26,
9,30,30,30,,2.26,2.26,2.26,
10,30,30,30,,2.26,2.26,2.26,
11,30,30,30,,2.26,2.26,2.26,
12,30,30,30,,2.26,2.26,2.26,
13,30,30,30,,2.26,2.26,2.26,
14,28.93,28.93,28.93,,2.26,2.26,2.26,
15,28.93,28.93,28.93,,2.26,2.26,2.26,
16,28.93,28.93,28.93,,2.26,2.26,2.26,
17,28.93,28.93,28.93,,2.26,2.26,2.26,
18,28.92,28.92,28.92,,2.26,2.26,2.26,
19,28.92,28.92,28.92,,2.26,2.26,2.26,
20,28.91,28.91,28.91,,2.26,2.26,2.26,
21,28.9,28.9,28.9,,2.26,2.26,2.26,
22,28.89,28.89,28.89,,2.26,2.26,2.26,
23,28.89,28.89,28.89,,2.26,2.26,2.26,
24,28.87,28.87,28.87,,2.26,2.26,2.26,
25,28.87,28.87,28.87,,2.26,2.26,2.26,
26,28.86,28.86,28.86,,2.26,2.26,2.26,
27,28.83,28.83,28.83,,2.26,2.26,2.26,
28,28.83,28.83,28.83,,2.26,2.26,2.26,
29,28.83,28.83,28.83,,2.26,2.26,2.26,
30,28.83,28.83,28.83,,2.26,2.26,2.26,
31,28.83,28.83,28.83,,2.26,2.26,2.26,
32,28.83,28.83,28.83,,2.26,2.26,2.26,
33,28.67,28.67,28.67,,2.26,2.26,2.26,
34,28.4,28.4,28.4,,2.26,2.26,2.26,
35,28.25,28.25,28.25,,2.26,2.26,2.26,
36,27.8,27.8,27.8,,2.26,2.26,2.26,
37,27.8,27.8,27.8,,2.26,2.26,2.26,
38,27.78,27.78,27.78,,2.26,2.26,2.26,
39,27.78,27.78,27.78,,2.26,2.26,2.26,
40,27.78,27.78,27.78,,2.26,2.26,2.26,
41,27.75,27.75,27.75,,2.26,2.26,2.26,
42,27.71,27.71,27.71,,2.26,2.26,2.26,
43,27.67,27.67,27.67,,2.26,2.26,2.26,
44,27.67,27.67,27.67,,2.26,2.26,2.26,
45,27.67,27.67,27.67,,2.26,2.26,2.26,
46,27.67,27.67,27.67,,2.26,2.26,2.26,
47,27.67,27.67,27.67,,2.26,2.26,2.26,
48,27.67,27.67,27.67,,2.26,2.26,2.26,
49,27.67,27.67,27.67,,2.26,2.26,2.26,
50,27.67,27.67,27.67,,2.26,2.26,2.26,
51,27.67,27.67,27.67,,2.26,2.26,2.26,
52,27.67,27.67,27.67,,2.26,2.26,2.26,
53,27.67,27.67,27.67,,2.26,2.26,2.26,
54,27.33,27.33,27.33,,2.26,2.26,2.26,
55,27.33,27.33,27.33,,2.26,2.26,2.26,
56,27,27,27,,2.26,2.26,2.26,
57,26.67,26.67,26.67,,2.26,2.26,2.26,
58,26.67,26.67,26.67,,2.26,2.26,2.26,
59,26.67,26.67,26.67,,2.26,2.26,2.26,
