k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,9,9,9,0,5.1,5.64,5.91,0.25
1,9,9,9,0,5.1,5.64,5.91,0.25
2,9,9,9,0,0,4.6,5.91,2.12
3,9,9,9,0,0,3.91,5.91,2.71
4,9,9,9,0,0,2.47,5.91,2.43
5,9,9,9,0,0,1.93,7.1,2.82
6,9,9,9,0,0,1.87,7.39,3.12
7,9,9,9,0,0,1.12,5.1,1.92
8,9,9,9,0,0,0.61,3.83,1.33
9,9,9,9,0,0,0.21,1.09,0.44
10,9,9,9,0,0,0.21,1.09,0.44
11,9,9,9,0,0,0.1,1.01,0.32
12,9,9,9,0,0,0,0,0
13,7.92,8.28,8.5,0.28,0,0,0,0
14,7.92,7.97,8,0.04,0,0,0,0
15,7.91,7.92,7.92,0.01,0,0,0,0
16,7.9,7.91,7.92,0.01,0,0,0,0
17,7.8,7.89,7.91,0.03,0,0,0,0
18,7.78,7.87,7.9,0.05,0,0,0,0
19,7.75,7.85,7.89,0.05,0,0,0,0
20,7.71,7.83,7.87,0.06,0,0,0,0
21,7.5,7.75,7.86,0.14,0,0,0,0
22,7.4,7.67,7.83,0.18,0,0,0,0
23,7,7.53,7.8,0.29,0,0,0,0
24,7,7.32,7.75,0.34,0,0,0,0
25,7,7.18,7.67,0.25,0,0,0,0
26,6.82,6.93,7,0.09,0,0,0,0
27,6.8,6.85,6.92,0.05,0,0,0,0
28,6.78,6.81,6.83,0.02,0,0,0,0
29,6.7,6.78,6.82,0.04,0,0,0,0
30,6.67,6.76,6.8,0.04,0,0,0,0
31,6.62,6.71,6.78,0.06,0,0,0,0
32,6.57,6.67,6.75,0.07,0,0,0,0
33,6.5,6.59,6.71,0.09,0,0,0,0
34,6.2,6.48,6.67,0.17,0,0,0,0
35,6,6.3,6.6,0.25,0,0,0,0
36,6,6.15,6.5,0.24,0,0,0,0
37,5.85,6.03,6.33,0.17,0,0,0,0
38,5.75,5.87,6,0.1,0,0,0,0
39,5.73,5.78,5.85,0.05,0,0,0,0
40,5.7,5.76,5.83,0.05,0,0,0,0
41,5.6,5.69,5.73,0.04,0,0,0,0
42,5.56,5.66,5.7,0.04,0,0,0,0
43,5.5,5.62,5.67,0.05,0,0,0,0
44,5.33,5.55,5.62,0.09,0,0,0,0
45,5.2,5.47,5.57,0.12,0,0,0,0
46,5,5.35,5.5,0.16,0,0,0,0
47,4.85,5.2,5.4,0.2,0,0,0,0
48,4.77,5.02,5.25,0.17,0,0,0,0
49,4.77,4.89,5,0.1,0,0,0,0
50,4.67,4.84,5,0.12,0,0,0,0
51,4.64,4.75,4.92,0.11,0,0,0,0
52,4.6,4.67,4.85,0.09,0,0,0,0
53,4.56,4.63,4.75,0.08,0,0,0,0
54,4.5,4.56,4.64,0.05,0,0,0,0
55,4.37,4.51,4.6,0.07,0,0,0,0
56,4.29,4.43,4.56,0.09,0,0,0,0
57,4,4.31,4.5,0.16,0,0,0,0
58,3.92,4.19,4.43,0.18,0,0,0,0
59,3.85,4.05,4.33,0.18,0,0,0,0
60,3.69,3.93,4.2,0.17,0,0,0,0
61,3.67,3.83,4,0.12,0,0,0,0
62,3.64,3.77,3.92,0.1,0,0,0,0
63,3.5,3.69,3.85,0.11,0,0,0,0
64,3.5,3.6,3.75,0.09,0,0,0,0
65,3.44,3.53,3.73,0.1,0,0,0,0
66,3.25,3.44,3.64,0.1,0,0,0,0
67,3.14,3.35,3.5,0.1,0,0,0,0
68,3,3.26,3.44,0.12,0,0,0,0
69,2.92,3.14,3.37,0.14,0,0,0,0
70,2.85,3.01,3.29,0.13,0,0,0,0
71,2.77,2.92,3.17,0.11,0,0,0,0
72,2.69,2.82,3,0.1,0,0,0,0
73,2.58,2.74,2.92,0.11,0,0,0,0
74,2.55,2.67,2.85,0.1,0,0,0,0
75,2.4,2.62,2.77,0.11,0,0,0,0
76,2.33,2.53,2.64,0.12,0,0,0,0
77,2.25,2.44,2.6,0.13,0,0,0,0
78,2.14,2.34,2.56,0.14,0,0,0,0
79,2,2.21,2.5,0.14,0,0,0,0
80,2,2.12,2.33,0.1,0,0,0,0
81,1.85,2,2.25,0.1,0,0,0,0
82,1.69,1.9,2.14,0.12,0,0,0,0
83,1.62,1.81,2,0.11,0,0,0,0
84,1.58,1.74,1.92,0.1,0,0,0,0
85,1.5,1.66,1.85,0.1,0,0,0,0
86,1.4,1.59,1.77,0.11,0,0,0,0
87,1.33,1.54,1.69,0.11,0,0,0,0
88,1.12,1.46,1.62,0.14,0,0,0,0
89,1,1.35,1.5,0.17,0,0,0,0
90,1,1.23,1.45,0.16,0,0,0,0
91,0.92,1.11,1.4,0.14,0,0,0,0
92,0.85,0.99,1.33,0.13,0,0,0,0
93,0.69,0.87,1.12,0.12,0,0,0,0
94,0.62,0.79,1,0.11,0,0,0,0
95,0.58,0.72,0.92,0.1,0,0,0,0
96,0.5,0.65,0.85,0.1,0,0,0,0
97,0.4,0.58,0.77,0.1,0,0,0,0
98,0.33,0.5,0.69,0.1,0,0,0,0
99,0.12,0.43,0.62,0.14,0,0,0,0
100,0,0.36,0.54,0.16,0,0,0,0
101,0,0.26,0.5,0.17,0,0,0,0
102,0,0.17,0.36,0.14,0,0,0,0
103,0,0.07,0.3,0.1,0,0,0,0
104,0,0.03,0.22,0.08,0,0,0,0
105,0,0.01,0.12,0.04,0,0,0,0
106,0,0.01,0.12,0.04,0,0,0,0
107,0,0.01,0.12,0.04,0,0,0,0
108,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0
