k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,30,30,30,0,13.21,13.99,14.86,0.45
1,30,30,30,0,13.21,13.99,14.86,0.45
2,30,30,30,0,0,12.1,18.48,5.45
3,30,30,30,0,0,11.19,18.48,5.75
4,30,30,30,0,0,9.7,18.48,5.95
5,30,30,30,0,0,7.9,15.32,4.69
6,30,30,30,0,0,4.48,10.81,4.28
7,30,30,30,0,0,3.38,8.58,3.82
8,30,30,30,0,0,2.53,8.43,3.48
9,28.89,29.23,30,0.4,0,1.76,8.43,3.02
10,28.87,29.08,30,0.38,0,1.76,8.43,3.02
11,28.75,28.94,29.5,0.21,0,1.76,8.43,3.02
12,28.67,28.84,29,0.09,0,1.76,8.43,3.02
13,28.4,28.74,28.89,0.15,0,1.76,8.43,3.02
14,28.25,28.68,28.86,0.18,0,1.76,8.43,3.02
15,28,28.6,28.83,0.25,0,1.76,8.43,3.02
16,28,28.49,28.83,0.32,0,1.76,8.43,3.02
17,28,28.36,28.83,0.34,0,1.76,8.43,3.02
18,27.75,28.18,28.8,0.38,0,1.76,8.43,3.02
19,27.71,28.01,28.8,0.42,0,1.76,8.43,3.02
20,27.57,27.93,28.8,0.46,0,1.76,8.43,3.02
21,27.4,27.78,28.8,0.48,0,1.76,8.43,3.02
22,27,27.64,28.6,0.49,0,1.76,8.43,3.02
23,27,27.5,28.5,0.44,0,1.76,8.43,3.02
24,26.89,27.41,28.33,0.45,0,1.76,8.43,3.02
25,26.67,27.26,27.87,0.4,0,1.76,8.43,3.02
26,26.62,27.16,27.71,0.37,0,1.76,8.43,3.02
27,26.57,27.06,27.67,0.4,0,1.76,8.43,3.02
28,26.5,26.98,27.6,0.41,0,1.76,8.43,3.02
29,26.43,26.9,27.5,0.44,0,1.76,8.43,3.02
30,26.33,26.82,27.5,0.45,0,1.76,8.43,3.02
31,26.2,26.61,27.5,0.43,0,1.76,8.43,3.02
32,26,26.45,27.5,0.48,0,1.76,8.43,3.02
33,25.89,26.31,27,0.42,0,1.76,8.43,3.02
34,25.78,26.12,27,0.4,0,1.76,8.43,3.02
35,25.56,26.01,27,0.42,0,1.76,8.43,3.02
36,25.5,25.94,26.87,0.42,0,1.76,8.43,3.02
37,25.33,25.82,26.87,0.44,0,1.76,8.43,3.02
38,25.33,25.75,26.87,0.46,0,1.76,8.43,3.02
39,25,25.64,26.87,0.53,0,1.76,8.43,3.02
40,24.89,25.49,26.87,0.61,0,1.76,8.43,3.02
41,24.75,25.35,26.87,0.66,0,1.76,8.43,3.02
42,24.67,25.22,26.87,0.7,0,1.76,8.43,3.02
43,24.56,25.14,26.87,0.74,0,1.76,8.43,3.02
44,24.29,25.03,26.87,0.8,0,1.76,8.43,3.02
45,24.17,24.98,26.75,0.79,0,1.76,8.43,3.02
46,24,24.89,26.62,0.79,0,1.76,8.43,3.02
47,24,24.83,26.62,0.82,0,1.76,8.43,3.02
48,23.78,24.67,26.62,0.87,0,1.76,8.43,3.02
49,23.62,24.54,26.62,0.92,0,1.76,8.43,3.02
50,23.56,24.37,26.62,0.92,0,1.76,8.43,3.02
51,23.56,24.27,26.62,0.95,0,1.76,8.43,3.02
52,23.44,24.14,26.62,0.99,0,1.76,8.43,3.02
53,23.4,24.08,26.62,0.99,0,1.76,8.43,3.02
54,23.33,24.01,26.62,1,0,1.76,8.43,3.02
55,23,23.93,26.62,1.03,0,1.76,8.43,3.02
56,22.89,23.88,26.62,1.05,0,1.76,8.43,3.02
57,22.67,23.82,26.62,1.08,0,1.76,8.43,3.02
58,22.62,23.78,26.62,1.09,0,1.76,8.43,3.02
59,22.62,23.71,26.62,1.09,0,1.76,8.43,3.02
60,22.62,23.62,26.62,1.12,0,1.76,8.43,3.02
61,22.5,23.49,26.62,1.17,0,1.76,8.43,3.02
62,22.43,23.43,26.62,1.19,0,1.76,8.43,3.02
63,22.33,23.26,26.62,1.25,0,1.76,8.43,3.02
