k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,20,20,20,0,0.68,2.08,4.26,1.07
1,20,20,20,0,0.68,2.08,4.26,1.07
2,20,20,20,0,0,2.06,4.58,1.46
3,20,20,20,0,0,1.1,2.84,1.16
4,18.75,18.92,20,0.39,0,1.15,2.84,1.24
5,18.67,18.72,18.75,0.04,0,1.15,2.84,1.24
6,18.33,18.62,18.75,0.14,0,1.15,2.84,1.24
7,18,18.43,18.67,0.31,0,1.15,2.84,1.24
8,18,18.28,18.67,0.3,0,1.06,2.84,1.19
9,17.33,17.91,18.33,0.35,0,1.15,2.84,1.24
10,17.33,17.72,18,0.31,0,1.15,2.84,1.24
11,17,17.42,18,0.34,0,1.15,2.84,1.24
12,17,17.25,18,0.33,0,1.15,2.84,1.24
13,16.33,16.94,17.33,0.25,0,1.06,2.84,1.19
14,16,16.85,17,0.34,0,1.15,2.84,1.24
15,15.75,16.63,17,0.44,0,1.15,2.84,1.24
16,15.75,16.38,17,0.48,0,1.15,2.84,1.24
17,15.5,16.14,17,0.51,0,1.15,2.84,1.24
18,15,15.99,17,0.55,0,1.15,2.84,1.24
19,15,15.85,17,0.57,0,1.15,2.84,1.24
20,14.5,15.72,17,0.67,0,1.15,2.84,1.24
21,14.25,15.45,17,0.81,0,1.15,2.84,1.24
22,14.25,15.17,17,0.89,0,1.15,2.84,1.24
23,14,15.06,17,1.01,0,1.15,2.84,1.24
24,13.5,14.93,17,1.08,0,1.15,2.84,1.24
25,13,14.65,17,1.19,0,1.15,2.84,1.24
26,13,14.42,16,1.08,0,1.15,2.84,1.24
27,12.75,14.22,16,1.12,0,1.15,2.84,1.24
28,12.5,14,15,1.03,0,1.15,2.84,1.24
29,11.5,13.82,15,1.18,0,1.15,2.84,1.24
30,11.5,13.62,15,1.17,0,1.15,2.84,1.24
31,11.5,13.39,15,1.14,0,1.15,2.84,1.24
32,11.5,13.11,15,1.04,0,1.15,2.84,1.24
33,11.5,12.97,15,1.13,0,1.06,2.84,1.19
34,11.5,12.8,14.75,1.07,0,1.12,2.84,1.17
35,11,12.62,14.5,1.13,0,1.12,2.84,1.17
36,11,12.39,14.5,1.22,0,1.06,2.84,1.19
37,10.75,12.24,14.25,1.21,0,1.12,2.84,1.17
38,10,11.78,13.5,1.28,0,1.12,2.84,1.17
39,10,11.73,13.5,1.27,0,1.12,2.84,1.17
40,10,11.5,13.25,1.15,0,1.12,2.84,1.17
41,10,11.47,13.25,1.15,0,1.12,2.84,1.17
42,10,11.22,13,1.04,0,1.12,2.84,1.17
43,10,11,13,1.03,0,1.12,2.84,1.17
44,9,10.72,12,1,0,1.12,2.84,1.17
45,9,10.65,12,1.08,0,1.12,2.84,1.17
46,9,10.52,12,1.13,0,1.12,2.84,1.17
47,9,10.36,12,1.16,0,1.12,2.84,1.17
48,8.5,10.18,12,1.22,0,1.12,2.84,1.17
49,8.5,10.15,12,1.22,0,1.12,2.84,1.17
50,8,9.74,11.5,1.25,0,1.12,2.84,1.17
51,8,9.59,11.5,1.3,0,1.12,2.84,1.17
52,8,9.4,11.5,1.38,0,1.12,2.84,1.17
53,7.33,9.24,11.5,1.41,0,1.12,2.84,1.17
54,7,9.07,11.33,1.49,0,1.12,2.84,1.17
55,7,8.99,11,1.42,0,1.12,2.84,1.17
56,7,8.87,10.75,1.3,0,1.12,2.84,1.17
57,6,8.44,10.67,1.51,0,1.12,2.84,1.17
58,6,8.37,10.5,1.51,0,1.12,2.84,1.17
59,6,8.31,10.5,1.54,0,1.12,2.84,1.17
60,6,8.05,10.5,1.51,0,1.12,2.84,1.17
61,5.75,7.92,10.33,1.5,0,1.12,2.84,1.17
62,5.33,7.82,10.33,1.56,0,1.12,2.84,1.17
63,5.33,7.59,9.75,1.44,0,1.12,2.84,1.17
64,5.33,7.57,9.75,1.45,0,1.12,2.84,1.17
65,4.5,7.45,9.75,1.61,0,1.12,2.84,1.17
66,4.25,7.2,9.5,1.6,0,1.12,2.84,1.17
67,4.25,7.09,9.25,1.49,0,1.12,2.84,1.17
68,4.25,6.86,9.25,1.4,0,1.12,2.84,1.17
69,4.25,6.78,9.25,1.38,0,1.12,2.84,1.17
70,4,6.71,9.25,1.46,0,1.12,2.84,1.17
71,4,6.67,9.25,1.43,0,1.12,2.84,1.17
72,4,6.53,9.25,1.46,0,1.12,2.84,1.17
73,4,6.34,9.25,1.59,0,1.12,2.84,1.17
74,4,6.24,9.25,1.57,0,1.12,2.84,1.17
75,4,6.18,8.67,1.45,0,1.12,2.84,1.17
76,4,6.06,8.33,1.42,0,1.12,2.84,1.17
77,4,5.85,8.33,1.38,0,1.12,2.84,1.17
78,3,5.69,8.33,1.57,0,1.14,2.84,1.15
79,3,5.52,8,1.48,0,1.14,2.84,1.15
80,3,5.52,8,1.48,0,1.14,2.84,1.15
81,3,5.42,7.92,1.45,0,0.84,2.84,1.05
82,3,5.3,7.92,1.42,0,0.84,2.84,1.05
83,3,5.09,7.75,1.49,0,0.84,2.84,1.05
84,3,4.95,7.67,1.44,0,0.84,2.84,1.05
85,3,4.72,7.5,1.49,0,0.84,2.84,1.05
86,3,4.62,7.5,1.45,0,0.84,2.84,1.05
87,2.87,4.58,7.5,1.49,0,0.84,2.84,1.05
88,2.87,4.39,7.33,1.42,0,0.84,2.84,1.05
89,2.62,4.3,7.33,1.45,0,0.84,2.84,1.05
90,2.37,4.27,7.33,1.49,0,0.84,2.84,1.05
91,2,4.07,7.33,1.63,0,0.84,2.84,1.05
92,2,4.01,7.33,1.65,0,0.84,2.84,1.05
93,1.87,3.92,7,1.64,0,0.63,2.84,0.92
94,1.44,3.8,7,1.72,0,0.86,2.84,1.04
95,1.37,3.74,6.91,1.76,0,0.63,2.84,0.92
96,1.37,3.58,6.33,1.55,0,0.63,2.84,0.92
97,1.3,3.48,6.33,1.56,0,0.35,1.25,0.51
98,1.3,3.35,6.33,1.6,0,0.35,1.25,0.51
99,1.3,3.32,6.33,1.55,0,0.35,1.25,0.51
100,0.87,3.04,6.33,1.77,0,0.35,1.25,0.51
101,0.6,2.88,6.33,1.72,0,0.35,1.25,0.51
102,0.1,2.7,6.33,1.76,0,0.35,1.25,0.51
103,0,2.61,6.31,1.74,0,0.29,1.25,0.46
104,0,2.47,6,1.75,0,0.35,1.25,0.51
105,0,2.4,5.75,1.71,0,0.35,1.25,0.51
106,0,2.33,5.5,1.7,0,0.35,1.25,0.51
107,0,2.19,5.5,1.68,0,0.35,1.25,0.51
108,0,2.15,5.5,1.68,0,0.35,1.25,0.51
109,0,2.04,4.79,1.53,0,0.35,1.25,0.51
110,0,1.95,4.79,1.51,0,0.35,1.25,0.51
111,0,1.88,4.62,1.49,0,0.35,1.25,0.51
112,0,1.84,4.61,1.49,0,0.12,0.98,0.31
113,0,1.71,4.17,1.36,0,0.22,1.01,0.41
114,0,1.69,3.96,1.32,0,0.12,0.98,0.31
115,0,1.61,3.79,1.28,0,0.22,1.01,0.41
116,0,1.49,3.66,1.25,0,0.22,1.01,0.41
117,0,1.41,3.57,1.18,0,0.22,1.01,0.41
118,0,1.34,3.39,1.15,0,0.12,0.98,0.31
119,0,1.28,3.22,1.13,0,0.22,1.01,0.41
120,0,1.23,3.22,1.13,0,0.22,1.01,0.41
121,0,1.17,2.96,1.04,0,0.12,0.98,0.31
122,0,1.16,2.96,1.04,0,0.1,0.98,0.31
123,0,1.05,2.5,0.94,0,0.16,0.98,0.32
124,0,0.99,2.18,0.86,0,0.02,0.18,0.06
125,0,0.97,2.18,0.84,0,0.12,0.98,0.31
126,0,0.87,2.09,0.84,0,0,0.04,0.01
127,0,0.76,1.96,0.75,0,0,0.04,0.01
128,0,0.67,1.7,0.65,0,0,0.04,0.01
129,0,0.62,1.44,0.59,0,0,0.04,0.01
130,0,0.6,1.44,0.57,0,0,0,0
131,0,0.45,1.22,0.52,0,0,0.04,0.01
132,0,0.42,1.09,0.48,0,0,0.04,0.01
133,0,0.39,1.09,0.47,0,0,0,0
134,0,0.35,1.09,0.45,0,0,0,0
135,0,0.33,1.09,0.42,0,0,0.04,0.01
136,0,0.32,1.09,0.41,0,0,0.04,0.01
137,0,0.31,1.09,0.4,0,0,0.04,0.01
138,0,0.24,0.87,0.33,0,0,0.04,0.01
139,0,0.23,0.87,0.32,0,0,0.04,0.01
140,0,0.18,0.68,0.28,0,0,0.04,0.01
141,0,0.14,0.57,0.22,0,0,0,0
142,0,0.08,0.41,0.14,0,0,0,0
143,0,0.06,0.41,0.13,0,0,0,0
144,0,0.06,0.41,0.13,0,0,0,0
145,0,0.06,0.41,0.13,0,0,0.04,0.01
146,0,0.05,0.29,0.09,0,0,0,0
147,0,0.03,0.29,0.09,0,0,0,0
148,0,0.02,0.18,0.06,0,0,0,0
149,0,0.02,0.18,0.06,0,0,0,0
150,0,0.02,0.18,0.06,0,0,0,0
151,0,0.02,0.17,0.05,0,0,0.04,0.01
152,0,0.01,0.09,0.03,0,0,0,0
153,0,0,0.03,0.01,0,0,0,0
154,0,0,0.03,0.01,0,0,0,0
155,0,0,0.03,0.01,0,0,0,0
156,0,0,0.03,0.01,0,0,0,0
157,0,0,0.03,0.01,0,0,0,0
158,0,0,0.02,0,0,0,0,0
159,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0
161,0,0,0,0,0,0,0,0
162,0,0,0,0,0,0,0,0
163,0,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0,0
167,0,0,0,0,0,0,0,0
168,0,0,0,0,0,0,0,0
169,0,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0,0
171,0,0,0,0,0,0,0,0
172,0,0,0,0,0,0,0,0
173,0,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0
181,0,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0,0
183,0,0,0,0,0,0,0,0
184,0,0,0,0,0,0,0,0
185,0,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0,0
187,0,0,0,0,0,0,0,0
188,0,0,0,0,0,0,0,0
189,0,0,0,0,0,0,0,0
190,0,0,0,0,0,0,0,0
191,0,0,0,0,0,0,0,0
192,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0,0
