k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,30,30,30,,2.85,2.85,2.85,
1,30,30,30,,2.85,2.85,2.85,
2,30,30,30,,0.98,0.98,0.98,
3,30,30,30,,0.98,0.98,0.98,
4,30,30,30,,0.98,0.98,0.98,
5,30,30,30,,0.98,0.98,0.98,
6,30,30,30,,0.98,0.98,0.98,
7,30,30,30,,0.98,0.98,0.98,
8,30,30,30,,0.98,0.98,0.98,
9,30,30,30,,0.98,0.98,0.98,
10,30,30,30,,0.98,0.98,0.98,
11,30,30,30,,0.98,0.98,0.98,
12,30,30,30,,0.98,0.98,0.98,
13,30,30,30,,0.98,0.98,0.98,
14,28.93,28.93,28.93,,0.98,0.98,0.98,
15,28.92,28.92,28.92,,0.98,0.98,0.98,
16,28.92,28.92,28.92,,0.98,0.98,0.98,
17,28.92,28.92,28.92,,0.98,0.98,0.98,
18,28.92,28.92,28.92,,0.98,0.98,0.98,
19,28.92,28.92,28.92,,0.98,0.98,0.98,
20,28.92,28.92,28.92,,0.98,0.98,0.98,
21,28.91,28.91,28.91,,0.98,0.98,0.98,
22,28.91,28.91,28.91,,0.98,0.98,0.98,
23,28.9,28.9,28.9,,0.98,0.98,0.98,
24,28.89,28.89,28.89,,0.98,0.98,0.98,
25,28.87,28.87,28.87,,0.98,0.98,0.98,
26,28.87,28.87,28.87,,0.98,0.98,0.98,
27,28.87,28.87,28.87,,0.98,0.98,0.98,
28,28.86,28.86,28.86,,0.98,0.98,0.98,
29,28.83,28.83,28.83,,0.98,0.98,0.98,
30,28.83,28.83,28.83,,0.98,0.98,0.98,
31,28.83,28.83,28.83,,0.98,0.98,0.98,
32,28.83,28.83,28.83,,0.98,0.98,0.98,
33,28.83,28.83,28.83,,0.98,0.98,0.98,
34,28.83,28.83,28.83,,0.98,0.98,0.98,
35,28.83,28.83,28.83,,0.98,0.98,0.98,
36,28.83,28.83,28.83,,0.98,0.98,0.98,
37,28.83,28.83,28.83,,0.98,0.98,0.98,
38,28.83,28.83,28.83,,0.98,0.98,0.98,
39,27.83,27.83,27.83,,0.98,0.98,0.98,
40,27.83,27.83,27.83,,0.98,0.98,0.98,
41,27.83,27.83,27.83,,0.98,0.98,0.98,
42,27.83,27.83,27.83,,0.98,0.98,0.98,
43,27.83,27.83,27.83,,0.98,0.98,0.98,
44,27.83,27.83,27.83,,0.98,0.98,0.98,
45,27.83,27.83,27.83,,0.98,0.98,0.98,
46,27.83,27.83,27.83,,0.98,0.98,0.98,
47,27.83,27.83,27.83,,0.98,0.98,0.98,
48,27.83,27.83,27.83,,0.98,0.98,0.98,
49,27.8,27.8,27.8,,0.98,0.98,0.98,
50,27.8,27.8,27.8,,0.98,0.98,0.98,
51,27.75,27.75,27.75,,0.98,0.98,0.98,
52,27.67,27.67,27.67,,0.98,0.98,0.98,
53,27.67,27.67,27.67,,0.98,0.98,0.98,
54,27.67,27.67,27.67,,0.98,0.98,0.98,
55,27.67,27.67,27.67,,0.98,0.98,0.98,
56,27.67,27.67,27.67,,0.98,0.98,0.98,
57,27.67,27.67,27.67,,0.98,0.98,0.98,
58,27.5,27.5,27.5,,0.98,0.98,0.98,
59,27.5,27.5,27.5,,0.98,0.98,0.98,
60,26.7,26.7,26.7,,0.98,0.98,0.98,
61,26.7,26.7,26.7,,0.98,0.98,0.98,
62,26.7,26.7,26.7,,0.98,0.98,0.98,
63,26.7,26.7,26.7,,0.98,0.98,0.98,
64,26.7,26.7,26.7,,0.98,0.98,0.98,
65,26.7,26.7,26.7,,0.98,0.98,0.98,
66,26.7,26.7,26.7,,0.98,0.98,0.98,
67,26.67,26.67,26.67,,0.98,0.98,0.98,
68,26.67,26.67,26.67,,0.98,0.98,0.98,
69,26.67,26.67,26.67,,0.98,0.98,0.98,
70,26.67,26.67,26.67,,0.98,0.98,0.98,
71,26.67,26.67,26.67,,0.98,0.98,0.98,
72,26.6,26.6,26.6,,0.98,0.98,0.98,
73,26.5,26.5,26.5,,0.98,0.98,0.98,
74,26.5,26.5,26.5,,0.98,0.98,0.98,
75,26.33,26.33,26.33,,0.98,0.98,0.98,
76,26.33,26.33,26.33,,0.98,0.98,0.98,
77,26.33,26.33,26.33,,0.98,0.98,0.98,
78,26.33,26.33,26.33,,0.98,0.98,0.98,
79,26.33,26.33,26.33,,0.98,0.98,0.98,
80,26.17,26.17,26.17,,0.98,0.98,0.98,
81,26.17,26.17,26.17,,0.98,0.98,0.98,
82,26.17,26.17,26.17,,0.98,0.98,0.98,
83,26.17,26.17,26.17,,0.98,0.98,0.98,
84,26.17,26.17,26.17,,0.98,0.98,0.98,
85,26,26,26,,0.98,0.98,0.98,
86,26,26,26,,0.98,0.98,0.98,
87,25.56,25.56,25.56,,0.98,0.98,0.98,
88,25.56,25.56,25.56,,0.98,0.98,0.98,
89,25.56,25.56,25.56,,0.98,0.98,0.98,
90,25.56,25.56,25.56,,0.98,0.98,0.98,
91,25.5,25.5,25.5,,0.98,0.98,0.98,
92,25.5,25.5,25.5,,0.98,0.98,0.98,
93,25.5,25.5,25.5,,0.98,0.98,0.98,
94,25.5,25.5,25.5,,0.98,0.98,0.98,
95,25.5,25.5,25.5,,0.98,0.98,0.98,
96,25.5,25.5,25.5,,0.98,0.98,0.98,
97,25.5,25.5,25.5,,0.98,0.98,0.98,
98,25.5,25.5,25.5,,0.98,0.98,0.98,
99,25.25,25.25,25.25,,0.98,0.98,0.98,
100,25.25,25.25,25.25,,0.98,0.98,0.98,
101,25.17,25.17,25.17,,0.98,0.98,0.98,
102,25.17,25.17,25.17,,0.98,0.98,0.98,
103,25.17,25.17,25.17,,0.98,0.98,0.98,
104,25,25,25,,0.98,0.98,0.98,
105,25,25,25,,0.98,0.98,0.98,
106,24.67,24.67,24.67,,0.98,0.98,0.98,
107,24.5,24.5,24.5,,0.98,0.98,0.98,
108,24.5,24.5,24.5,,0.98,0.98,0.98,
109,24.5,24.5,24.5,,0.98,0.98,0.98,
110,24.5,24.5,24.5,,0.98,0.98,0.98,
111,24.5,24.5,24.5,,0.98,0.98,0.98,
112,24.5,24.5,24.5,,0.98,0.98,0.98,
113,24.4,24.4,24.4,,0.98,0.98,0.98,
114,24.33,24.33,24.33,,0.98,0.98,0.98,
115,24.25,24.25,24.25,,0.98,0.98,0.98,
116,24.25,24.25,24.25,,0.98,0.98,0.98,
117,24.25,24.25,24.25,,0.98,0.98,0.98,
118,24,24,24,,0.98,0.98,0.98,
119,24,24,24,,0.98,0.98,0.98,
120,23.56,23.56,23.56,,0.98,0.98,0.98,
121,23.5,23.5,23.5,,0.98,0.98,0.98,
122,23.5,23.5,23.5,,0.98,0.98,0.98,
123,23.5,23.5,23.5,,0.98,0.98,0.98,
124,23.5,23.5,23.5,,0.98,0.98,0.98,
125,23.5,23.5,23.5,,0.98,0.98,0.98,
126,23.25,23.25,23.25,,0.98,0.98,0.98,
127,23.25,23.25,23.25,,0.98,0.98,0.98,
128,23.17,23.17,23.17,,0.98,0.98,0.98,
129,23.17,23.17,23.17,,0.98,0.98,0.98,
130,23.17,23.17,23.17,,0.98,0.98,0.98,
131,23.17,23.17,23.17,,0.98,0.98,0.98,
132,23,23,23,,0.98,0.98,0.98,
133,23,23,23,,0.98,0.98,0.98,
134,23,23,23,,0.98,0.98,0.98,
135,23,23,23,,0.98,0.98,0.98,
136,23,23,23,,0.98,0.98,0.98,
137,23,23,23,,0.98,0.98,0.98,
138,23,23,23,,0.98,0.98,0.98,
139,23,23,23,,0.98,0.98,0.98,
140,22.4,22.4,22.4,,0.98,0.98,0.98,
141,22.33,22.33,22.33,,0.98,0.98,0.98,
142,22.25,22.25,22.25,,0.98,0.98,0.98,
143,22,22,22,,0.98,0.98,0.98,
144,22,22,22,,0.98,0.98,0.98,
145,22,22,22,,0.98,0.98,0.98,
146,22,22,22,,0.98,0.98,0.98,
147,22,22,22,,0.98,0.98,0.98,
148,22,22,22,,0.98,0.98,0.98,
149,22,22,22,,0.98,0.98,0.98,
150,22,22,22,,0.98,0.98,0.98,
151,22,22,22,,0.98,0.98,0.98,
152,22,22,22,,0.98,0.98,0.98,
153,22,22,22,,0.98,0.98,0.98,
154,22,22,22,,0.98,0.98,0.98,
155,22,22,22,,0.98,0.98,0.98,
156,22,22,22,,0.98,0.98,0.98,
157,21.17,21.17,21.17,,0.98,0.98,0.98,
158,21,21,21,,0.98,0.98,0.98,
159,21,21,21,,0.98,0.98,0.98,
160,21,21,21,,0.98,0.98,0.98,
161,21,21,21,,0.98,0.98,0.98,
162,21,21,21,,0.98,0.98,0.98,
163,21,21,21,,0.98,0.98,0.98,
164,21,21,21,,0.98,0.98,0.98,
165,21,21,21,,0.98,0.98,0.98,
166,21,21,21,,0.98,0.98,0.98,
167,21,21,21,,0.98,0.98,0.98,
168,21,21,21,,0.98,0.98,0.98,
169,21,21,21,,0.98,0.98,0.98,
170,21,21,21,,0.98,0.98,0.98,
171,21,21,21,,0.98,0.98,0.98,
172,21,21,21,,0.98,0.98,0.98,
173,21,21,21,,0.98,0.98,0.98,
174,21,21,21,,0.98,0.98,0.98,
175,21,21,21,,0.98,0.98,0.98,
176,21,21,21,,0.98,0.98,0.98,
177,21,21,21,,0.98,0.98,0.98,
178,21,21,21,,0.98,0.98,0.98,
