k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,30,30,30,,5.58,5.58,5.58,
1,30,30,30,,5.58,5.58,5.58,
2,30,30,30,,5.58,5.58,5.58,
3,30,30,30,,5.58,5.58,5.58,
4,30,30,30,,5.58,5.58,5.58,
5,30,30,30,,7.98,7.98,7.98,
6,30,30,30,,7.98,7.98,7.98,
7,30,30,30,,7.98,7.98,7.98,
8,30,30,30,,2.26,2.26,2.26,
9,30,30,30,,6.26,6.26,6.26,
10,30,30,30,,6.26,6.26,6.26,
11,30,30,30,,6.26,6.26,6.26,
12,30,30,30,,6.26,6.26,6.26,
13,30,30,30,,6.26,6.26,6.26,
14,29.5,29.5,29.5,,6.26,6.26,6.26,
15,29,29,29,,6.26,6.26,6.26,
16,28.93,28.93,28.93,,6.26,6.26,6.26,
17,28.93,28.93,28.93,,6.26,6.26,6.26,
18,28.93,28.93,28.93,,6.26,6.26,6.26,
19,28.92,28.92,28.92,,6.26,6.26,6.26,
20,28.92,28.92,28.92,,6.26,6.26,6.26,
21,28.92,28.92,28.92,,6.26,6.26,6.26,
22,28.92,28.92,28.92,,6.26,6.26,6.26,
23,28.92,28.92,28.92,,6.26,6.26,6.26,
24,28.92,28.92,28.92,,6.26,6.26,6.26,
25,28.92,28.92,28.92,,6.26,6.26,6.26,
26,28.91,28.91,28.91,,6.26,6.26,6.26,
27,28.9,28.9,28.9,,6.26,6.26,6.26,
28,28.78,28.78,28.78,,6.26,6.26,6.26,
29,28.75,28.75,28.75,,6.26,6.26,6.26,
30,28.71,28.71,28.71,,6.26,6.26,6.26,
31,28.67,28.67,28.67,,6.26,6.26,6.26,
32,28.4,28.4,28.4,,6.26,6.26,6.26,
33,28.25,28.25,28.25,,6.26,6.26,6.26,
34,28,28,28,,6.26,6.26,6.26,
35,27.85,27.85,27.85,,6.26,6.26,6.26,
36,27.85,27.85,27.85,,6.26,6.26,6.26,
37,27.85,27.85,27.85,,6.26,6.26,6.26,
38,27.85,27.85,27.85,,6.26,6.26,6.26,
39,27.85,27.85,27.85,,6.26,6.26,6.26,
40,27.85,27.85,27.85,,6.26,6.26,6.26,
41,27.85,27.85,27.85,,6.26,6.26,6.26,
42,27.83,27.83,27.83,,6.26,6.26,6.26,
43,27.83,27.83,27.83,,6.26,6.26,6.26,
44,27.83,27.83,27.83,,6.26,6.26,6.26,
45,27.83,27.83,27.83,,6.26,6.26,6.26,
46,27.83,27.83,27.83,,6.26,6.26,6.26,
47,27.83,27.83,27.83,,6.26,6.26,6.26,
48,27.83,27.83,27.83,,6.26,6.26,6.26,
49,27.83,27.83,27.83,,6.26,6.26,6.26,
50,27.83,27.83,27.83,,6.26,6.26,6.26,
51,27.83,27.83,27.83,,6.26,6.26,6.26,
52,27.83,27.83,27.83,,6.26,6.26,6.26,
53,27.83,27.83,27.83,,6.26,6.26,6.26,
54,27.75,27.75,27.75,,6.26,6.26,6.26,
55,27.73,27.73,27.73,,6.26,6.26,6.26,
56,27.7,27.7,27.7,,6.26,6.26,6.26,
57,27.67,27.67,27.67,,6.26,6.26,6.26,
58,27.5,27.5,27.5,,6.26,6.26,6.26,
59,27.43,27.43,27.43,,6.26,6.26,6.26,
