k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,30,30,30,,5.58,5.58,5.58,
1,30,30,30,,5.58,5.58,5.58,
2,30,30,30,,6.26,6.26,6.26,
3,30,30,30,,6.26,6.26,6.26,
4,30,30,30,,6.26,6.26,6.26,
5,30,30,30,,4.44,4.44,4.44,
6,30,30,30,,4.44,4.44,4.44,
7,30,30,30,,0,0,0,
8,30,30,30,,0,0,0,
9,30,30,30,,0,0,0,
10,30,30,30,,0,0,0,
11,30,30,30,,0,0,0,
12,30,30,30,,0,0,0,
13,30,30,30,,0,0,0,
14,28.93,28.93,28.93,,0,0,0,
15,28.93,28.93,28.93,,0,0,0,
16,28.92,28.92,28.92,,0,0,0,
17,28.92,28.92,28.92,,0,0,0,
18,28.92,28.92,28.92,,0,0,0,
19,28.92,28.92,28.92,,0,0,0,
20,28.91,28.91,28.91,,0,0,0,
21,28.9,28.9,28.9,,0,0,0,
22,28.89,28.89,28.89,,0,0,0,
23,28.89,28.89,28.89,,0,0,0,
24,28.87,28.87,28.87,,0,0,0,
25,28.75,28.75,28.75,,0,0,0,
26,28.71,28.71,28.71,,0,0,0,
27,28.5,28.5,28.5,,0,0,0,
28,28.4,28.4,28.4,,0,0,0,
29,28.25,28.25,28.25,,0,0,0,
30,28,28,28,,0,0,0,
31,27.82,27.82,27.82,,0,0,0,
32,27.8,27.8,27.8,,0,0,0,
33,27.78,27.78,27.78,,0,0,0,
34,27.75,27.75,27.75,,0,0,0,
35,27.71,27.71,27.71,,0,0,0,
36,27.67,27.67,27.67,,0,0,0,
37,27.67,27.67,27.67,,0,0,0,
38,27.67,27.67,27.67,,0,0,0,
39,27.67,27.67,27.67,,0,0,0,
40,27.67,27.67,27.67,,0,0,0,
41,27.67,27.67,27.67,,0,0,0,
42,27.5,27.5,27.5,,0,0,0,
43,27.33,27.33,27.33,,0,0,0,
44,27.33,27.33,27.33,,0,0,0,
45,27,27,27,,0,0,0,
46,27,27,27,,0,0,0,
47,26.75,26.75,26.75,,0,0,0,
48,26.73,26.73,26.73,,0,0,0,
49,26.7,26.7,26.7,,0,0,0,
50,26.67,26.67,26.67,,0,0,0,
51,26.62,26.62,26.62,,0,0,0,
52,26.43,26.43,26.43,,0,0,0,
53,26.33,26.33,26.33,,0,0,0,
54,26.33,26.33,26.33,,0,0,0,
55,26.33,26.33,26.33,,0,0,0,
56,26.17,26.17,26.17,,0,0,0,
57,26,26,26,,0,0,0,
58,26,26,26,,0,0,0,
59,26,26,26,,0,0,0,
60,26,26,26,,0,0,0,
61,26,26,26,,0,0,0,
62,26,26,26,,0,0,0,
63,25.43,25.43,25.43,,0,0,0,
64,25.4,25.4,25.4,,0,0,0,
65,25.33,25.33,25.33,,0,0,0,
66,25.33,25.33,25.33,,0,0,0,
67,25.25,25.25,25.25,,0,0,0,
68,25.25,25.25,25.25,,0,0,0,
69,25,25,25,,0,0,0,
70,25,25,25,,0,0,0,
71,25,25,25,,0,0,0,
72,25,25,25,,0,0,0,
73,25,25,25,,0,0,0,
74,25,25,25,,0,0,0,
75,25,25,25,,0,0,0,
76,25,25,25,,0,0,0,
77,25,25,25,,0,0,0,
78,25,25,25,,0,0,0,
