k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,20,20,20,0,1.59,2.88,5.6,1.2
1,20,20,20,0,1.59,2.88,5.6,1.2
2,20,20,20,0,0.88,2.63,4.59,1.14
3,20,20,20,0,0.88,2.91,5.91,1.55
4,20,20,20,0,0.88,3.1,5.94,1.85
5,20,20,20,0,0,2.57,5.19,1.67
6,20,20,20,0,0,2.39,5.19,1.6
7,20,20,20,0,0,2.76,7.12,2.19
8,20,20,20,0,0,2.52,7.12,2.27
9,18.89,19.39,20,0.43,0,2.14,7.12,2.34
10,18.87,19.04,19.5,0.25,0,1.84,7.12,2.41
11,18.75,18.89,19,0.07,0,1.84,7.12,2.41
12,18.71,18.85,18.89,0.07,0,1.84,7.12,2.41
13,18.67,18.82,18.89,0.09,0,1.84,7.12,2.41
14,18.6,18.8,18.87,0.11,0,1.84,7.12,2.41
15,18.33,18.73,18.87,0.19,0,1.84,7.12,2.41
16,18,18.63,18.87,0.35,0,1.84,7.12,2.41
17,18,18.6,18.87,0.36,0,1.84,7.12,2.41
18,17.75,18.5,18.87,0.43,0,1.84,7.12,2.41
19,17.67,18.42,18.87,0.47,0,1.84,7.12,2.41
20,17.67,18.37,18.86,0.49,0,1.84,7.12,2.41
21,17.33,18.3,18.86,0.58,0,1.84,7.12,2.41
22,17.33,18.22,18.86,0.57,0,1.84,7.12,2.41
23,17.25,18.02,18.75,0.55,0,1.84,7.12,2.41
24,17,17.88,18.75,0.62,0,1.84,7.12,2.41
25,16.89,17.79,18.75,0.6,0,1.84,7.12,2.41
26,16.78,17.75,18.75,0.61,0,1.84,7.12,2.41
27,16.78,17.69,18.75,0.6,0,1.84,7.12,2.41
28,16.62,17.64,18.75,0.61,0,1.84,7.12,2.41
29,16.57,17.57,18.75,0.63,0,1.84,7.12,2.41
30,16.5,17.45,18.75,0.67,0,1.84,7.12,2.41
31,16.4,17.34,18.75,0.7,0,1.84,7.12,2.41
32,16.2,17.2,18.5,0.72,0,1.84,7.12,2.41
33,16,17.12,18.5,0.8,0,1.84,7.12,2.41
34,15.78,16.94,18,0.78,0,1.84,7.12,2.41
35,15.62,16.86,18,0.79,0,1.84,7.12,2.41
36,15.57,16.84,18,0.79,0,1.84,7.12,2.41
37,15.57,16.76,18,0.75,0,1.84,7.12,2.41
38,15.43,16.71,18,0.8,0,1.84,7.12,2.41
39,15.33,16.66,18,0.85,0,1.84,7.12,2.41
40,15.2,16.63,18,0.89,0,1.33,7.12,2.16
41,15,16.54,18,0.95,0,1.33,7.12,2.16
42,14.89,16.43,17.33,0.86,0,1.33,7.12,2.16
43,14.78,16.38,17.33,0.85,0,1.33,7.12,2.16
44,14.78,16.24,17.2,0.81,0,1.33,7.12,2.16
45,14.75,16.11,17,0.8,0,1.33,7.12,2.16
46,14.71,16.02,17,0.77,0,1.33,7.12,2.16
47,14.67,15.87,16.67,0.71,0,1.33,7.12,2.16
48,14.5,15.82,16.67,0.75,0,1.33,7.12,2.16
49,14.5,15.74,16.67,0.73,0,1.33,7.12,2.16
50,14.4,15.7,16.67,0.75,0,1.33,7.12,2.16
51,14,15.62,16.67,0.8,0,1.33,7.12,2.16
52,14,15.53,16.67,0.82,0,1.33,7.12,2.16
53,13.67,15.45,16.5,0.89,0,1.33,7.12,2.16
54,13.62,15.32,16.5,0.85,0,1.33,7.12,2.16
55,13.57,15.29,16.5,0.86,0,1.33,7.12,2.16
56,13.33,15.17,16.5,0.91,0,1.33,7.12,2.16
57,13.2,15.09,16.17,0.9,0,1.33,7.12,2.16
58,13,15.04,16.17,0.95,0,1.33,7.12,2.16
59,13,15.02,16.17,0.93,0,1.33,7.12,2.16
60,13,14.98,16.17,0.91,0,1.33,7.12,2.16
61,13,14.91,16.17,0.88,0,1.33,7.12,2.16
62,12.5,14.84,16.17,1.02,0,1.33,7.12,2.16
63,12.5,14.79,16.17,1.01,0,1.33,7.12,2.16
64,12.43,14.64,16.17,1.05,0,1.33,7.12,2.16
65,12.33,14.5,16,1.06,0,1.33,7.12,2.16
66,12.33,14.48,16,1.07,0,1.33,7.12,2.16
67,12.17,14.41,16,1.07,0,1.33,7.12,2.16
68,12.17,14.37,15.86,1.06,0,1.33,7.12,2.16
69,12.17,14.36,15.86,1.05,0,1.33,7.12,2.16
70,12,14.25,15.86,1.12,0,1.33,7.12,2.16
71,11.86,14.13,15.86,1.16,0,1.33,7.12,2.16
72,11.57,14.09,15.86,1.2,0,1.33,7.12,2.16
73,11.29,13.99,15.5,1.23,0,1.33,7.12,2.16
74,11.17,13.94,15.5,1.26,0,1.33,7.12,2.16
75,11.17,13.86,15.5,1.26,0,1.33,7.12,2.16
76,11.17,13.79,15.5,1.27,0,1.33,7.12,2.16
77,11,13.73,15.5,1.33,0,1.33,7.12,2.16
78,11,13.67,15.29,1.31,0,1.33,7.12,2.16
79,10.78,13.59,15.17,1.35,0,1.33,7.12,2.16
80,10.78,13.38,15,1.3,0,1.33,7.12,2.16
81,10.67,13.31,15,1.34,0,1.33,7.12,2.16
82,10.67,13.22,15,1.38,0,1.33,7.12,2.16
83,10.67,13.21,15,1.38,0,1.33,7.12,2.16
84,10.67,13.16,15,1.4,0,1.33,7.12,2.16
85,10.62,13.1,15,1.39,0,1.33,7.12,2.16
