k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,20,20,20,0,1.59,2.88,5.6,1.2
1,20,20,20,0,1.59,2.88,5.6,1.2
2,20,20,20,0,1.59,2.88,5.6,1.2
3,20,20,20,0,1.59,2.88,5.6,1.2
4,20,20,20,0,1.59,2.88,5.6,1.2
5,20,20,20,0,1.59,2.88,5.6,1.2
6,20,20,20,0,1.59,2.88,5.6,1.2
7,20,20,20,0,1.59,2.88,5.6,1.2
8,20,20,20,0,1.59,2.88,5.6,1.2
9,20,20,20,0,1.59,2.88,5.6,1.2
10,20,20,20,0,1.59,2.88,5.6,1.2
11,20,20,20,0,1.59,2.88,5.6,1.2
12,20,20,20,0,1.59,2.88,5.6,1.2
13,20,20,20,0,1.59,2.88,5.6,1.2
14,20,20,20,0,1.59,2.88,5.6,1.2
15,20,20,20,0,1.59,2.88,5.6,1.2
16,20,20,20,0,1.59,2.88,5.6,1.2
17,20,20,20,0,1.59,2.88,5.6,1.2
18,20,20,20,0,1.59,2.88,5.6,1.2
19,20,20,20,0,1.59,2.88,5.6,1.2
20,20,20,20,0,1.59,2.88,5.6,1.2
21,20,20,20,0,1.59,2.88,5.6,1.2
22,20,20,20,0,1.59,2.88,5.6,1.2
23,20,20,20,0,1.59,2.88,5.6,1.2
24,20,20,20,0,1.59,2.88,5.6,1.2
25,20,20,20,0,1.59,2.88,5.6,1.2
26,20,20,20,0,1.59,2.88,5.6,1.2
27,20,20,20,0,1.59,2.88,5.6,1.2
28,20,20,20,0,1.59,2.88,5.6,1.2
29,20,20,20,0,1.59,2.88,5.6,1.2
30,20,20,20,0,1.59,2.88,5.6,1.2
31,20,20,20,0,0,1.87,5.11,2.01
32,20,20,20,0,0,1.2,4.59,1.54
33,20,20,20,0,0,1.2,4.59,1.54
34,19.98,19.99,20,0.01,0,1.56,4.59,1.64
35,19.92,19.98,20,0.02,0,1.39,4.59,1.71
36,19.83,19.95,19.99,0.05,0,1.39,5.91,2.02
37,19.7,19.86,19.94,0.08,0,0.8,3.58,1.27
38,19.42,19.61,19.82,0.11,0,0.76,3.58,1.29
39,18.86,18.87,18.89,0.01,0,0.76,3.58,1.29
40,18.84,18.86,18.88,0.01,0,0.76,3.58,1.29
41,18.81,18.84,18.88,0.02,0,0.76,3.58,1.29
42,18.63,18.79,18.88,0.07,0,0.76,3.58,1.29
43,18.52,18.73,18.85,0.11,0,0.76,3.58,1.29
44,18.44,18.66,18.82,0.14,0,0.76,3.58,1.29
45,18.25,18.6,18.82,0.2,0,0.76,3.58,1.29
46,18.2,18.56,18.82,0.23,0,0.76,3.58,1.29
47,17.89,18.44,18.8,0.31,0,0.76,3.58,1.29
48,17.73,18.32,18.8,0.34,0,0.76,3.58,1.29
49,17.68,18.27,18.8,0.38,0,0.76,3.58,1.29
50,17.6,18.1,18.8,0.49,0,0.76,3.58,1.29
51,17.55,17.96,18.8,0.5,0,0.76,3.58,1.29
52,17.41,17.85,18.78,0.5,0,0.76,3.58,1.29
53,17.3,17.77,18.74,0.49,0,0.76,3.58,1.29
54,17,17.64,18.73,0.48,0,0.76,3.58,1.29
55,16.89,17.48,18.49,0.44,0,0.76,3.58,1.29
56,16.89,17.46,18.47,0.46,0,0.76,3.58,1.29
57,16.74,17.34,17.67,0.36,0,0.76,3.58,1.29
58,16.54,17.26,17.67,0.39,0,0.76,3.58,1.29
59,16.45,17.18,17.63,0.43,0,0.76,3.58,1.29
60,16.37,17.08,17.63,0.5,0,0.76,3.58,1.29
61,16.2,16.98,17.57,0.51,0,0.76,3.58,1.29
62,16,16.91,17.55,0.54,0,0.76,3.58,1.29
63,15.89,16.82,17.55,0.57,0,0.76,3.58,1.29
64,15.78,16.72,17.55,0.63,0,0.76,3.58,1.29
65,15.78,16.6,17.54,0.62,0,0.76,3.58,1.29
66,15.74,16.49,17.45,0.6,0,0.76,3.58,1.29
67,15.55,16.46,17.36,0.62,0,0.76,3.58,1.29
68,15.3,16.39,17.36,0.64,0,0.76,3.58,1.29
69,15.18,16.37,17.29,0.65,0,0.76,3.58,1.29
70,15,16.28,17.29,0.77,0,0.76,3.58,1.29
71,14.89,16.14,17.23,0.75,0,0.76,3.58,1.29
72,14.78,15.9,16.51,0.62,0,0.76,3.58,1.29
73,14.67,15.83,16.48,0.63,0,0.76,3.58,1.29
74,14.62,15.75,16.48,0.67,0,0.76,3.58,1.29
75,14.55,15.62,16.48,0.7,0,0.76,3.58,1.29
76,14.32,15.53,16.48,0.72,0,0.76,3.58,1.29
77,14,15.42,16.48,0.79,0,0.76,3.58,1.29
78,13.89,15.32,16.45,0.79,0,0.76,3.58,1.29
79,13.78,15.24,16.43,0.78,0,0.76,3.58,1.29
80,13.78,15.15,16.13,0.75,0,0.76,3.58,1.29
81,13.67,15.08,16,0.81,0,0.76,3.58,1.29
82,13.56,15.07,16,0.83,0,0.76,3.58,1.29
83,13.56,15.04,16,0.84,0,0.76,3.58,1.29
84,13.56,14.93,15.94,0.83,0,0.76,3.58,1.29
85,13.56,14.78,15.77,0.73,0,0.76,3.58,1.29
86,13.56,14.71,15.61,0.7,0,0.76,3.58,1.29
87,13.41,14.54,15.26,0.68,0,0.76,3.58,1.29
88,13.35,14.48,15.14,0.69,0,0.76,3.58,1.29
