k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,20,20,20,0,1.59,2.88,5.6,1.2
1,20,20,20,0,1.59,2.88,5.6,1.2
2,20,20,20,0,1.59,3.03,7.12,1.61
3,20,20,20,0,0,2.89,8.08,2.41
4,20,20,20,0,0,1.62,5.2,1.7
5,20,20,20,0,0,1.25,5.2,1.76
6,20,20,20,0,0,1.74,6.15,2.09
7,20,20,20,0,0,1.63,5.89,1.99
8,20,20,20,0,0,1.11,3.58,1.23
9,18.89,19.19,19.5,0.27,0,1.15,3.58,1.22
10,18.87,18.93,19,0.06,0,1.15,3.58,1.22
11,18.86,18.88,18.89,0.01,0,1.08,3.58,1.24
12,18.75,18.86,18.89,0.04,0,1.08,3.58,1.24
13,18.67,18.82,18.87,0.07,0,1.08,3.58,1.24
14,18.6,18.78,18.87,0.09,0,1.08,3.58,1.24
15,18.4,18.73,18.86,0.14,0,1.08,3.58,1.24
16,18,18.62,18.83,0.26,0,1.08,3.58,1.24
17,18,18.45,18.83,0.39,0,1.08,3.58,1.24
18,17.89,18.43,18.83,0.4,0,1.08,3.58,1.24
19,17.75,18.37,18.8,0.38,0,1.08,3.58,1.24
20,17.67,18.22,18.8,0.41,0,1.42,3.58,1.37
21,17.67,18.12,18.8,0.41,0,1.42,3.58,1.37
22,17.6,18,18.8,0.44,0,1.42,3.58,1.37
23,17.5,17.91,18.8,0.47,0,1.42,3.58,1.37
24,17.33,17.89,18.75,0.49,0,1.42,3.58,1.37
25,17,17.76,18.6,0.51,0,1.42,3.58,1.37
26,17,17.69,18.6,0.56,0,1.42,3.58,1.37
27,17,17.55,18.6,0.53,0,1.42,3.58,1.37
28,16.75,17.44,18.4,0.52,0,1.08,3.58,1.24
29,16.57,17.32,18,0.48,0,1.08,3.58,1.24
30,16.5,17.25,17.75,0.45,0,1.08,3.58,1.24
31,16.4,17.21,17.75,0.46,0,1.08,3.58,1.24
32,16.25,17.16,17.75,0.49,0,1.08,3.58,1.24
33,16,17.02,17.75,0.56,0,1.08,3.58,1.24
34,16,16.88,17.67,0.53,0,1.08,3.58,1.24
35,16,16.76,17.5,0.5,0,1.08,3.58,1.24
36,16,16.7,17.5,0.54,0,1.08,3.58,1.24
37,15.71,16.51,17.5,0.61,0,1.08,3.58,1.24
38,15.5,16.45,17.5,0.66,0,1.08,3.58,1.24
39,15.5,16.28,17.4,0.68,0,1.08,3.58,1.24
40,15.5,16.12,17.2,0.49,0,1.08,3.58,1.24
41,15,15.98,16.6,0.45,0,1.08,3.58,1.24
42,15,15.9,16.5,0.44,0,1.08,3.58,1.24
43,15,15.88,16.5,0.44,0,1.08,3.58,1.24
44,15,15.88,16.5,0.44,0,1.08,3.58,1.24
45,14.89,15.82,16.5,0.48,0,1.08,3.58,1.24
46,14.87,15.77,16.5,0.49,0,1.08,3.58,1.24
47,14.87,15.71,16.5,0.52,0,1.08,3.58,1.24
48,14.75,15.65,16.5,0.54,0,1.08,3.58,1.24
49,14.71,15.6,16.5,0.57,0,1.08,3.58,1.24
50,14.5,15.48,16,0.55,0,1.08,3.58,1.24
51,14,15.38,16,0.63,0,1.08,3.58,1.24
52,13.89,15.32,16,0.66,0,1.08,3.58,1.24
53,13.78,15.16,15.75,0.56,0,1.08,3.58,1.24
54,13.62,15.09,15.75,0.59,0,1.08,3.58,1.24
55,13.57,15.04,15.75,0.62,0,1.08,3.58,1.24
56,13.5,15,15.75,0.63,0,1.08,3.58,1.24
57,13.5,14.95,15.75,0.63,0,1.08,3.58,1.24
58,13.25,14.87,15.5,0.68,0,1.08,3.58,1.24
59,13,14.81,15.5,0.73,0,1.08,3.58,1.24
60,13,14.78,15.5,0.71,0,1.08,3.58,1.24
61,13,14.67,15.33,0.67,0,1.08,3.58,1.24
62,13,14.65,15.33,0.68,0,1.08,3.58,1.24
63,13,14.57,15.29,0.68,0,1.08,3.58,1.24
64,12.62,14.46,15.29,0.78,0,1.08,3.58,1.24
65,12.5,14.4,15.14,0.8,0,1.08,3.58,1.24
66,12.5,14.29,15.14,0.74,0,1.08,3.58,1.24
67,12.43,14.26,15.14,0.77,0,1.08,3.58,1.24
68,12.33,14.18,15,0.79,0,1.08,3.58,1.24
69,12.2,14.07,15,0.8,0,1.08,3.58,1.24
70,12,14.02,15,0.86,0,1.08,3.58,1.24
71,12,14,15,0.86,0,1.08,3.58,1.24
72,11.56,13.88,15,1,0,1.08,3.58,1.24
73,11.5,13.75,15,0.97,0,1.08,3.58,1.24
74,11.37,13.67,14.71,0.95,0,1.08,3.58,1.24
75,11.29,13.54,14.67,0.97,0,1.08,3.58,1.24
76,11.17,13.41,14.67,1.02,0,1.08,3.58,1.24
77,11.17,13.35,14.57,1.01,0,1.08,3.58,1.24
78,11.17,13.32,14.57,0.99,0,1.08,3.58,1.24
79,11,13.25,14.57,1.03,0,1.08,3.58,1.24
80,10.87,13.17,14.57,1.03,0,1.08,3.58,1.24
81,10.62,13.07,14.57,1.14,0,1.08,3.58,1.24
82,10.37,12.97,14.57,1.18,0,1.08,3.58,1.24
83,10.37,12.87,14.5,1.16,0,1.08,3.58,1.24
84,10.37,12.73,14.2,1.17,0,1.08,3.58,1.24
85,10.37,12.68,14,1.12,0,1.08,3.58,1.24
