New Strategy
15 Voters 15 Alternatives 
Run 0: 120 questions:
Question{QuestionCommittee{λ=8, rank=1}}
Question{QuestionCommittee{λ=9/2, rank=1}}
Question{QuestionCommittee{λ=11/4, rank=1}}
Question{QuestionCommittee{λ=15/8, rank=1}}
Question{QuestionCommittee{λ=23/16, rank=1}}
Question{QuestionCommittee{λ=39/32, rank=1}}
Question{QuestionCommittee{λ=71/64, rank=1}}
Question{QuestionCommittee{λ=135/128, rank=1}}
Question{QuestionCommittee{λ=277/256, rank=1}}
Question{QuestionCommittee{λ=561/512, rank=1}}
Question{QuestionCommittee{λ=1115/1024, rank=1}}
Question{QuestionCommittee{λ=2223/2048, rank=1}}
Question{QuestionCommittee{λ=4453/4096, rank=1}}
Question{QuestionCommittee{λ=8913/8192, rank=1}}
Question{QuestionCommittee{λ=17819/16384, rank=1}}
Question{QuestionCommittee{λ=35631/32768, rank=1}}
Question{QuestionCommittee{λ=71269/65536, rank=1}}
Question{QuestionCommittee{λ=142531/131072, rank=1}}
Question{QuestionCommittee{λ=285055/262144, rank=1}}
Question{QuestionCommittee{λ=570117/524288, rank=1}}
Question{QuestionCommittee{λ=1140241/1048576, rank=1}}
Question{QuestionCommittee{λ=2280489/2097152, rank=1}}
Question{QuestionCommittee{λ=4560985/4194304, rank=1}}
Question{QuestionCommittee{λ=9121977/8388608, rank=1}}
Question{QuestionCommittee{λ=18243961/16777216, rank=1}}
Question{QuestionCommittee{λ=36487915/33554432, rank=1}}
Question{QuestionCommittee{λ=72975837/67108864, rank=1}}
Question{QuestionCommittee{λ=145951681/134217728, rank=1}}
Question{QuestionCommittee{λ=291903355/268435456, rank=1}}
Question{QuestionCommittee{λ=583806717/536870912, rank=1}}
Question{QuestionVoter{voter=Voter{10}, a=7, b=6}}
Question{QuestionVoter{voter=Voter{5}, a=3, b=1}}
Question{QuestionVoter{voter=Voter{7}, a=6, b=10}}
Question{QuestionVoter{voter=Voter{3}, a=14, b=15}}
Question{QuestionVoter{voter=Voter{12}, a=15, b=9}}
Question{QuestionVoter{voter=Voter{11}, a=6, b=4}}
Question{QuestionVoter{voter=Voter{8}, a=12, b=8}}
Question{QuestionVoter{voter=Voter{3}, a=10, b=11}}
Question{QuestionVoter{voter=Voter{2}, a=8, b=13}}
Question{QuestionVoter{voter=Voter{4}, a=9, b=1}}
Question{QuestionVoter{voter=Voter{9}, a=5, b=12}}
Question{QuestionVoter{voter=Voter{6}, a=8, b=15}}
Question{QuestionVoter{voter=Voter{1}, a=13, b=10}}
Question{QuestionVoter{voter=Voter{13}, a=14, b=15}}
Question{QuestionVoter{voter=Voter{8}, a=6, b=7}}
Question{QuestionVoter{voter=Voter{13}, a=9, b=10}}
Question{QuestionVoter{voter=Voter{6}, a=9, b=2}}
Question{QuestionVoter{voter=Voter{14}, a=3, b=10}}
Question{QuestionVoter{voter=Voter{8}, a=14, b=12}}
Question{QuestionVoter{voter=Voter{7}, a=5, b=12}}
Question{QuestionVoter{voter=Voter{2}, a=7, b=15}}
Question{QuestionVoter{voter=Voter{4}, a=9, b=15}}
Question{QuestionVoter{voter=Voter{2}, a=6, b=12}}
Question{QuestionVoter{voter=Voter{13}, a=11, b=12}}
Question{QuestionVoter{voter=Voter{12}, a=10, b=15}}
Question{QuestionVoter{voter=Voter{10}, a=8, b=12}}
Question{QuestionVoter{voter=Voter{14}, a=12, b=15}}
Question{QuestionVoter{voter=Voter{11}, a=4, b=15}}
Question{QuestionVoter{voter=Voter{7}, a=4, b=15}}
Question{QuestionVoter{voter=Voter{5}, a=1, b=2}}
Question{QuestionVoter{voter=Voter{8}, a=13, b=15}}
Question{QuestionVoter{voter=Voter{6}, a=6, b=3}}
Question{QuestionVoter{voter=Voter{14}, a=8, b=15}}
Question{QuestionVoter{voter=Voter{7}, a=15, b=3}}
Question{QuestionVoter{voter=Voter{1}, a=10, b=1}}
Question{QuestionVoter{voter=Voter{14}, a=11, b=9}}
Question{QuestionVoter{voter=Voter{10}, a=6, b=2}}
Question{QuestionVoter{voter=Voter{11}, a=7, b=9}}
Question{QuestionVoter{voter=Voter{6}, a=1, b=10}}
Question{QuestionVoter{voter=Voter{6}, a=12, b=7}}
Question{QuestionVoter{voter=Voter{14}, a=7, b=15}}
Question{QuestionVoter{voter=Voter{7}, a=3, b=2}}
Question{QuestionVoter{voter=Voter{15}, a=1, b=5}}
Question{QuestionVoter{voter=Voter{15}, a=6, b=5}}
Question{QuestionVoter{voter=Voter{14}, a=4, b=2}}
Question{QuestionVoter{voter=Voter{12}, a=11, b=5}}
Question{QuestionVoter{voter=Voter{10}, a=13, b=2}}
Question{QuestionVoter{voter=Voter{1}, a=9, b=3}}
Question{QuestionVoter{voter=Voter{1}, a=11, b=2}}
Question{QuestionVoter{voter=Voter{11}, a=5, b=15}}
Question{QuestionVoter{voter=Voter{1}, a=5, b=3}}
Question{QuestionVoter{voter=Voter{14}, a=2, b=7}}
Question{QuestionVoter{voter=Voter{7}, a=6, b=8}}
Question{QuestionVoter{voter=Voter{12}, a=2, b=5}}
Question{QuestionVoter{voter=Voter{15}, a=7, b=14}}
Question{QuestionVoter{voter=Voter{9}, a=13, b=7}}
Question{QuestionVoter{voter=Voter{2}, a=8, b=11}}
Question{QuestionVoter{voter=Voter{6}, a=1, b=8}}
Question{QuestionVoter{voter=Voter{8}, a=10, b=7}}
Question{QuestionVoter{voter=Voter{15}, a=8, b=1}}
Question{QuestionVoter{voter=Voter{11}, a=14, b=1}}
Question{QuestionVoter{voter=Voter{15}, a=5, b=7}}
Question{QuestionVoter{voter=Voter{15}, a=15, b=2}}
Question{QuestionVoter{voter=Voter{14}, a=14, b=7}}
Question{QuestionVoter{voter=Voter{10}, a=4, b=7}}
Question{QuestionVoter{voter=Voter{11}, a=14, b=12}}
Question{QuestionVoter{voter=Voter{5}, a=1, b=11}}
Question{QuestionVoter{voter=Voter{8}, a=3, b=7}}
Question{QuestionVoter{voter=Voter{10}, a=3, b=2}}
Question{QuestionVoter{voter=Voter{4}, a=10, b=2}}
Question{QuestionVoter{voter=Voter{7}, a=5, b=7}}
Question{QuestionVoter{voter=Voter{7}, a=3, b=7}}
Question{QuestionVoter{voter=Voter{13}, a=13, b=7}}
Question{QuestionVoter{voter=Voter{9}, a=1, b=7}}
Question{QuestionVoter{voter=Voter{10}, a=12, b=15}}
Question{QuestionVoter{voter=Voter{1}, a=1, b=7}}
Question{QuestionVoter{voter=Voter{13}, a=6, b=9}}
Question{QuestionVoter{voter=Voter{2}, a=9, b=7}}
Question{QuestionVoter{voter=Voter{14}, a=4, b=12}}
Question{QuestionVoter{voter=Voter{12}, a=2, b=7}}
Question{QuestionVoter{voter=Voter{7}, a=3, b=14}}
Question{QuestionVoter{voter=Voter{6}, a=13, b=10}}
Question{QuestionVoter{voter=Voter{7}, a=8, b=2}}
Question{QuestionVoter{voter=Voter{13}, a=9, b=4}}
Question{QuestionVoter{voter=Voter{7}, a=4, b=2}}
Question{QuestionVoter{voter=Voter{4}, a=6, b=11}}
Question{QuestionVoter{voter=Voter{11}, a=5, b=2}}
Question{QuestionVoter{voter=Voter{13}, a=8, b=9}}
Question{QuestionVoter{voter=Voter{10}, a=3, b=5}}
Question{QuestionVoter{voter=Voter{15}, a=14, b=9}}
Questions to the voters: 90.0 Question to the committee: 30.0
Duration 44.96300 seconds 

