New Strategy
15 Voters 15 Alternatives 
120 Questions for 1 runs 
Mean of Regret reduced by half in -1 questions 
Mean of Regret reduced by four in -1 questions 
Mean of Regret reduced by eight in -1 questions 
Mean of Average Loss reduced by half in 120 questions 
Mean of Average Loss reduced by four in 120 questions 
Mean of Average Loss reduced by eight in 120 questions 
k 	 Mean of Regrets 
0 	15.0
120	14.193212862044739
k 	 Mean of Average Losses 
0 	1.0
120	0.0
k 	 Standard Deviations of Regrets 
120	0.0
k 	 Standard Deviations of Average Losses 
120	0.0
k 	 Percentage of Questions to the Voters 
120	75.0%
