k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,10,10,10,0,0.29,1.65,4.44,0.67
1,10,10,10,0,0.29,1.65,4.44,0.67
2,10,10,10,0,0,1.46,4.8,0.92
3,10,10,10,0,0,1.22,4.8,1.08
4,10,10,10,0,0,1.18,4.8,1.14
5,8.8,9.14,10,0.47,0,1.08,4.8,1.13
6,8.5,8.84,10,0.21,0,1.06,4.8,1.11
7,8.33,8.73,9.75,0.14,0,1.05,4.8,1.09
8,8,8.63,9.67,0.23,0,1.05,4.8,1.09
9,8,8.48,9.5,0.31,0,1.05,4.8,1.09
10,7.25,8.33,9,0.4,0,1.04,4.8,1.09
11,7,8.18,8.8,0.46,0,1.06,4.8,1.09
12,7,8.01,8.8,0.52,0,1.04,4.8,1.09
13,6.8,7.86,8.8,0.54,0,1.05,4.57,1.06
14,6.4,7.7,8.8,0.56,0,1.01,4.57,1.07
15,6.25,7.55,8.8,0.57,0,0.94,4.57,1.03
16,6,7.4,8.75,0.58,0,0.95,4.57,1.02
17,5.6,7.26,8.75,0.61,0,0.92,4.57,1.02
18,5.6,7.11,8.75,0.64,0,0.88,4.57,1.01
19,5.4,6.94,8.75,0.67,0,0.86,4.57,1
20,5.25,6.78,8.75,0.7,0,0.84,4.57,1
21,4.8,6.62,8.5,0.73,0,0.81,4.57,0.98
22,4.4,6.48,8.5,0.74,0,0.81,4.57,0.98
23,4.2,6.33,8.5,0.76,0,0.8,4.57,0.98
24,4,6.18,8.33,0.77,0,0.77,4.57,0.95
25,4,6.05,8,0.79,0,0.75,4.57,0.93
26,4,5.9,7.75,0.81,0,0.76,4.57,0.94
27,3.6,5.77,7.67,0.81,0,0.74,4.57,0.93
28,3.2,5.61,7.6,0.85,0,0.7,4.57,0.88
29,3,5.46,7.6,0.86,0,0.69,4.57,0.88
30,2.6,5.31,7.6,0.88,0,0.67,4.57,0.86
31,2.33,5.17,7.6,0.9,0,0.64,3.83,0.82
32,2.33,5.04,7.5,0.92,0,0.64,3.83,0.83
33,2.25,4.92,7.5,0.92,0,0.6,3.7,0.79
34,2.2,4.77,7.5,0.94,0,0.61,3.7,0.8
35,2.2,4.64,7.25,0.95,0,0.58,3.7,0.77
36,2,4.5,7.25,0.96,0,0.58,3.7,0.77
37,2,4.36,7.25,0.98,0,0.58,3.7,0.77
38,1.5,4.23,7.25,1,0,0.53,3.7,0.74
39,1.5,4.11,7.25,1.01,0,0.51,3.7,0.73
40,1,3.98,7.25,1.02,0,0.5,3.7,0.71
41,0.75,3.84,7.25,1.04,0,0.48,3.7,0.7
42,0.67,3.72,7.25,1.05,0,0.46,3.7,0.68
43,0.33,3.6,7.25,1.06,0,0.42,3.7,0.63
44,0,3.49,7.25,1.06,0,0.44,3.7,0.66
45,0,3.35,7,1.05,0,0.42,3.7,0.64
46,0,3.23,6.8,1.05,0,0.4,3.7,0.61
47,0,3.13,6.8,1.04,0,0.39,3.7,0.61
48,0,3.03,6.8,1.04,0,0.38,3.7,0.6
49,0,2.92,6.8,1.02,0,0.36,3.7,0.6
50,0,2.81,6.67,1.02,0,0.32,2.85,0.53
51,0,2.7,6.67,1.01,0,0.3,2.52,0.51
52,0,2.59,6,1.01,0,0.3,2.52,0.5
53,0,2.47,5.5,1,0,0.29,2.52,0.49
54,0,2.36,5.5,0.98,0,0.27,2.52,0.47
55,0,2.27,5.33,0.98,0,0.27,2.52,0.46
56,0,2.17,5.33,0.97,0,0.26,2.52,0.46
57,0,2.08,5.33,0.96,0,0.23,2.52,0.43
58,0,1.99,5.33,0.97,0,0.22,2.52,0.42
59,0,1.89,5.33,0.97,0,0.21,2.52,0.41
60,0,1.79,5.33,0.95,0,0.2,2.52,0.4
61,0,1.71,5,0.94,0,0.2,2.52,0.38
62,0,1.61,5,0.93,0,0.18,2.52,0.38
63,0,1.53,4.8,0.92,0,0.19,2.52,0.38
64,0,1.45,4.67,0.9,0,0.16,1.59,0.32
65,0,1.37,4.25,0.87,0,0.15,1.59,0.32
66,0,1.29,4,0.86,0,0.14,1.59,0.3
67,0,1.23,4,0.85,0,0.14,1.59,0.3
68,0,1.17,4,0.83,0,0.13,1.59,0.29
69,0,1.11,4,0.82,0,0.12,1.59,0.28
70,0,1.05,4,0.8,0,0.12,1.45,0.27
71,0,1,4,0.79,0,0.11,1.45,0.26
72,0,0.95,4,0.78,0,0.11,1.45,0.25
73,0,0.9,4,0.76,0,0.1,1.45,0.25
74,0,0.84,4,0.73,0,0.09,1.38,0.23
75,0,0.79,4,0.71,0,0.08,1.38,0.22
76,0,0.75,3.67,0.69,0,0.09,1.38,0.22
77,0,0.7,3.67,0.67,0,0.08,1.17,0.21
78,0,0.67,3.5,0.65,0,0.08,1.17,0.2
79,0,0.63,3.4,0.63,0,0.08,1.17,0.2
80,0,0.59,3.4,0.61,0,0.08,1.17,0.2
81,0,0.57,3,0.6,0,0.07,1.09,0.2
82,0,0.54,3,0.58,0,0.07,1.09,0.2
83,0,0.51,3,0.56,0,0.07,1.09,0.19
84,0,0.48,2.8,0.53,0,0.07,1.45,0.2
85,0,0.45,2.8,0.51,0,0.07,1.45,0.2
86,0,0.43,2.6,0.5,0,0.06,1.45,0.19
87,0,0.4,2.6,0.49,0,0.06,1.45,0.19
88,0,0.39,2.6,0.48,0,0.06,1.45,0.19
89,0,0.38,2.6,0.47,0,0.06,1.45,0.19
90,0,0.37,2.6,0.46,0,0.06,1.45,0.19
91,0,0.35,2.6,0.46,0,0.06,1.45,0.18
92,0,0.34,2.6,0.45,0,0.06,1.45,0.17
93,0,0.33,2.6,0.44,0,0.06,1.45,0.17
94,0,0.33,2.6,0.44,0,0.06,1.45,0.18
95,0,0.32,2.6,0.44,0,0.06,1.45,0.18
96,0,0.32,2.6,0.43,0,0.06,1.45,0.17
97,0,0.31,2.6,0.43,0,0.06,1.45,0.17
98,0,0.31,2.6,0.43,0,0.06,1.45,0.17
99,0,0.31,2.6,0.43,0,0.06,1.45,0.17
100,0,0.31,2.6,0.42,0,0.06,1.45,0.17
