k,MMR min,MMR avg,MMR max,MMR σ
0,6,6,6,0
1,6,6,6,0
2,6,6,6,0
3,6,6,6,0
4,6,6,6,0
5,6,6,6,0
6,6,6,6,0
7,6,6,6,0
8,6,6,6,0
9,4.38,4.84,6,0.41
10,4.26,4.56,5,0.18
11,4,4.44,4.76,0.17
12,4,4.32,4.76,0.22
13,4,4.23,4.76,0.25
14,2.76,3.83,4.76,0.63
15,2.66,3.65,4.76,0.66
16,2.49,3.5,4.76,0.71
17,2.34,3.39,4.76,0.75
18,2.23,3.23,4.75,0.81
19,1.14,2.95,4.75,1.02
20,1.11,2.78,4.75,1.1
21,0.87,2.57,4.75,1.12
22,0.76,2.39,4.67,1.09
23,0.64,2.21,4.67,1.08
24,0,1.93,4.67,1.19
25,0,1.71,4.46,1.2
26,0,1.49,4.46,1.23
27,0,1.28,4.46,1.17
28,0,1.11,4.46,1.1
29,0,0.96,4.07,1.04
30,0,0.79,3.64,0.96
