k,MMR min,MMR avg,MMR max,MMR σ
0,6,6,6,0
1,6,6,6,0
2,6,6,6,0
3,6,6,6,0
4,6,6,6,0
5,4.8,5.17,6,0.46
6,4.5,4.84,6,0.19
7,4.33,4.72,4.8,0.12
8,4,4.53,4.8,0.27
9,4,4.53,4.77,0.26
10,4,4.53,4.76,0.26
11,4,4.52,4.76,0.26
12,4,4.52,4.76,0.26
13,4,4.52,4.76,0.26
14,4,4.52,4.76,0.26
15,4,4.52,4.76,0.26
16,4,4.52,4.76,0.26
17,4,4.52,4.76,0.26
18,4,4.52,4.76,0.26
19,4,4.52,4.76,0.26
20,4,4.52,4.76,0.26
21,4,4.52,4.76,0.26
22,4,4.52,4.76,0.26
23,4,4.52,4.76,0.26
24,4,4.52,4.76,0.26
25,4,4.52,4.76,0.26
26,4,4.52,4.76,0.26
27,4,4.52,4.76,0.26
28,4,4.52,4.76,0.26
29,4,4.52,4.76,0.26
30,4,4.52,4.76,0.26
