k,MMR min,MMR avg,MMR max,MMR σ
0,6,6,6,0
1,6,6,6,0
2,6,6,6,0
3,6,6,6,0
4,6,6,6,0
5,4.8,5.18,6,0.48
6,4.5,4.81,5,0.11
7,4,4.69,4.8,0.18
8,4,4.52,4.8,0.3
9,4,4.4,4.8,0.32
10,3.5,4.16,4.8,0.44
11,3.33,3.94,4.8,0.51
12,3,3.75,4.8,0.6
13,2.8,3.61,4.8,0.63
14,2.4,3.42,4.8,0.71
15,2.4,3.31,4.8,0.72
16,2.25,3.13,4.8,0.81
17,1.8,2.95,4.8,0.9
18,1.6,2.72,4.8,0.89
19,1.25,2.52,4.8,0.91
20,1,2.33,4.75,0.93
21,0.8,2.2,4.75,0.91
22,0.8,2.04,4.75,0.91
23,0.8,1.88,4.67,0.88
24,0.8,1.7,4,0.88
25,0.67,1.52,4,0.88
26,0.67,1.41,4,0.85
27,0.33,1.29,4,0.83
28,0.25,1.16,3.5,0.8
29,0.25,1.04,3,0.71
30,0.25,0.89,3,0.61
