k,MMR min,MMR avg,MMR max,MMR σ
0,6,6,6,0
1,6,6,6,0
2,6,6,6,0
3,6,6,6,0
4,6,6,6,0
5,6,6,6,0
6,5.8,6,6,0.03
7,5.75,5.99,6,0.04
8,5.41,5.97,6,0.1
9,5.41,5.94,6,0.16
10,5.39,5.92,6,0.18
11,5.39,5.91,6,0.19
12,5.39,5.87,6,0.22
13,5.3,5.82,6,0.26
14,5.19,5.73,6,0.3
15,5.19,5.69,6,0.32
16,4.48,5.65,6,0.39
17,4.48,5.61,6,0.41
18,4.4,5.57,6,0.44
19,4.4,5.53,6,0.43
20,4.37,5.49,6,0.46
21,4.3,5.39,6,0.46
22,4.3,5.36,6,0.48
23,4.3,5.32,6,0.49
24,4.13,5.26,6,0.52
25,3.93,5.21,6,0.54
26,3.93,5.14,6,0.57
27,3.93,5.05,6,0.59
28,3.81,4.98,6,0.61
29,3.81,4.95,6,0.6
30,3.81,4.91,6,0.59
