k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,6,6,6,0,0.12,1.23,3.37,0.52
1,6,6,6,0,0.12,1.23,3.37,0.52
2,6,6,6,0,0,1.19,3.6,0.74
3,6,6,6,0,0,0.88,3.63,0.82
4,6,6,6,0,0,0.77,3.63,0.81
5,4.8,5.08,6,0.43,0,0.69,3.63,0.76
6,4.5,4.82,6,0.18,0,0.69,3.63,0.77
7,4,4.72,6,0.18,0,0.69,3.63,0.78
8,4,4.59,5,0.26,0,0.67,3.63,0.77
9,4,4.47,4.8,0.31,0,0.67,3.63,0.77
10,3.5,4.34,4.8,0.39,0,0.67,3.63,0.77
11,3,4.18,4.8,0.45,0,0.67,3.63,0.77
12,3,4.02,4.8,0.49,0,0.67,3.63,0.78
13,2.6,3.85,4.8,0.52,0,0.66,3.63,0.78
14,2.4,3.7,4.8,0.54,0,0.59,2.94,0.72
15,2.25,3.56,4.8,0.54,0,0.59,2.94,0.72
16,2,3.42,4.75,0.56,0,0.57,2.94,0.7
17,1.8,3.27,4.75,0.58,0,0.54,2.94,0.7
18,1.4,3.12,4.67,0.61,0,0.53,2.94,0.69
19,1,2.98,4.67,0.66,0,0.53,2.94,0.68
20,0.8,2.84,4.5,0.69,0,0.48,2.9,0.63
21,0.6,2.71,4.5,0.72,0,0.46,2.79,0.61
22,0.4,2.58,4.33,0.72,0,0.43,2.79,0.58
23,0.4,2.47,4,0.73,0,0.39,2,0.55
24,0.25,2.33,4,0.74,0,0.37,1.9,0.52
25,0.25,2.21,4,0.74,0,0.36,1.9,0.51
26,0,2.09,3.8,0.75,0,0.32,1.9,0.48
27,0,1.96,3.75,0.76,0,0.28,1.9,0.45
28,0,1.86,3.5,0.74,0,0.25,1.9,0.42
29,0,1.74,3.5,0.75,0,0.25,1.9,0.42
30,0,1.63,3.5,0.76,0,0.23,1.9,0.39
31,0,1.53,3.25,0.76,0,0.22,1.9,0.38
32,0,1.43,3.25,0.74,0,0.21,1.9,0.37
33,0,1.33,3.25,0.73,0,0.19,1.9,0.36
34,0,1.25,3.25,0.71,0,0.18,1.9,0.34
35,0,1.16,3.25,0.7,0,0.16,1.9,0.31
36,0,1.08,3.25,0.68,0,0.15,1.9,0.31
37,0,1.01,3.25,0.67,0,0.13,1.9,0.3
38,0,0.92,3,0.66,0,0.11,1.9,0.26
39,0,0.83,2.8,0.63,0,0.1,1.9,0.26
40,0,0.76,2.8,0.62,0,0.1,1.9,0.25
41,0,0.71,2.8,0.59,0,0.09,1.9,0.22
42,0,0.64,2.5,0.56,0,0.07,1.02,0.18
43,0,0.59,2.33,0.54,0,0.07,1.02,0.17
44,0,0.54,2,0.51,0,0.05,1.02,0.15
45,0,0.48,2,0.49,0,0.06,1.02,0.16
46,0,0.45,2,0.48,0,0.05,1.02,0.14
47,0,0.41,2,0.45,0,0.04,0.61,0.1
48,0,0.36,2,0.43,0,0.03,0.61,0.1
49,0,0.33,1.67,0.39,0,0.02,0.61,0.08
50,0,0.3,1.67,0.38,0,0.02,0.61,0.08
