k,MMR min,MMR avg,MMR max,MMR σ
0,6,6,6,0
1,6,6,6,0
2,6,6,6,0
3,6,6,6,0
4,6,6,6,0
5,6,6,6,0
6,6,6,6,0
7,6,6,6,0
8,6,6,6,0
9,6,6,6,0
10,6,6,6,0
11,6,6,6,0
12,6,6,6,0
13,6,6,6,0
14,6,6,6,0
15,5.97,6,6,0.01
16,5.93,5.99,6,0.02
17,4.35,4.63,6,0.47
18,4.25,4.38,5,0.1
19,4.12,4.3,4.48,0.09
20,4,4.21,4.38,0.13
21,3.89,4.13,4.38,0.14
22,2.71,3.63,4.36,0.65
23,2.69,3.44,4.36,0.66
24,2.47,3.22,4.35,0.64
25,2.35,3.07,4.35,0.64
26,2.14,2.94,4.35,0.65
27,1.06,2.66,4.35,0.84
28,1.04,2.33,4.33,0.94
29,0.82,2.08,4.33,0.96
30,0.71,1.87,4.33,0.92
