k,MMR min,MMR avg,MMR max,MMR σ
0,6,6,6,0
1,6,6,6,0
2,6,6,6,0
3,6,6,6,0
4,6,6,6,0
5,4.8,5.06,6,0.41
6,4.5,4.79,5,0.08
7,4.33,4.69,4.8,0.14
8,4,4.56,4.8,0.25
9,4,4.41,4.8,0.31
10,3.5,4.23,4.8,0.4
11,3,3.98,4.8,0.53
12,3,3.82,4.8,0.59
13,2.8,3.62,4.75,0.63
14,2.4,3.5,4.75,0.66
15,2.4,3.33,4.75,0.68
16,2.25,3.15,4.75,0.73
17,1.8,2.96,4.67,0.79
18,1.4,2.76,4.67,0.83
19,1.2,2.6,4.67,0.89
20,1.2,2.4,4.33,0.88
21,1,2.23,4,0.87
22,0.8,2.06,4,0.84
23,0.8,1.9,3.8,0.84
24,0.6,1.72,3.75,0.86
25,0.6,1.59,3.75,0.85
26,0.5,1.41,3.5,0.76
27,0.5,1.39,3.5,0.76
28,0.5,1.38,3.5,0.76
29,0.5,1.37,3.5,0.76
30,0.5,1.37,3.5,0.76
