k,MMR min,MMR avg,MMR max,MMR σ
0,6,6,6,0
1,6,6,6,0
2,6,6,6,0
3,6,6,6,0
4,6,6,6,0
5,4.8,5.45,6,0.58
6,4.53,5.01,6,0.47
7,4.31,4.76,6,0.29
8,4,4.6,6,0.31
9,4,4.43,4.8,0.3
10,3.5,4.27,4.8,0.37
11,3.07,4.01,4.8,0.5
12,2.8,3.81,4.8,0.6
13,2.67,3.65,4.8,0.65
14,2.6,3.52,4.75,0.66
15,2.25,3.33,4.75,0.72
16,2,3.18,4.75,0.78
17,1.6,3.01,4.75,0.79
18,1.6,2.83,4.72,0.81
19,1.25,2.63,4.67,0.89
20,1.25,2.42,4.67,0.87
21,1,2.27,4,0.86
22,0.8,2.12,4,0.87
23,0.8,2.01,4,0.83
24,0.75,1.85,4,0.82
25,0,1.73,3.76,0.83
26,0,1.61,3.52,0.85
27,0,1.45,3.33,0.84
28,0,1.28,3.33,0.87
29,0,1.12,3.33,0.83
30,0,1.03,3.33,0.82
