i,nbQst = 500
0,20.0
1,20.0
2,20.0
3,19.999999987368422
4,19.99999997473684
5,19.999999877894737
6,19.999999855438595
7,19.99999983859649
8,19.99999983017544
9,19.999999796491227
10,19.999999757473688
11,19.999999709052634
12,19.999999591157902
13,19.99999953852632
14,19.99999952589474
15,19.99999943747369
16,19.999999368000005
17,19.999999334315795
18,19.99999928589474
19,19.994284802887222
20,19.994284802887222
21,19.994284702346718
22,19.994284604503253
23,19.99428457068065
24,19.99428450156535
25,19.99428430804653
26,19.99428408459779
27,19.994283742881187
28,19.989838494980205
29,19.97245389439865
30,19.96673824198599
31,19.96229146430722
32,19.957845891081853
33,19.951705434435553
34,19.945830497211432
35,19.938256448450257
36,19.93824594431158
37,19.92942440291417
38,19.906204622435872
39,19.896378423939133
40,19.892571739043156
41,19.88057978775007
42,19.87992869827305
43,19.87261508796173
44,19.87146510196223
45,19.871094540364943
46,19.864104024073228
47,19.847236941611886
48,19.84539165680042
49,19.8450007715723
50,19.834434425625265
51,19.820247781080376
52,19.81618278973602
53,19.808512692548987
54,19.79672125665153
55,19.770420652910307
56,19.743700182413797
57,19.73699146435196
58,19.728964830293275
59,19.705107970909822
60,19.701353639617924
61,19.69671394996124
62,19.691919021594014
63,19.679433355429055
64,19.645813270280428
65,19.621027929734307
66,19.594522914837185
67,19.577056090051077
68,19.553507863455913
69,19.548977104088806
70,19.53342541528541
71,19.53291244662445
72,19.52918044452749
73,19.527374165777438
74,19.49592020061848
75,19.488743387122305
76,19.470854391504478
77,19.438693377283393
78,19.40285569653704
79,19.370796876240313
80,19.354920027928213
81,19.326508544511032
82,19.324016263096826
83,19.306414386332467
84,19.303353128070697
85,19.27413278358099
86,19.266341317300306
87,19.24685840036366
88,19.239184326560057
89,19.20762479519093
90,19.18727658801581
91,19.176052485137053
92,19.17081819485828
93,19.16776249313255
94,19.163252519345004
95,19.155842085253404
96,19.133113286720153
97,19.13145584895952
98,19.121738667089787
99,19.11032349807894
100,19.094856115569595
101,19.080481083775116
102,19.054395408921106
103,19.043845226010063
104,19.039064861855028
105,19.012034047829204
106,18.98259370103616
107,18.97013154114126
108,18.92139281623288
109,18.903105088745296
110,18.89500060174877
111,18.875293751462344
112,18.811730536566852
113,18.78175372335352
114,18.751462204695304
115,18.729377280841206
116,18.718208022749906
117,18.669690177592805
118,18.653916035062466
119,18.648196023259263
120,18.633233812333216
121,18.58486654213819
122,18.56776659298962
123,18.535533584553512
124,18.511142075862942
125,18.473723397872874
126,18.4640568730449
127,18.439456854703504
128,18.42172164427356
129,18.418730988090832
130,18.407149898711808
131,18.37963282252549
132,18.35099820636887
133,18.343577852491922
134,18.30529537471443
135,18.296924259484914
136,18.266701785261937
137,18.258855201859006
138,18.241719862163745
139,18.21446770955485
140,18.207619793022506
141,18.174580743366235
142,18.162755645796594
143,18.15211947617888
144,18.138211759409316
145,18.122905474549686
146,18.10470285216347
147,18.098867287019697
148,18.05434738046437
149,18.04253052950859
150,17.97091645367792
151,17.962872325553533
152,17.925006698334634
153,17.914456737327033
154,17.883126528145667
155,17.852212218554783
156,17.837264582006686
157,17.821878445854043
158,17.801876306600946
159,17.791528222228543
160,17.774262375008586
161,17.756455306374175
162,17.734929379182546
163,17.726580141368053
164,17.721412425782347
165,17.685468569660728
166,17.671494653570207
167,17.65145872525504
168,17.612830627865424
169,17.5971594100329
170,17.547703663511975
171,17.527734552340988
172,17.505628112960455
173,17.495097446042163
174,17.4767364451276
175,17.464432668032487
176,17.42762067015712
177,17.418313290586937
178,17.4127544303107
179,17.38481771097734
180,17.353885276152585
181,17.335438478090552
182,17.312704929926298
183,17.27701553264877
184,17.214927943837814
185,17.210930744951774
186,17.181672026405202
187,17.165492523444165
188,17.119574863094087
189,17.089346195193396
190,17.054043884815712
