i,nbQst = 500
0,15.0
1,15.0
2,14.9999996
3,14.99999848
4,14.45555428
5,14.036665526666667
6,13.97555436
7,13.863332033333336
8,13.736665446666667
9,13.463332353333332
10,13.379999080000001
11,13.229998939999998
12,13.118822390588235
13,13.022155863921567
14,12.938822590588233
15,12.766932392533334
16,12.739717980661187
17,12.630383533664988
18,12.475717898375473
19,12.31171799208976
20,12.145584595442141
21,12.0389175573469
22,11.902784156699285
23,11.720606093550078
24,11.591717330375472
25,11.480117120889759
26,11.331068223956411
27,11.283313025288898
28,11.132043999213405
29,10.901202462018833
30,10.703468719679819
31,10.640752794984799
32,10.390239418078107
33,10.35107174126004
34,10.231867415174564
35,10.032772467357773
36,9.935539607999498
37,9.789864046138327
38,9.673738121805929
39,9.506959483092205
40,9.37092040671562
41,9.279180367937235
42,9.124233075896273
43,9.047795297714917
44,8.787482536828465
45,8.670638439774166
46,8.489757521042906
47,8.359190640121481
48,8.247203329396847
49,8.139246785560706
50,8.00516395063543
51,7.8969327497809
52,7.814466542922093
53,7.520161193732587
54,7.251792078482735
55,7.098698247384375
56,6.96407440731152
57,6.854975151494521
58,6.681668104283417
59,6.5923953111499465
60,6.439863864436301
61,6.301641460211051
62,6.073861644886576
63,5.94170839403806
64,5.799189692145235
65,5.631956813160805
66,5.426705850040439
67,5.267800535984985
68,5.117121469954017
69,4.95483571362389
70,4.749800711708678
71,4.586349231219808
72,4.452425030557245
73,4.193760120030587
74,3.9940921809753385
75,3.9075411095230645
76,3.7517825449369977
77,3.5543753741618334
78,3.4359466049933505
79,3.3116821314148597
80,3.1750822594671018
81,3.1206610176104483
82,2.905739284669295
83,2.7341795823519246
84,2.628791530731102
85,2.517109921495635
86,2.4602474112157076
87,2.27084316899281
88,2.098519902276701
89,1.9348355418991332
90,1.8314553710814974
91,1.6293133541003593
92,1.510780671703549
93,1.3924623548395174
94,1.3288840605438301
95,1.2219467000906323
96,1.1469297316155744
97,1.0825437361295218
98,0.9708834971024985
99,0.9002967192486557
100,0.8316861799123033
101,0.7950399648734509
102,0.7685642533581244
103,0.7310852276653625
104,0.6793506789050531
105,0.5849399649601289
106,0.5518338028427122
107,0.492209729836648
108,0.4647886357673245
109,0.41986758885149156
110,0.3419518698971511
111,0.2684822605558574
112,0.235389817065757
113,0.20651431477606533
114,0.16867437613851283
115,0.13950636903495758
116,0.12921384495272034
117,0.12574189729842694
118,0.10636993163905202
119,0.0982553410351762
120,0.09077927950322782
121,0.06322348236836298
122,0.05126629981744639
123,0.03719381335702332
124,0.03353599559366113
125,0.028118910975056158
126,0.020292931844621335
127,0.010946699089813149
128,0.00784651315408537
129,0.002746360625433338
130,0.001452545005653837
131,7.900180840385764E-4
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
