Pessimistic Strategy with Heuristic
5 Voters 5 Alternatives 
30 Questions for 3 runs 
Mean of Regret reduced by half in -1 questions 
Mean of Regret reduced by four in -1 questions 
Mean of Regret reduced by eight in -1 questions 
Mean of Average Loss reduced by half in -1 questions 
Mean of Average Loss reduced by four in -1 questions 
Mean of Average Loss reduced by eight in -1 questions 
k 	 Mean of Regrets 
0 	5.0
30	2.9444437777777774
k 	 Mean of Average Losses 
0 	1.0
30	0.665829840679441
k 	 Standard Deviations of Regrets 
30	1.4550894546342765
k 	 Standard Deviations of Average Losses 
30	1.4550894546342765
k 	 Percentage of Questions to the Voters 
30	88.9%
